section	artifact_role	path	required_or_optional	exists	size_bytes	sha256	observed_sha256	verify_status
protocol	locked_v22_rule	docs/locked_rules/LOCKED_RULE_V22.md	required	yes	7879	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a	PASS
protocol	primary_preregistration	docs/validation/PREREGISTRATION_V42.md	required	yes	20054	38c1ec365e396b8521d3560e3e39d444268434dbec7d6c1db48c64eb322b098f	38c1ec365e396b8521d3560e3e39d444268434dbec7d6c1db48c64eb322b098f	PASS
protocol	outcome_grid	docs/validation/OUTCOME_INTERPRETATION_GRID_V42.md	required	yes	8758	e791a74dcd5ac75f6c01cf2b573bd123c7a66bd5e088c0b97571ca1ec21d167f	e791a74dcd5ac75f6c01cf2b573bd123c7a66bd5e088c0b97571ca1ec21d167f	PASS
protocol	validation_readiness	docs/validation/VALIDATION_READINESS_V27.md	optional_context	yes	15244	730078431155779fb48bbc65d03387dc676caeccbcb6e9bcde325d95daec3b6d	730078431155779fb48bbc65d03387dc676caeccbcb6e9bcde325d95daec3b6d	PASS
operator_readme	author_run_packet	docs/validation/AUTHOR_RUN_FROZEN_HARNESS_PACKET_V45.md	required	yes	2996	3138f60da6b6577ca6bbf9101814469abf2591f57200c79ba3be2a2eed3b554a	3138f60da6b6577ca6bbf9101814469abf2591f57200c79ba3be2a2eed3b554a	PASS
operator_readme	minimum_output_spec	docs/validation/AUTHOR_RUN_MINIMUM_OUTPUT_SPEC_V45.md	required	yes	1934	3572d8fdb8c1137200f96beb0381faba2b535340e2155770657f76a97bd49026	3572d8fdb8c1137200f96beb0381faba2b535340e2155770657f76a97bd49026	PASS
operator_readme	validation_harness_readme	docs/validation/VALIDATION_HARNESS_README_V45.md	required	yes	6181	174a25240d8a404ef2f4c924b861be4daa2f485bf75195155bfd3563d2b9b3e9	174a25240d8a404ef2f4c924b861be4daa2f485bf75195155bfd3563d2b9b3e9	PASS
operator_readme	module_coverage_precheck_doc	docs/validation/MODULE_COVERAGE_PRECHECK_V45.md	required	yes	3142	d0944bedc6ddccf50f0086425df49892a583b64bcd8e9ae18d869cbde257b061	d0944bedc6ddccf50f0086425df49892a583b64bcd8e9ae18d869cbde257b061	PASS
operator_readme	handoff_bundle_template	docs/validation/VALIDATION_HANDOFF_BUNDLE_TEMPLATE_V45.md	required	yes	2080	b3dd43f5f5e9332cd9b13157701b6e3a97e5b70998489953eeb5fbbf1a339a24	b3dd43f5f5e9332cd9b13157701b6e3a97e5b70998489953eeb5fbbf1a339a24	PASS
operator_readme	handoff_completeness_check	docs/validation/HANDOFF_COMPLETENESS_CHECK_V45.md	required	yes	3000	c7d18cb1fa94de2620be43fc0c345c8faa53aa84f1981affd395a00d6a38e479	c7d18cb1fa94de2620be43fc0c345c8faa53aa84f1981affd395a00d6a38e479	PASS
schemas	primary_expression_schema	docs/validation/input_schemas/V45_primary_expression_schema.tsv	required	yes	531	2f11612a61b18df657d919d00fb17939461ba1d8eeea3f53b95293a803a2f8d0	2f11612a61b18df657d919d00fb17939461ba1d8eeea3f53b95293a803a2f8d0	PASS
schemas	primary_metadata_schema	docs/validation/input_schemas/V45_primary_metadata_schema.tsv	required	yes	1812	5d911bf3c548630f8f58e87a7d0e09580c5b7818fbce2c2f91818d3a8b779666	5d911bf3c548630f8f58e87a7d0e09580c5b7818fbce2c2f91818d3a8b779666	PASS
schemas	clinical_crf_checklist	docs/validation/input_schemas/V45_clinical_crf_checklist.tsv	required	yes	5915	6077f04cdaca5a47349e14db313552b5c6d475ff22f094772faca3a73226f845	6077f04cdaca5a47349e14db313552b5c6d475ff22f094772faca3a73226f845	PASS
schemas	outcome_label_dictionary	docs/validation/input_schemas/V45_outcome_label_dictionary_template.tsv	required	yes	2648	bb55e642d3b6cadccce875dff661a74ce8500073ffc1ddfdfb2e24cbd37f038f	bb55e642d3b6cadccce875dff661a74ce8500073ffc1ddfdfb2e24cbd37f038f	PASS
schemas	batch_qc_steroid_dictionary	docs/validation/input_schemas/V45_batch_qc_steroid_metadata_dictionary.tsv	strongly_required	yes	2054	c06633cab53c8bc44fbc3935509880a93211e050326ba61777ad640108dfc901	c06633cab53c8bc44fbc3935509880a93211e050326ba61777ad640108dfc901	PASS
schemas	sample_id_canonicalization	docs/validation/input_schemas/V45_sample_id_canonicalization_template.tsv	conditional	yes	1095	5e5dabb1ed1dbf8ad9b4693bad4df9dfb6d54ffb884228a8a0bdda07a055f4f1	5e5dabb1ed1dbf8ad9b4693bad4df9dfb6d54ffb884228a8a0bdda07a055f4f1	PASS
