analysis_set	method_family	method	n	n_responders	n_nonresponders	auc	auc_ci_low	auc_ci_high	hedges_g	permutation_p_auc	mann_whitney_p_greater	features
bounded_immune_remodeling	fixed_score_nonparametric	locked_signed_score	19	10.0	9.0	0.8111111111111111	0.5776190476190477	1.0	1.1908348787735676	0.0079960019990005	0.01237233602319947	
bounded_immune_remodeling	fixed_score_nonparametric	delta_RECEPTOR	19	10.0	9.0	0.6555555555555556	0.36666666666666664	0.8999999999999999	0.6366550809118986	0.14192903548225888	0.13517207032739004	
bounded_immune_remodeling	fixed_score_nonparametric	coupled_projection	19	10.0	9.0	0.6888888888888889	0.4142063492063492	0.9166666666666666	0.6610474412772832	0.07396301849075462	0.08895479749349133	
bounded_immune_remodeling	fixed_score_nonparametric	coupled_v22_augmented	19	10.0	9.0	0.6333333333333333	0.3522727272727273	0.8690476190476191	0.5415359326965006	0.18640679660169915	0.17387279945534878	
bounded_immune_remodeling	fixed_score_nonparametric	coupling_coordination	19	10.0	9.0	0.7333333333333333	0.4772727272727273	0.9318560606060604	0.7769683417807859	0.043478260869565216	0.04708318771893987	
bounded_immune_remodeling	loocv_ml	ridge_logistic_modules	19			0.5777777777777777	0.2857142857142857	0.855595238095238	0.5824974291647709			delta_IFN_APC,delta_HLAII,delta_RECEPTOR,locked_signed_score
bounded_immune_remodeling	adjacent_dynamic_feature	apc_vector_norm	19	10.0	9.0	0.38888888888888895	0.125	0.6571915584415581	-0.10869332066597934	0.7746126936531734	0.8043663603586804	
bounded_immune_remodeling	adjacent_dynamic_feature	hla_vs_ifn_angle	19	10.0	9.0	0.48888888888888893	0.19980769230769227	0.7841314935064932	-0.10437070982744272	0.5207396301849075	0.5487383749111603	
bounded_immune_remodeling	adjacent_dynamic_feature	hla_ifn_product	19	10.0	9.0	0.6444444444444446	0.35892857142857143	0.8977840909090907	0.09413362828334955	0.13143428285857073	0.15371708296369768	
all_primary_plus_exact_uc	fixed_score_nonparametric	locked_signed_score	43	24.0	19.0	0.6557017543859649	0.47401742993848256	0.8157894736842106	0.6108988240415381	0.04047976011994003	0.042341840550295766	
all_primary_plus_exact_uc	fixed_score_nonparametric	delta_RECEPTOR	43	24.0	19.0	0.5614035087719298	0.39115187198067636	0.7316812535290792	0.2733129460919885	0.25787106446776614	0.25062174742628796	
all_primary_plus_exact_uc	fixed_score_nonparametric	coupled_projection	43	24.0	19.0	0.5723684210526316	0.4027014066496164	0.7546769323671494	0.34091659115287876	0.20739630184907545	0.21336100408753678	
all_primary_plus_exact_uc	fixed_score_nonparametric	coupled_v22_augmented	43	24.0	19.0	0.5701754385964913	0.39460868079289135	0.7453899572649572	0.2130119256826609	0.2353823088455772	0.2205438745934143	
all_primary_plus_exact_uc	fixed_score_nonparametric	coupling_coordination	43	24.0	19.0	0.6381578947368421	0.45670525127046857	0.7980788177339899	0.3355671660435192	0.05997001499250375	0.06319577700533871	
all_primary_plus_exact_uc	loocv_ml	ridge_logistic_modules	43			0.5745614035087719	0.4021666666666667	0.7466363519091845	0.12341028773035922			delta_IFN_APC,delta_HLAII,delta_RECEPTOR,locked_signed_score
all_primary_plus_exact_uc	adjacent_dynamic_feature	apc_vector_norm	43	24.0	19.0	0.4166666666666667	0.24042582417582417	0.5978804347826084	-0.16888495420659153	0.8250874562718641	0.8267880192882042	
all_primary_plus_exact_uc	adjacent_dynamic_feature	hla_vs_ifn_angle	43	24.0	19.0	0.5153508771929824	0.3203420483025746	0.7151072836082321	0.04870750782034476	0.42778610694652675	0.4368491321231763	
all_primary_plus_exact_uc	adjacent_dynamic_feature	hla_ifn_product	43	24.0	19.0	0.6644736842105263	0.4977230949197861	0.826204573934837	0.19735779778678147	0.031984007996002	0.034230751002710225	
