analysis_set	method_family	method	n	posterior_mean_diff	posterior_ci_low	posterior_ci_high	posterior_p_diff_gt_0
bounded_immune_remodeling	bayesian_bootstrap	posterior_responder_minus_nonresponder_locked_score	19	0.9939798075974479	0.3881313710399514	1.715119639337815	0.999
all_primary_plus_exact_uc	bayesian_bootstrap	posterior_responder_minus_nonresponder_locked_score	43	0.4937149952000864	0.06688724917909979	0.978661130588425	0.9885
