source_group	n_test	n_nonresponders	auc	average_precision	brier	test_feature	model_name
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	circuit_il1b_trem1_cxcl8_osm	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	circuit_il1b_trem1_cxcl8_osm	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	circuit_il1b_trem1_cxcl8_osm	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	circuit_il1b_trem1_cxcl8_osm	proxy_baseline
ACT1_GSE12251_UC	22	10	0.9083333333333334	0.9027625152625153	0.16120263279072178	circuit_il1b_trem1_cxcl8_osm	proxy_plus_circuit_il1b_trem1_cxcl8_osm
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.20253220848587952	circuit_il1b_trem1_cxcl8_osm	proxy_plus_circuit_il1b_trem1_cxcl8_osm
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.08672176015449388	circuit_il1b_trem1_cxcl8_osm	proxy_plus_circuit_il1b_trem1_cxcl8_osm
Leuven_GSE16879_Crohn_ileitis	18	10	0.7125	0.7744580419580419	0.2651754204397785	circuit_il1b_trem1_cxcl8_osm	proxy_plus_circuit_il1b_trem1_cxcl8_osm
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	il1b_lamp3_cross_system	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	il1b_lamp3_cross_system	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	il1b_lamp3_cross_system	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	il1b_lamp3_cross_system	proxy_baseline
ACT1_GSE12251_UC	22	10	0.9083333333333334	0.9027625152625153	0.16166864902538672	il1b_lamp3_cross_system	proxy_plus_il1b_lamp3_cross_system
Leuven_GSE14580_UC	24	16	0.8125	0.9094485085777655	0.20029637418280033	il1b_lamp3_cross_system	proxy_plus_il1b_lamp3_cross_system
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.0810668232843204	il1b_lamp3_cross_system	proxy_plus_il1b_lamp3_cross_system
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2764080478767673	il1b_lamp3_cross_system	proxy_plus_il1b_lamp3_cross_system
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	IL1B	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	IL1B	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	IL1B	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	IL1B	proxy_baseline
ACT1_GSE12251_UC	22	10	0.8916666666666667	0.8938339438339438	0.15460684394952495	IL1B	proxy_plus_IL1B
Leuven_GSE14580_UC	24	16	0.8125	0.9094485085777655	0.1922937891343567	IL1B	proxy_plus_IL1B
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.08812473494320265	IL1B	proxy_plus_IL1B
Leuven_GSE16879_Crohn_ileitis	18	10	0.7125	0.7744580419580419	0.2659433588868153	IL1B	proxy_plus_IL1B
ACT1_GSE12251_UC	22	10	0.8999999999999999	0.8980006105006104	0.1699280367714344	LAMP3	proxy_baseline
Leuven_GSE14580_UC	24	16	0.8125	0.9083147618098276	0.19880974994109227	LAMP3	proxy_baseline
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.09116830285306919	LAMP3	proxy_baseline
Leuven_GSE16879_Crohn_ileitis	18	10	0.7	0.7723809523809523	0.2630106937963076	LAMP3	proxy_baseline
ACT1_GSE12251_UC	22	10	0.9083333333333334	0.9081593406593406	0.16989000809227092	LAMP3	proxy_plus_LAMP3
Leuven_GSE14580_UC	24	16	0.8203125	0.9148305534334946	0.20645281827286924	LAMP3	proxy_plus_LAMP3
Leuven_GSE16879_Crohn_colitis	19	7	1.0	0.9999999999999998	0.08608472478948667	LAMP3	proxy_plus_LAMP3
