cohort	feature	n_defined	n_present	genes_present	genes_missing
GSE12251_UC_ACT1_baseline	score_circuit_il1b_trem1_cxcl8_osm	4	4	IL1B;TREM1;CXCL8;OSM	
GSE12251_UC_ACT1_baseline	score_wave86_il1b_lamp3_cross_system	2	2	IL1B;LAMP3	
GSE12251_UC_ACT1_baseline	score_neutrophil_granulocyte_proxy	7	7	S100A8;S100A9;MPO;FCGR3B;CXCR2;CSF3R;NAMPT	
GSE12251_UC_ACT1_baseline	score_stromal_ulceration_proxy	8	8	COL1A1;COL1A2;COL3A1;PDPN;VIM;MMP3;MMP7;FN1	
GSE12251_UC_ACT1_baseline	score_epithelial_marker_mean	8	8	EPCAM;KRT8;KRT18;KRT19;VIL1;MUC2;TFF3;CDH1	
GSE12251_UC_ACT1_baseline	score_generic_inflammatory_proxy	7	7	TNF;NFKBIA;IL6;CXCL1;CXCL2;CXCL3;PTGS2	
GSE12251_UC_ACT1_baseline	score_ifn_apc_proxy	7	7	STAT1;CXCL10;GBP1;IFI30;IRF1;HLA-DRA;CD74	
GSE12251_UC_ACT1_baseline	score_housekeeping_negative_control	5	5	ACTB;GAPDH;RPLP0;B2M;HPRT1	
GSE14580_UC_Leuven_baseline	score_circuit_il1b_trem1_cxcl8_osm	4	4	IL1B;TREM1;CXCL8;OSM	
GSE14580_UC_Leuven_baseline	score_wave86_il1b_lamp3_cross_system	2	2	IL1B;LAMP3	
GSE14580_UC_Leuven_baseline	score_neutrophil_granulocyte_proxy	7	7	S100A8;S100A9;MPO;FCGR3B;CXCR2;CSF3R;NAMPT	
GSE14580_UC_Leuven_baseline	score_stromal_ulceration_proxy	8	8	COL1A1;COL1A2;COL3A1;PDPN;VIM;MMP3;MMP7;FN1	
GSE14580_UC_Leuven_baseline	score_epithelial_marker_mean	8	8	EPCAM;KRT8;KRT18;KRT19;VIL1;MUC2;TFF3;CDH1	
GSE14580_UC_Leuven_baseline	score_generic_inflammatory_proxy	7	7	TNF;NFKBIA;IL6;CXCL1;CXCL2;CXCL3;PTGS2	
GSE14580_UC_Leuven_baseline	score_ifn_apc_proxy	7	7	STAT1;CXCL10;GBP1;IFI30;IRF1;HLA-DRA;CD74	
GSE14580_UC_Leuven_baseline	score_housekeeping_negative_control	5	5	ACTB;GAPDH;RPLP0;B2M;HPRT1	
GSE16879_Crohn_colitis_Leuven_baseline	score_circuit_il1b_trem1_cxcl8_osm	4	4	IL1B;TREM1;CXCL8;OSM	
GSE16879_Crohn_colitis_Leuven_baseline	score_wave86_il1b_lamp3_cross_system	2	2	IL1B;LAMP3	
GSE16879_Crohn_colitis_Leuven_baseline	score_neutrophil_granulocyte_proxy	7	7	S100A8;S100A9;MPO;FCGR3B;CXCR2;CSF3R;NAMPT	
GSE16879_Crohn_colitis_Leuven_baseline	score_stromal_ulceration_proxy	8	8	COL1A1;COL1A2;COL3A1;PDPN;VIM;MMP3;MMP7;FN1	
GSE16879_Crohn_colitis_Leuven_baseline	score_epithelial_marker_mean	8	8	EPCAM;KRT8;KRT18;KRT19;VIL1;MUC2;TFF3;CDH1	
GSE16879_Crohn_colitis_Leuven_baseline	score_generic_inflammatory_proxy	7	7	TNF;NFKBIA;IL6;CXCL1;CXCL2;CXCL3;PTGS2	
GSE16879_Crohn_colitis_Leuven_baseline	score_ifn_apc_proxy	7	7	STAT1;CXCL10;GBP1;IFI30;IRF1;HLA-DRA;CD74	
GSE16879_Crohn_colitis_Leuven_baseline	score_housekeeping_negative_control	5	5	ACTB;GAPDH;RPLP0;B2M;HPRT1	
GSE16879_Crohn_ileitis_Leuven_baseline	score_circuit_il1b_trem1_cxcl8_osm	4	4	IL1B;TREM1;CXCL8;OSM	
GSE16879_Crohn_ileitis_Leuven_baseline	score_wave86_il1b_lamp3_cross_system	2	2	IL1B;LAMP3	
GSE16879_Crohn_ileitis_Leuven_baseline	score_neutrophil_granulocyte_proxy	7	7	S100A8;S100A9;MPO;FCGR3B;CXCR2;CSF3R;NAMPT	
GSE16879_Crohn_ileitis_Leuven_baseline	score_stromal_ulceration_proxy	8	8	COL1A1;COL1A2;COL3A1;PDPN;VIM;MMP3;MMP7;FN1	
GSE16879_Crohn_ileitis_Leuven_baseline	score_epithelial_marker_mean	8	8	EPCAM;KRT8;KRT18;KRT19;VIL1;MUC2;TFF3;CDH1	
GSE16879_Crohn_ileitis_Leuven_baseline	score_generic_inflammatory_proxy	7	7	TNF;NFKBIA;IL6;CXCL1;CXCL2;CXCL3;PTGS2	
GSE16879_Crohn_ileitis_Leuven_baseline	score_ifn_apc_proxy	7	7	STAT1;CXCL10;GBP1;IFI30;IRF1;HLA-DRA;CD74	
GSE16879_Crohn_ileitis_Leuven_baseline	score_housekeeping_negative_control	5	5	ACTB;GAPDH;RPLP0;B2M;HPRT1	
