system	gene	nonresponse_high_contexts	responder_high_contexts	min_p	weighted_mean_hedges_g_responder_minus_non
IBD	CH25H	4	0	0.0574447112121395	-0.3679564968533258
IBD	CYP27A1	1	3	0.2079385564406917	0.2644643931917462
IBD	CYP7B1	4	0	0.0025309822224862	-1.2536544339532385
IBD	GPR183	4	0	0.0008985987348273	-1.1082226616268842
IBD	HSD3B7	1	3	0.4756400391276382	0.1258841066455044
RA	CH25H	1	0	0.0635594177992698	-0.6066675630957371
RA	CYP27A1	1	0	0.025380022926815	-0.6524587330996928
RA	CYP7B1	1	0	0.317305973344563	-0.3852525280071333
RA	GPR183	0	1	0.0278511859622628	0.7060789510677997
RA	HSD3B7	0	1	0.1234124034793135	0.5705209621405636
psoriasis	CH25H	0	1	0.954251310102665	0.029366184926315
psoriasis	CYP27A1	1	0	0.6870321276294251	-0.2013501653696733
psoriasis	CYP7B1	0	1	0.0935117747935559	0.8119062370709905
psoriasis	GPR183	1	0	0.8966803509527789	-0.0637205021219814
psoriasis	HSD3B7	0	1	0.2473225426191309	0.5901800748128821
