dataset	therapy_class	therapy	disease	tissue_or_compartment	design	analysis_scope	module	n_pairs	mean_post_minus_pre	median_post_minus_pre	one_sample_t	p	confounders	fdr	global_pd_fdr
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	ifn_apc	4	0.304285268097264	0.1455318358855222	1.5800883283546625	0.2122153356615726	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	hla_ii_apc	4	0.2705492513885443	0.1290682970387841	1.0984702488279583	0.3522546679843847	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.689567691077535
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	lysosomal_apc	4	0.0529498178020742	0.0680479606959051	1.1917516645775703	0.3190426510029622	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.6786907303153923
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	mif_cd74_receptor_state	4	0.2934593417545398	0.1041665880989411	1.0639068120293966	0.3654119388615998	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.689567691077535
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	mixscale_validated_ifng_readout	4	0.1876452972852091	0.0744169877657246	1.4688582785030235	0.2381934209098919	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	lipid_loader_repair	4	0.0375018810172138	0.053601624692489	1.482575451045849	0.2348082539904916	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	complement_phagocytosis	4	0.0083291447758155	0.0089244228801401	1.3072015543091735	0.282310067500981	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	hif_nampt_metabolic	4	0.1965073948203282	0.2538760613179401	1.3041789592630195	0.2832134773187171	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=b_plasma_like	inflammatory_nfkb	4	0.1385004895436389	0.2255144120230557	1.0986693913390129	0.352180222088661	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3654119388615998	0.689567691077535
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	ifn_apc	4	0.1512054764774458	0.1000733290203482	1.375394169034437	0.2627170662480984	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3844376601042801	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	hla_ii_apc	4	0.1403040291071951	0.0421765872823276	0.9090350442262704	0.4303507260258603	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.4303507260258603	0.7262249168711733
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	lysosomal_apc	4	0.0779160437583529	0.0807611421455601	1.2529068612196448	0.2990070689699957	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3844376601042801	0.6656803599686144
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	mif_cd74_receptor_state	4	0.1463913954609318	0.0521943141898677	1.0680492812278894	0.3638100754112116	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.409286334837613	0.689567691077535
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	mixscale_validated_ifng_readout	4	0.131096955005742	0.0996811568404431	1.6442562376757608	0.1986706624071463	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3576071923328635	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	lipid_loader_repair	4	0.0614879377775026	0.0706204163955383	3.893527515152507	0.0300504708571645	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1352271188572405	0.4334866103411389
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	complement_phagocytosis	4	0.0195791946286757	0.0186002611931204	5.353025089847776	0.0127536497103509	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.1147828473931583	0.4334866103411389
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	hif_nampt_metabolic	4	0.1569033237323304	0.1599427560183532	2.066266024118383	0.1307086506109416	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3502849932041258	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=epithelial_like	inflammatory_nfkb	4	0.1905195452832236	0.2713330985046047	1.886561594636565	0.1556822192018337	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.3502849932041258	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	ifn_apc	4	0.1504366009396891	0.1882177308417572	1.4254714104625703	0.2492551460609771	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	hla_ii_apc	4	0.0488778630757158	0.0534068426786952	0.2441549747042642	0.8228562522586278	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.908246995417542
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	lysosomal_apc	4	0.030971538373371	0.0176519996664438	0.2812401573804996	0.7968086498634319	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.8939321466083358
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	mif_cd74_receptor_state	4	0.051136004200906	0.1417642818760985	0.2734581186008808	0.8022467982382501	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.8939321466083358
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	mixscale_validated_ifng_readout	4	0.1352693242840758	0.0924951339965476	1.3078086623564835	0.2821289770474207	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	lipid_loader_repair	4	0.0272103107097879	0.0238546025310379	0.3769678409012179	0.7312828532869478	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.8494050151514976
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	complement_phagocytosis	4	-0.0286846774301988	-0.1202225142006238	-0.2220103907555969	0.8385605286366249	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.9084405726896769
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	hif_nampt_metabolic	4	0.1906869411015603	0.3023434551516515	0.9830740708189474	0.3980604300012908	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.7166919503139273
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=myeloid_apc_like	inflammatory_nfkb	4	0.1103307989479261	0.2478511818030822	0.5808457316891549	0.602102504374321	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8385605286366249	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	ifn_apc	4	0.0492514479701389	-0.0380741873317519	0.3585698175073994	0.7436654559941438	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8366236379934118	0.8494050151514976
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	hla_ii_apc	4	-0.1070154394078011	-0.0685080277036334	-1.2070938835540022	0.3138904968030307	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.6786907303153923
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	lysosomal_apc	4	-0.0561296516121923	-0.089648434807951	-0.5700489851385586	0.6085397221558629	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	mif_cd74_receptor_state	4	-0.0624189912475483	-0.0135301806343609	-0.7348576183435092	0.5156585105912541	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.7734877658868812
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	mixscale_validated_ifng_readout	4	0.0233219333541463	-0.0529017161035799	0.2246209893389461	0.8367037106859846	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.8367037106859846	0.9084405726896769
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	lipid_loader_repair	4	-0.0387983177235385	-0.0423472519696108	-1.4138978879335475	0.2522990506861268	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	complement_phagocytosis	4	0.0678520812478152	0.0651106970124476	1.378830261120807	0.2617688737886857	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.662719536925798
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	hif_nampt_metabolic	4	0.0672332429203556	0.0649864068577238	0.5871909214141905	0.5983418519134257	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.8071001079479152
GSE253006	JAK/TYK	tofacitinib	ulcerative colitis	marker-derived rectal single-cell compartments	earliest post-treatment minus baseline	group=No responder;marker_compartment=stromal_endothelial_like	inflammatory_nfkb	4	0.111246494023162	0.1246774735365911	0.7901984913149185	0.4871142470813646	post-treatment only for PD; n small, marker-derived compartments, cell-composition shifts	0.7824082142003952	0.7498995645857849
