case	step	command	expected_returncode	returncode	elapsed_seconds	status	stdout_tail	stderr_tail	score_values_read
global	first30_decision_table	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_first30_returned_package_decision_table.py --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/first30_decision_table --fail-on-error	0	0	0.223	PASS	"{
  ""all_score_values_read_false"": true,
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/first30_decision_table/first30_returned_package_decision_lint.tsv"",
  ""markdown"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/first30_decision_table/FIRST30_RETURNED_PACKAGE_DECISION_TABLE.md"",
  ""n_lint_checks"": 92,
  ""n_lint_fail"": 0,
  ""n_rows"": 46,
  ""n_scenarios"": 6,
  ""overall_status"": ""PASS"",
  ""purpose"": ""V46 first-30-minute returned-package operator decision table; no biological claim"",
  ""synthetic"": false,
  ""table"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/first30_decision_table/first30_returned_package_decision_table.tsv""
}
"	(empty)	false
global	state_transition_validator	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_returned_package_state_transition_validator.py --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/state_transition_validator --fail-on-error	0	0	0.117	PASS	"{
  ""allowed_transitions"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/state_transition_validator/returned_package_allowed_transitions.tsv"",
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/state_transition_validator/returned_package_state_transition_lint.tsv"",
  ""markdown"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/state_transition_validator/RETURNED_PACKAGE_STATE_TRANSITION_VALIDATOR.md"",
  ""n_allowed_edges"": 25,
  ""n_forbidden_shortcut_checks"": 14,
  ""n_lint_checks"": 79,
  ""n_lint_fail"": 0,
  ""n_premature_report_paths"": 0,
  ""n_premature_score_paths"": 0,
  ""n_scenario_transition_rows"": 56,
  ""n_scenarios"": 8,
  ""n_states"": 19,
  ""overall_status"": ""PASS"",
  ""purpose"": ""V46 returned-package state-transition validator; no biological claim"",
  ""scenario_transitions"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/state_transition_validator/returned_package_state_transition_scenarios.tsv"",
  ""states"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/state_transition_validator/returned_package_states.tsv"",
  ""synthetic"": true
}
"	(empty)	false
global	repair_template_coverage	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_first30_repair_template_coverage_linter.py --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/repair_template_coverage --fail-on-error	0	0	0.122	PASS	"{
  ""all_score_values_read_false"": true,
  ""coverage"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/repair_template_coverage/first30_repair_template_coverage.tsv"",
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/repair_template_coverage/first30_repair_template_coverage_lint.tsv"",
  ""markdown"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/repair_template_coverage/FIRST30_REPAIR_TEMPLATE_COVERAGE.md"",
  ""n_coverage_rows"": 143,
  ""n_dynamic_safe_class_rows"": 100,
  ""n_explicit_template_rows"": 28,
  ""n_first30_rows"": 46,
  ""n_lint_checks"": 152,
  ""n_lint_fail"": 0,
  ""n_local_operator_guard_rows"": 15,
  ""n_safe_classes_with_templates"": 9,
  ""n_template_ids"": 10,
  ""overall_status"": ""PASS"",
  ""purpose"": ""V46 first-30 stop-route to repair-template coverage linter; no biological claim"",
  ""safe_class_coverage"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/repair_template_coverage/repair_template_safe_class_coverage.tsv"",
  ""synthetic"": false
}
"	(empty)	false
canonical_scored_preflight	receipt_manifest_schema_lint	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_receipt_manifest_schema_linter.py lint --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/canonical_scored_preflight/receipt_manifest.tsv --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/canonical_scored_preflight/receipt_manifest_schema_lint	0	0	1.092	PASS	"{
  ""all_score_values_read_false"": true,
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/canonical_scored_preflight/receipt_manifest_schema_lint/receipt_manifest_schema_lint.tsv"",
  ""manifest"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/canonical_scored_preflight/receipt_manifest.tsv"",
  ""n_checks"": 48,
  ""n_fail"": 0,
  ""n_rows"": 9,
  ""overall_status"": ""PASS"",
  ""purpose"": ""V46 receipt-manifest schema lint; no biological claim and no score values read"",
  ""synthetic"": false,
  ""synthetic_case"": ""none""
}
"	(empty)	false
canonical_scored_preflight	package_manifest_shape_classification	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/canonical_scored_preflight/receipt_manifest.tsv --terms-class AGGREGATE_ONLY_LOCAL_PREFLIGHT --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/canonical_scored_preflight/package_manifest_shape_classifier --fail-on-error	0	0	0.859	PASS	"{
  ""classification"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/canonical_scored_preflight/package_manifest_shape_classifier/package_manifest_shape_classification.tsv"",
  ""first30_scenario"": ""scored_canonical_aggregate"",
  ""metric_format_state_for_command_order"": ""canonical"",
  ""overall_status"": ""PASS"",
  ""package_state_for_command_order"": ""scored"",
  ""purpose"": ""V46 package-manifest shape classification; no biological claim and no score values read"",
  ""score_values_read"": false,
  ""synthetic"": true
}
"	(empty)	false
noncanonical_scored_preflight	receipt_manifest_schema_lint	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_receipt_manifest_schema_linter.py lint --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/noncanonical_scored_preflight/receipt_manifest.tsv --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/noncanonical_scored_preflight/receipt_manifest_schema_lint	0	0	0.604	PASS	"{
  ""all_score_values_read_false"": true,
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/noncanonical_scored_preflight/receipt_manifest_schema_lint/receipt_manifest_schema_lint.tsv"",
  ""manifest"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/noncanonical_scored_preflight/receipt_manifest.tsv"",
  ""n_checks"": 48,
  ""n_fail"": 0,
  ""n_rows"": 9,
  ""overall_status"": ""PASS"",
  ""purpose"": ""V46 receipt-manifest schema lint; no biological claim and no score values read"",
  ""synthetic"": false,
  ""synthetic_case"": ""none""
}
"	(empty)	false
noncanonical_scored_preflight	package_manifest_shape_classification	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/noncanonical_scored_preflight/receipt_manifest.tsv --terms-class AGGREGATE_ONLY_LOCAL_PREFLIGHT --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/noncanonical_scored_preflight/package_manifest_shape_classifier --fail-on-error	0	0	0.509	PASS	"{
  ""classification"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/noncanonical_scored_preflight/package_manifest_shape_classifier/package_manifest_shape_classification.tsv"",
  ""first30_scenario"": ""scored_noncanonical_aggregate"",
  ""metric_format_state_for_command_order"": ""noncanonical"",
  ""overall_status"": ""PASS"",
  ""package_state_for_command_order"": ""scored"",
  ""purpose"": ""V46 package-manifest shape classification; no biological claim and no score values read"",
  ""score_values_read"": false,
  ""synthetic"": true
}
"	(empty)	false
unknown_alias_preflight	receipt_manifest_schema_lint	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_receipt_manifest_schema_linter.py lint --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/unknown_alias_preflight/receipt_manifest.tsv --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/unknown_alias_preflight/receipt_manifest_schema_lint	2	2	0.458	PASS	"{
  ""all_score_values_read_false"": true,
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/unknown_alias_preflight/receipt_manifest_schema_lint/receipt_manifest_schema_lint.tsv"",
  ""manifest"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/unknown_alias_preflight/receipt_manifest.tsv"",
  ""n_checks"": 48,
  ""n_fail"": 1,
  ""n_rows"": 9,
  ""overall_status"": ""FAIL"",
  ""purpose"": ""V46 receipt-manifest schema lint; no biological claim and no score values read"",
  ""synthetic"": false,
  ""synthetic_case"": ""none""
}
"	(empty)	false
unscoreable_preflight	receipt_manifest_schema_lint	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_receipt_manifest_schema_linter.py lint --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/unscoreable_preflight/receipt_manifest.tsv --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/unscoreable_preflight/receipt_manifest_schema_lint	0	0	0.612	PASS	"{
  ""all_score_values_read_false"": true,
  ""lint"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/unscoreable_preflight/receipt_manifest_schema_lint/receipt_manifest_schema_lint.tsv"",
  ""manifest"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/unscoreable_preflight/receipt_manifest.tsv"",
  ""n_checks"": 8,
  ""n_fail"": 0,
  ""n_rows"": 1,
  ""overall_status"": ""PASS"",
  ""purpose"": ""V46 receipt-manifest schema lint; no biological claim and no score values read"",
  ""synthetic"": false,
  ""synthetic_case"": ""none""
}
"	(empty)	false
unscoreable_preflight	package_manifest_shape_classification	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/synthetic/unscoreable_preflight/receipt_manifest.tsv --terms-class AUTHOR_RUN_ONLY --outdir analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/unscoreable_preflight/package_manifest_shape_classifier --fail-on-error	0	0	0.501	PASS	"{
  ""classification"": ""analysis/v46_returned_package_regression_suite/returned_package_preflight_dryrun/unscoreable_preflight/package_manifest_shape_classifier/package_manifest_shape_classification.tsv"",
  ""first30_scenario"": ""unscoreable_aggregate"",
  ""metric_format_state_for_command_order"": ""canonical"",
  ""overall_status"": ""PASS"",
  ""package_state_for_command_order"": ""unscoreable"",
  ""purpose"": ""V46 package-manifest shape classification; no biological claim and no score values read"",
  ""score_values_read"": false,
  ""synthetic"": true
}
"	(empty)	false
