gene	disease_name	compartment	role	n_case_donors	n_control_donors	delta_log2_cpm	hedges_g	p	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10
ADCY3	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	17	-1.1789256510951551	-1.2866064150572771	0.0022700896690005	0.1477387577337131	False	True	False	False
ADCY3	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	19	-0.6354479176418919	-0.8421181315078407	0.0140011358965787	0.3818091784509823	False	True	False	False
ADCY3	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	-0.8761038830265324	-0.9474751688454176	0.0622390390628783	0.570651637425242	False	False	False	False
ADCY3	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	17	-0.8827890979503756	-1.102657390439724	0.0675812718485382	0.4981002029584167	False	False	False	False
ADCY3	ulcerative colitis	colon stromal	tissue_resident	6	6	-0.5909677132873705	-0.9267640577300617	0.1167690095295879	0.4959285701076651	False	False	False	False
ADCY3	psoriasis	skin keratinocyte	tissue_resident	3	3	0.7612096524435952	1.5059830081847767	0.1259732911785176	0.4852866574736557	False	False	False	False
ADCY3	psoriasis	skin APC	myeloid_apc	3	3	-1.538932416798593	-1.416199358034811	0.1312033638791162	0.7297013371935511	False	False	False	False
ADCY3	Crohn disease	colon epithelial	tissue_resident	6	6	0.7487952709945624	0.8154921677596338	0.1675364802000757	0.4554701968735204	False	False	False	False
ADCY3	ulcerative colitis	colon myeloid	myeloid_apc	6	6	-0.969222999360206	-0.797240793173303	0.1848971968424242	0.5728988179567374	False	False	False	False
ADCY3	psoriasis	skin stromal	tissue_resident	3	3	0.7552639713273344	0.863475228263086	0.2704806332270201	0.7098759221031382	False	False	False	False
ADCY3	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	0.4292877323247308	0.4388140039073196	0.279021083708866	0.8441184433525579	False	False	False	False
ADCY3	Crohn disease	colon stromal	tissue_resident	6	6	-0.3285492951856836	-0.5461230040039473	0.3316038432784589	0.7743788011897402	False	False	False	False
ADCY3	Crohn disease	colon myeloid	myeloid_apc	6	6	-0.3516319500523543	-0.5399361440734386	0.3374157878072804	0.7006169869618788	False	False	False	False
ADCY3	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	19	-0.2705338117572857	-0.2854056596990298	0.5064311333141034	0.8819046809187733	False	False	False	False
ADCY3	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	-0.1281236969756189	-0.2174996616316687	0.6128906397253265	0.9458680530205216	False	False	False	False
ADCY3	ulcerative colitis	colon epithelial	tissue_resident	6	6	0.4212702108321966	0.2708501872819116	0.62445413176768	0.8429459382247756	False	False	False	False
ADCY3	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	0.3384738349245393	0.1637182049571659	0.7009983168473851	0.9877698649422468	False	False	False	False
ADORA2A	psoriasis	skin stromal	tissue_resident	3	3	0.181951322527031	2.782179416702002	0.0449920412585513	0.5792247905546628	False	False	False	False
ADORA2A	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	17	1.0703179599983934	1.309958097721699	0.1783319158396226	0.5850833889013518	False	False	False	False
ADORA2A	psoriasis	skin keratinocyte	tissue_resident	3	3	-0.0283710214221107	-0.5460992818881992	0.4665874649180247	0.7304461405639588	False	False	False	False
ADORA2A	psoriasis	skin APC	myeloid_apc	3	3	0.2074761478359713	0.2321709024127968	0.7441922791973592	0.926590404835093	False	False	False	False
ADORA2B	ulcerative colitis	colon myeloid	myeloid_apc	6	6	2.0875594821231065	1.8383012880438896	0.0068657278334728	0.2006216494656879	True	False	False	False
ADORA2B	Crohn disease	colon myeloid	myeloid_apc	6	6	1.8531387408415347	1.645593692151622	0.0125460539621593	0.2447282448924945	True	False	False	False
ADORA2B	ulcerative colitis	colon epithelial	tissue_resident	6	6	0.8417171448722409	1.1633268418379763	0.0540823897715622	0.3503414518339925	False	False	False	False
ADORA2B	psoriasis	skin keratinocyte	tissue_resident	3	3	-0.8460094466028121	-1.5178320748082887	0.0976025080955431	0.4513600302073536	False	False	False	False
ADORA2B	ulcerative colitis	colon stromal	tissue_resident	6	6	1.1989501049947031	1.0387502588318045	0.0980929909809278	0.4684581908398747	False	False	False	False
ADORA2B	psoriasis	skin APC	myeloid_apc	3	3	-1.195314335475549	-1.3324068223522632	0.1120245863819749	0.7297013371935511	False	False	False	False
ADORA2B	Crohn disease	colon stromal	tissue_resident	6	6	0.851746901376178	0.7593269858824653	0.2024646321162867	0.716212242970534	False	False	False	False
ADORA2B	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	17	0.7460001342473476	0.8087349919681033	0.2158159169274686	0.6144659698334859	False	False	False	False
ADORA2B	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	17	0.4454366572006516	0.3419930852965624	0.3003727009379553	0.725061586053446	False	False	False	False
ADORA2B	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	19	0.4319975009295023	0.2728779319642311	0.3797425602165555	0.6878167449400784	False	False	False	False
ADORA2B	psoriasis	skin stromal	tissue_resident	3	3	0.2109744951947725	0.5910400899682038	0.4171589487667179	0.7808514816310378	False	False	False	False
ADORA2B	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	-0.260435247411785	-0.2659678863421638	0.4213374103994118	0.7288480269106681	False	False	False	False
ADORA2B	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	-0.2360728790699682	-0.2218682011724212	0.5853642858255157	0.9362461185178574	False	False	False	False
ADORA2B	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	0.2405688783625448	0.2071387926519303	0.5917388960662274	0.8702478925253583	False	False	False	False
ADORA2B	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	0.3088257621575097	0.1759781251282011	0.6829999358512147	0.982628879259968	False	False	False	False
ADORA2B	Crohn disease	colon epithelial	tissue_resident	6	6	-0.0115249153356047	-0.0191774333663227	0.9720936886363184	0.9888960087435508	False	False	False	False
FFAR2	Crohn disease	colon myeloid	myeloid_apc	6	6	4.205110349518374	2.396588183104916	0.0022010730034328	0.1376844092199845	True	False	False	False
FFAR2	ulcerative colitis	colon epithelial	tissue_resident	6	6	2.50317748633514	2.047794472477345	0.0100321441806287	0.1896308498151566	True	False	False	False
FFAR2	ulcerative colitis	colon myeloid	myeloid_apc	6	6	3.478306474047204	1.8161424942276492	0.010753673988559	0.2383265540451423	True	False	False	False
FFAR2	Crohn disease	colon epithelial	tissue_resident	6	6	1.4661227966423458	1.5848908836640945	0.025195770235943	0.224308297326872	True	False	False	False
FFAR2	psoriasis	skin keratinocyte	tissue_resident	3	3	0.7154328662279265	2.1986288156765084	0.0436932042412304	0.4057266521332883	True	False	False	False
FFAR2	Crohn disease	colon stromal	tissue_resident	6	6	-0.8099155096635615	-1.0269406822426377	0.0878602608543115	0.6482619754395205	False	False	False	False
FFAR2	psoriasis	skin APC	myeloid_apc	3	3	-1.3615583546820358	-1.3426906510743797	0.110251317904881	0.7297013371935511	False	False	False	False
FFAR2	psoriasis	skin stromal	tissue_resident	3	3	-1.3019380064213388	-1.1882073220035825	0.148101889224225	0.6528387801677703	False	False	False	False
FFAR2	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	14	-0.2554879006904489	-0.2916502521094937	0.4340322704943827	0.9051887670102156	False	False	False	False
FFAR2	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	19	0.4837067246295374	0.5921657173402075	0.4475606879881502	0.8717581252423355	False	False	False	False
FFAR2	Sjogren syndrome	salivary gland APC	myeloid_apc	9	13	-0.4808314299311615	-0.2338573365432143	0.5857693484278024	0.9721463212818175	False	False	False	False
FFAR2	ulcerative colitis	colon stromal	tissue_resident	6	6	0.1986684999747392	0.1522303880094164	0.7823153986016255	0.933815741253161	False	False	False	False
FFAR2	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	18	0.0938714182374156	0.1210430977370205	0.8200631485640338	0.9304498738840472	False	False	False	False
FFAR2	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	14	0.0532395160106544	0.0847086721392497	0.8261881885741591	0.9470091386794696	False	False	False	False
GPR65	ulcerative colitis	colon stromal	tissue_resident	6	6	-1.8447804497334623	-2.083001345350561	0.0034816289763306	0.1404555360554158	False	True	False	False
