analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	contrast_call
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	AXL	6	6	4.909098422730829	7.200508724859776	-2.2914103021289467	-2.0607655513690397	-3.866796523913773	0.0031385568948218	0.0826228305094181	0.2215719818581873	1.0	6.054803573795303	True	0.152285472762049	False	True	False	False	negative_nominal
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	AXL	5	19	1.1314198784765277	2.4996292149705472	-1.3682093364940195	-0.9160131439149136	-2.9501028304978236	0.0091249873639166	0.0075860076726802	0.0382301239354323	0.875	2.21458560320096	True	0.3377240081294583	False	True	False	False	negative_nominal
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	AXL	6	6	5.78262156220796	7.200508724859776	-1.417887162651816	-1.296528029858959	-2.432790122915636	0.0352867386619489	0.1297080786459173	0.2215719818581873	1.0	6.491565143533868	True	0.3511075969531154	False	True	False	False	negative_nominal
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	AXL	4	17	7.769162682176396	6.826139233460302	0.9430234487160938	1.439985017508682	2.3945097081042475	0.0742139355394187	0.6033281459616331	0.3803774561720803	1.0	7.0057627475014606	True	0.5128497388023123	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	AXL	6	6	0.0652652898577995	0.263759393873773	-0.1984941040159734	-0.8903290330083216	-1.6706030473427542	0.1305378583470617	0.0004504504504504	0.0006541635175143	0.4166666666666667	0.1645123418657863	True	0.4617575669041959	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	AXL	3	3	3.4868842644925455	4.003937651008408	-0.5170533865158622	-1.1329322986424737	-1.7344412779953169	0.2075344540739865	0.1078276395577589	0.1376113413942132	1.0	3.7454109577504777	True	0.5583044773956202	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	AXL	3	3	7.651107208558156	8.333092554372799	-0.6819853458146428	-0.9124039066119064	-1.396827506575728	0.2409679053904324	0.4362655651571332	0.5197859069394161	1.0	7.992099881465478	True	0.6968647567394325	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	AXL	5	18	0.7121528571398615	0.4625813854889566	0.2495714716509048	0.4615730958057681	1.0992962520198852	0.3030076376357953	0.0030390710962263	0.001631207589277	0.6521739130434783	0.5168360532391534	True	0.6705605723414209	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	AXL	10	14	7.144094474872195	7.342060621960148	-0.1979661470879534	-0.3597399614652806	-1.0195369041171136	0.321244130869935	0.1923771056102059	0.2305138289717153	1.0	7.259574727340168	True	0.8834808135177435	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	AXL	9	13	7.630463725307654	7.8550663030379635	-0.2246025777303097	-0.4490434823439296	-0.9409606608131398	0.3688842763252655	0.2581885545564648	0.342943732135177	1.0	7.763183430330108	True	0.9621803366179228	False	False	False	False	null_or_weak
