gene_symbol	n_sgrna	median_efficient_lfc	median_noneater_lfc	median_efficient_minus_noneater_lfc	efficient_p_wilcoxon	noneater_p_wilcoxon	contrast_p_wilcoxon	efficient_fdr	noneater_fdr	contrast_fdr	screen_call	efferocytosis_direction	modules
AXL	3.0	-0.5935109205511061	-0.0682074472741218	-0.4476354232438678	0.5	0.5	0.5	0.9600924529799222	0.9889744952178532	0.9971256078463696	UNRESOLVED	ko_impairment_trend	resolution_efferocytosis
BTK	4.0	0.0576855170089453	-0.1662875900931754	0.4338300491685158	0.875	0.125	0.375	1.0	0.8757238508867174	0.9965506589785832	UNRESOLVED	ko_enhancement_trend	
CD300A	4.0	0.6186853150435974	-0.6378981922843936	1.3382347566762522	0.125	0.125	0.125	0.8221627590893646	0.8757238508867174	0.920009505703422	UNRESOLVED	ko_enhancement_trend	
CD300LF	4.0	-0.070799246030108	-0.0476916851661017	-0.1802260625574201	0.625	1.0	0.625	0.9600924529799222	1.0	0.9971256078463696	UNRESOLVED	null_or_weak	
GAS6	4.0	-0.2194969527060903	0.1394843394046303	-0.5574375332134357	0.375	0.625	0.25	0.9052095024317248	0.9889744952178532	0.920009505703422	UNRESOLVED	ko_impairment_trend	resolution_efferocytosis
INPP5D	4.0	0.4246626596054574	0.0513046020376668	0.476714131826513	0.125	0.875	0.125	0.8221627590893646	1.0	0.920009505703422	UNRESOLVED	ko_enhancement_trend	
LAIR1	4.0	0.049009864731866	-0.0278759098036055	0.1628195105270481	0.875	0.875	0.625	1.0	1.0	0.9971256078463696	UNRESOLVED	null_or_weak	
LILRB1											not_present_in_wave37_mouse_screen	null_or_weak	
LILRB2											not_present_in_wave37_mouse_screen	null_or_weak	
LILRB4	4.0	-0.2281191017434479	0.2091086731669911	-0.437227774910439	0.625	0.625	0.125	0.9600924529799222	0.9889744952178532	0.920009505703422	UNRESOLVED	ko_impairment_trend	
MERTK	4.0	-0.4129785592243943	0.1441277949387467	-0.6588710945316293	0.125	0.25	0.25	0.8221627590893646	0.8757238508867174	0.920009505703422	UNRESOLVED	ko_impairment_trend	resolution_efferocytosis
PIK3CD	3.0	-0.2016356002231971	0.0983219726967441	0.1378622113439651	1.0	0.75	1.0	1.0	1.0	1.0	UNRESOLVED	null_or_weak	
PIK3CG	4.0	-0.4600413807077287	-0.6494228492385083	0.2443364706474158	0.125	0.125	0.375	0.8221627590893646	0.8757238508867174	0.9965506589785832	UNRESOLVED	null_or_weak	
PROS1	4.0	-0.2577536827167738	-0.0376079996632008	-0.1729480030886631	0.875	0.875	0.625	1.0	1.0	0.9971256078463696	UNRESOLVED	null_or_weak	resolution_efferocytosis
PTPN11	4.0	-0.9499052217115248	-0.2065123647409543	-0.7433928569705706	0.125	0.125	0.375	0.8221627590893646	0.8757238508867174	0.9965506589785832	UNRESOLVED	ko_impairment_trend	
PTPN6	4.0	-0.2756899099216953	-0.0037533925050319	0.034851895715515	0.375	0.875	1.0	0.9052095024317248	1.0	1.0	UNRESOLVED	null_or_weak	
SH2D1B											not_present_in_wave37_mouse_screen	null_or_weak	
SIGLEC10											not_present_in_wave37_mouse_screen	null_or_weak	
TYRO3	4.0	0.3951754181249329	-0.0026826115754948	0.1698454518586819	0.875	1.0	0.625	1.0	1.0	0.9971256078463696	UNRESOLVED	null_or_weak	resolution_efferocytosis
