cell_state	gene	n_patient_units	raw_delta_remission_minus_non	raw_p	raw_fdr	mean_delta	paired_p	paired_fdr	remission_adjusted_delta	remission_adjusted_p	remission_adjusted_fdr	wave62_score	wave62_call	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	ms_max_l2g_score	ms_max_relevant_qtl_h4	has_cross_autoimmune_genetics	has_any_druggability_flag	manual_or_prior_blocked	perturbation_strength	integrated_score	wave68_call
DC	INPP5D	29	0.0739405823498222	0.7291902033156992	1.0	-0.0766770387195086	0.4680303188137771	1.0				1.1307186484336853	NO_GO_WAVE62_TARGET_RESOLUTION	1.0	Psoriasis	0.0		0.0	0.0	0.0	False	False	False	0.4668851873271447	1.032244511543987	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	INPP5D	29	0.3729147258583515	0.1661321531863286	1.0	0.3313708465098981	0.0459563671652116	0.9925557906097598				1.1307186484336853	NO_GO_WAVE62_TARGET_RESOLUTION	1.0	Psoriasis	0.0		0.0	0.0	0.0	False	False	False	2.1172006155938465	2.682559939810689	DESCRIPTIVE_GENE_SIGNAL
DC	LAIR1	29	-0.3003566719452675	0.2582558189684976	1.0	0.1629099373691918	0.1862923655534309	1.0				0.0		0.0		0.0		0.0			False	False	False	1.3177548268208614	1.3177548268208614	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	LAIR1	29	-0.5587053703251496	0.0421950449800007	0.90663855872292	0.2637627640568566	0.1568217467333518	1.0				0.0		0.0		0.0		0.0			False	False	False	2.179332258954956	2.179332258954956	DESCRIPTIVE_GENE_SIGNAL
DC	LILRB1	29	-0.1759398102162802	0.5812186863118098	1.0	-0.3116790087699433	0.0217880838112669	0.9871932004204595				0.0		0.0		0.0		0.0			False	False	False	1.8974413942981931	1.8974413942981931	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	LILRB1	29	-0.8684771759675313	0.0037233108051895	0.6233257017163979	-0.2329578234381444	0.0868871227075129	1.0	-1.0352058811115483	0.0009370109913549	0.0120158383689099	0.0		0.0		0.0		0.0			False	False	False	3.490115293652034	3.490115293652034	DESCRIPTIVE_GENE_SIGNAL
DC	LILRB2	29	-0.8314648739553039	0.013416154978647	1.0	-0.0276004259976396	0.8417656750701903	1.0	-0.8841692968765248	0.0050521017110955	0.0224142446553593	0.0		0.0		0.0		0.0			False	False	False	1.9471807211401788	1.9471807211401788	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	LILRB2	29	-0.6323286916673698	0.077249701024857	0.997014962124125	0.0154247922927479	0.9165662132294548	1.0				0.0		0.0		0.0		0.0			False	False	False	1.1499393486299443	1.1499393486299443	DESCRIPTIVE_GENE_SIGNAL
DC	LILRB4	29	-0.9336810200917685	0.0928334707735617	1.0	-0.111282991201156	0.7093987535168597	1.0				0.0		0.0		0.0		0.0			False	False	False	1.181404991196549	1.181404991196549	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	LILRB4	29	-1.3648027425190772	0.0037283374420126	0.6233257017163979	-0.3198519349779468	0.1211241805622078	1.0	-1.4760600397337336	0.0007300093155063	0.0113374916142918	0.0		0.0		0.0		0.0			False	False	False	3.3452539357389277	3.3452539357389277	DESCRIPTIVE_GENE_SIGNAL
DC	MERTK	29	-0.9949901418632816	0.1712782116277761	1.0	-0.24132166568024	0.4381221683139386	1.0				1.555164396762848	NO_GO_WAVE62_TARGET_RESOLUTION	0.0		0.0		0.0	0.0	0.0	False	False	False	1.1247026519287036	1.9022848503101275	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	MERTK	29	-0.4385703020997268	0.3871356636607209	1.0	0.405062961907274	0.1180285622963356	1.0				1.555164396762848	NO_GO_WAVE62_TARGET_RESOLUTION	0.0		0.0		0.0	0.0	0.0	False	False	False	1.3401497017953472	2.1177319001767714	DESCRIPTIVE_GENE_SIGNAL
DC	PIK3CD	29	-0.9519857235645436	0.0536795935052986	1.0	0.3813750679140096	0.1124993671107573	1.0				0.0		0.0		0.0		0.0			False	False	False	2.219040702332163	2.219040702332163	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	PIK3CD	29	-0.1326603629314577	0.715157376430107	1.0	0.0591961672871505	0.713166106208992	1.0				0.0		0.0		0.0		0.0			False	False	False	0.2924076827071739	0.2924076827071739	DESCRIPTIVE_GENE_SIGNAL
DC	PIK3CG	29	-0.213508398470941	0.3877603677823323	1.0	0.3958632198340918	0.0091862133696225	0.8032881900345843				0.0		0.0		0.0		0.0			False	False	False	2.448300052740882	2.448300052740882	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	PIK3CG	29	-0.583304632005973	0.2159323571573724	1.0	0.0164610454719408	0.9403495459264444	1.0				0.0		0.0		0.0		0.0			False	False	False	0.6923929551936623	0.6923929551936623	DESCRIPTIVE_GENE_SIGNAL
DC	PROS1	29	-0.383047657943284	0.360978054348305	1.0	-0.095781139281858	0.6581742985491194	1.0				0.0		0.0		0.0		0.0			False	False	False	0.6241782809553222	0.6241782809553222	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	PROS1	29	0.1109350830947537	0.8297618320761087	1.0	0.0918580705660077	0.6761864344878874	1.0				0.0		0.0		0.0		0.0			False	False	False	0.2509800922161108	0.2509800922161108	DESCRIPTIVE_GENE_SIGNAL
DC	PTPN11	29	0.1354510488058276	0.5705016803445023	1.0	-0.0183144768135887	0.913200973201412	1.0				0.0		0.0		0.0		0.0			False	False	False	0.2831767064338368	0.2831767064338368	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	PTPN11	29	0.1572148606756482	0.6670683038944184	1.0	0.0463028979201205	0.8007476004070379	1.0				0.0		0.0		0.0		0.0			False	False	False	0.2723340486991493	0.2723340486991493	DESCRIPTIVE_GENE_SIGNAL
DC	PTPN6	29	-0.1898631832626119	0.3921711141441275	1.0	0.105837644140075	0.2217448371059207	1.0				0.0		0.0		0.0		0.0			False	False	False	1.0606708810702796	1.0606708810702796	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	PTPN6	29	-0.3783608208618626	0.0522182372928344	0.9381413353940796	0.0268459079431044	0.7578832062150331	1.0				0.0		0.0		0.0		0.0			False	False	False	1.402575508819505	1.402575508819505	DESCRIPTIVE_GENE_SIGNAL
DC	SH2D1B	29	-0.2914204932397043	0.1145441284735554	1.0	0.0675008387204329	0.4162307860163526	1.0				0.0		0.0		0.0		0.0			False	False	False	1.3216929686782188	1.3216929686782188	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	SH2D1B	29	-0.1101178177732137	0.5624270830027956	1.0	-0.1007236127885671	0.3691204764487997	1.0				0.0		0.0		0.0		0.0			False	False	False	0.6827656368032137	0.6827656368032137	DESCRIPTIVE_GENE_SIGNAL
DC	SIGLEC10	29	0.1675930762312956	0.6409363612065998	1.0	0.1527803374694478	0.3896219359453885	1.0				0.0		0.0		0.0		0.0			False	False	False	0.6025416896591116	0.6025416896591116	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	SIGLEC10	29	-0.3678299397981025	0.2317781795152652	1.0	-0.101790486193755	0.4744287278506378	1.0				0.0		0.0		0.0		0.0			False	False	False	0.9587564738186276	0.9587564738186276	DESCRIPTIVE_GENE_SIGNAL
DC	TYRO3	29	0.1207505532796213	0.744399421538476	1.0	-0.1319299461446288	0.5119658778401192	1.0				1.5620874166488647	NO_GO_WAVE62_TARGET_RESOLUTION	0.0		0.0		0.0	0.0	0.0	False	False	False	0.4189529565012743	1.1999966648257068	DESCRIPTIVE_GENE_SIGNAL
Mono_macro	TYRO3	29	0.0006772308886252	0.9978861858581226	1.0	0.26951549487528	0.0521344769967319	1.0				1.5620874166488647	NO_GO_WAVE62_TARGET_RESOLUTION	0.0		0.0		0.0	0.0	0.0	False	False	False	1.28379396830836	2.0648376766327923	DESCRIPTIVE_GENE_SIGNAL
