dataset	system	gene	delta_log2	hedges_g	p	fdr	ms_call
GSE111972	sorted human microglia, MS white matter vs control white matter	LILRB2	-0.7296611895492067	-1.340263453087741	0.0077844079989185	0.8344760564031432	ms_down_nominal
GSE111972	sorted human microglia, MS white matter vs control white matter	PIK3CG	0.3638822239076145	0.8174621159641557	0.0721793832731482	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	CD300A	-0.3453443248914674	-0.7766143203952453	0.0766109345414007	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	SIGLEC10	-0.6228823890231006	-0.7889879995997997	0.0790960238639784	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	PIK3CD	-0.3493015899945177	-0.8292489825091878	0.0844049809494602	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	INPP5D	-0.3037841690561134	-0.7287113144868769	0.0943958111282368	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	GAS6	-0.3747614007199935	-0.7105015072539677	0.1056413743833175	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	LAIR1	-0.2811215724373159	-0.715166644642748	0.1069140784882185	0.8989378106274888	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	PTPN11	0.1914483871986583	0.5701898603843572	0.1882167336704368	0.8993702893651148	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	AXL	0.2436879373355509	0.5356123959794967	0.2187319600718436	0.8993702893651148	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	PTPN6	-0.323469415535639	-0.5145959298184162	0.263412802552573	0.9049965616313804	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	PROS1	-0.2744612083561524	-0.473933147593873	0.277280176205179	0.9049965616313804	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	LILRB1	-0.2480039987346405	-0.4628983827341497	0.3035041507515239	0.9075477698307116	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	MERTK	0.2471109034794576	0.34078643587681	0.4292940108131474	0.9195199515584406	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	BTK	-0.0897993985966802	-0.2446976956583911	0.5626479987667415	0.9419051093293812	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	TYRO3	-0.5221106413811212	-0.2398800363507528	0.5805546499427854	0.9460300826505484	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	CD300LF	-0.0991212524448474	-0.1661163850359562	0.7089814372180329	0.9669212366619434	null_or_weak
GSE111972	sorted human microglia, MS white matter vs control white matter	LILRB4	-0.0567093265778488	-0.0627677211582155	0.8864378306397437	0.9842134382901514	null_or_weak
