gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	supporting_contexts	strong_supporting_contexts	geneformer_remission_priority_score	wave69_call	controller_score	connected_anchor_count	connected_anchors	manual_blocker	chembl_target_id	chembl_activity_rows	chembl_mechanism_rows	wave68_best_call	wave68_min_adjusted_fdr	wave68_min_raw_fdr	wave68_min_paired_fdr	wave69d_call	wave69d_call_priority
FCGR2A	6	3	2	1	GSE282122_Mono_macro_post_nonremission_to_remission	12	1.0568239060008964	0.03413613583672688	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_Mono_macro_post_nonremission_to_remission	9.75	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	1.0933154518231971	1.0	FCGR2A	Fc_receptor_directionality_and_safety	CHEMBL5841	1.0	0.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION		1.0	0.5890098953605836	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
JAK1	6	3	1	1	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.719032330134307	0.029622853392760995	GSE282122_DC_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_CD_only	7.75	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	27.13404466328152	2.0	CD274;IL7R	generic_JAK_STAT_axis_prior_art_host_defense	CHEMBL2835	19812.0	17.0	DESCRIPTIVE_GENE_SIGNAL	0.0243347862186503	0.7746967971611716	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
IL7R	6	2	1	1	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.3475858023767018	0.06214263699690087	GSE282122_DC_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_UC_only	7.5	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2.8285297481360625	1.0	IL7R	prior_art_CD127_autoimmune_axis		0.0	0.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0255314273575321	1.0	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
CD80	6	2	1	1	GSE282122_DC_post_nonremission_to_remission_UC_only	3	0.5011429582620628	0.007050273378586603	GSE282122_DC_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_UC_only	7.5	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	16.470383103720312	2.0	CD274;CD80	costimulation_axis_prior_art_and_broad_T_cell_APC_biology	CHEMBL2364157	0.0	3.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0315923718869413	1.0	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
NCF1	6	4	3	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	0.46179303554560275	0.04651311957924109	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		7.0	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	2.797068870466034	1.0	NCF1	NADPH_oxidase_host_defense_CGD_directionality_risk	CHEMBL1613743	199.0	0.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION		1.0	0.1621736418604976	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
SRC	6	6	1	0	GSE282122_DC_post_nonremission_to_remission	8	0.0996221609779181	0.005747269861684699	GSE282122_DC_post_nonremission_to_remission		3.5	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	20.12016656589379	3.0	FCGR2A;FCGR2B;LPP	broad_SRC_family_kinase_prior_art_selectivity_safety	CHEMBL267	8363.0	8.0	DESCRIPTIVE_GENE_SIGNAL		0.8259210365314283	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
SYK	6	3	1	0	GSE282122_DC_post_nonremission_to_remission	3	0.41724187796489204	0.015360495098219771	GSE282122_DC_post_nonremission_to_remission		2.75	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	17.149645761932643	2.0	FCGR2A;FCGR2B	SYK_prior_art_broad_immunosuppression	CHEMBL2599	8906.0	14.0	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
CD274	6	2	1	0	GSE282122_DC_post_nonremission_to_remission_CD_only	4	0.2644216920959175	0.02692569478790069	GSE282122_DC_post_nonremission_to_remission_CD_only		2.5	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	17.040789927374952	2.0	CD274;CD80	PD_L1_checkpoint_prior_art_and_autoimmune_safety_direction_risk	CHEMBL3580522	1882.0	13.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0243347862186503	0.9393807787077808	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
JAK2	6	1	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	0.22657970232034785	0.015127694604193997	GSE282122_DC_post_nonremission_to_remission_UC_only		2.25	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	25.049012441163672	2.0	CD274;STAT4	generic_JAK_STAT_axis_prior_art_host_defense	CHEMBL2971	24544.0	25.0	DESCRIPTIVE_GENE_SIGNAL		0.868100821606974	1.0	MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	1
FCGR2B	6	4	0	0	GSE282122_DC_post_nonremission_to_remission	5	0.8278829329338027	-0.022843998834206205			1.0	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	1.1891896914129672	1.0	FCGR2B	Fc_receptor_directionality_and_safety	CHEMBL4662940	0.0	1.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION		1.0	0.6910591719060241	NO_GO_MODEL_REMISSION_SCREEN	2
PRKDC	6	1	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	1	1.1463393728851727	0.0002941383365800392			0.25	PARK_DRUGGABLE_CONTROLLER_SCOUT_NEEDS_DIRECT_VALIDATION	18.028834961021648	2.0	NCF1;RGS14		CHEMBL3142	3093.0	1.0	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
STAT4	6	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.4903460250566796	-0.01721704727258637			0.25	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	3.9299934266150336	1.0	STAT4	STAT4_TF_not_selectively_druggable	CHEMBL4523296	5.0	0.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0078377860683372	0.5873562852590756	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
TNFSF15	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	1	0.8324543870079212	0.018887724594161326			0.0	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	0.8718309221190663	1.0	TNFSF15	TL1A_axis_prior_art_IBD_trials		0.0	0.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.016227237565977	1.0	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
FYN	6	0	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	1	0.5592898615323384	0.009438001920676065			0.0	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	20.316121524177152	3.0	FCGR2A;FCGR2B;LPP	broad_SRC_family_kinase_prior_art_selectivity_safety	CHEMBL1841	3572.0	1.0	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
GSK3B	6	0	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	1	0.46163144028690367	-0.014064968438793181			0.0	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	17.333432874747828	3.0	ARHGAP31;CD274;NCF1	GSK3_family_pleiotropic_neuroimmune_metabolic	CHEMBL6067425	4.0	0.0	DESCRIPTIVE_GENE_SIGNAL		0.997014962124125	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
MAPK14	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	2	0.29177355995394877	0.013250453264400776			0.0	NO_GO_BLOCKED_PRIOR_OR_BROAD_BIOLOGY	15.99104551690587	2.0	NCF1;STAT4	p38_MAPK_autoimmune_prior_art_and_broad_stress_axis	CHEMBL260	8611.0	35.0	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
SP140	6	0	0	0	GSE282122_DC_post_nonremission_to_remission	1	-0.3570072808525479	-0.024080578215135675			0.0									DESCRIPTIVE_GENE_SIGNAL	0.0468670678968243	0.7417124806231342	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
RGS14	6	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	1	-0.45124061156377776	0.017450251390821195			0.0	DESCRIPTIVE_SINGLE_ANCHOR_NEIGHBOR	7.88614783081571	1.0	RGS14			0.0	0.0	DESCRIPTIVE_GENE_SIGNAL;PARK_GENETIC_PERTURBATION_INTERSECTION	0.0113313768794424	1.0	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
BLK	6	0	0	0	GSE282122_DC_post_nonremission_to_remission	0					0.0	PARK_DRUGGABLE_CONTROLLER_SCOUT_NEEDS_DIRECT_VALIDATION	16.118130157563485	2.0	FCGR2A;FCGR2B		CHEMBL2250	1174.0	0.0	DESCRIPTIVE_GENE_SIGNAL		1.0	1.0	NO_GO_MODEL_REMISSION_SCREEN	2
