feature	feature_type	n_datasets	present_genes_by_dataset	baseline_same_direction	delta_same_direction	baseline_mean_hedges_g_r_minus_nr	delta_mean_hedges_g_r_minus_nr	best_baseline_p	best_delta_p	min_baseline_fdr	min_delta_fdr	calls	all_dataset_calls_non_no	cross_ms_call	claim_grade
oxylipin_resolution_axis	module_score	2	GSE235357:EPHX2;ALOX5;ALOX5AP;LTA4H | GSE250453:EPHX2;ALOX5;ALOX5AP;LTA4H	True	True	1.0419122743463476	0.4569858551279249	0.01567186598863129	0.39213423874852654	0.6582183715225143	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
leukotriene_axis	module_score	2	GSE235357:ALOX5;ALOX5AP;LTA4H | GSE250453:ALOX5;ALOX5AP;LTA4H	True	True	0.670340309621916	0.43345028760449333	0.07419933647811448	0.3216323772158462	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
LTA4H	gene	2	GSE235357:LTA4H | GSE250453:LTA4H	True	True	0.6637636630947754	0.9291682615132645	0.1663796201839875	0.03618999780769749	0.9370927446573233	0.37999497698082363	NO_MS_RESPONSE_REPLICATION;MS_TRAJECTORY_SIGNAL_SMALL_N	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
ALOX5AP	gene	2	GSE235357:ALOX5AP | GSE250453:ALOX5AP	True	True	0.6568896800909291	-0.6999799318699552	0.17890852305439672	0.16447065288262838	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
SCD	gene	2	GSE235357:SCD | GSE250453:SCD	False	True	-0.14332359336686717	0.5047252314991046	0.2490487819223779	0.3778735143967233	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
EPHX2	gene	2	GSE235357:EPHX2 | GSE250453:EPHX2	True	False	0.42234166380636373	-0.1767948079498739	0.2601027037840189	0.49592073066094533	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
P2RX7	gene	2	GSE235357:P2RX7 | GSE250453:P2RX7	True	True	-0.611541491523643	0.2449487118876446	0.2604567322493678	0.6180629413622304	0.9370927446573233	0.7949422042600179	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
CH25H	gene	2	GSE235357:CH25H | GSE250453:CH25H	False	False	-0.2361089804734514	0.04894516291991648	0.2732376688367611	0.6420004502323088	0.9370927446573233	0.7949422042600179	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
lysolipid_egress_axis	module_score	2	GSE235357:SPNS1;NAAA | GSE250453:SPNS1;NAAA	False	True	-0.3126849950212302	0.7124659990696085	0.2938638028150116	0.20657010184361588	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
FADS1	gene	2	GSE235357:FADS1 | GSE250453:FADS1	False	True	-0.13011479895677763	0.9419849159936287	0.30251538363316216	0.11459869863524555	0.9370927446573233	0.7361494959984586	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION	NEGATIVE_OR_UNSTABLE
