sample_id	product_id	url
CSM67UH7	CSM67UH7	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UH7_taxonomic_profile.biom
HSM5MD5B_P	HSM5MD5B	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM5MD5B_taxonomic_profile.biom
HSM6XRT8	HSM6XRT8	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM6XRT8_taxonomic_profile.biom
HSM5MD6I_P	HSM5MD6I	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM5MD6I_taxonomic_profile.biom
HSM5MD6Q	HSM5MD6Q	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM5MD6Q_taxonomic_profile.biom
HSM6XRQS	HSM6XRQS	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM6XRQS_taxonomic_profile.biom
HSM67VEO	HSM67VEO	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM67VEO_taxonomic_profile.biom
HSM6XRUL	HSM6XRUL	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM6XRUL_taxonomic_profile.biom
HSM67VDT_P	HSM67VDT	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM67VDT_taxonomic_profile.biom
HSMA33NY	HSMA33NY	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSMA33NY_taxonomic_profile.biom
MSM6J2HN	MSM6J2HN	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM6J2HN_taxonomic_profile.biom
MSM6J2JN	MSM6J2JN	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM6J2JN_taxonomic_profile.biom
MSM6J2JZ	MSM6J2JZ	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM6J2JZ_taxonomic_profile.biom
MSM6J2PO	MSM6J2PO	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM6J2PO_taxonomic_profile.biom
MSM6J2Q1	MSM6J2Q1	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM6J2Q1_taxonomic_profile.biom
MSM79H54	MSM79H54	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM79H54_taxonomic_profile.biom
MSM79H5E	MSM79H5E	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM79H5E_taxonomic_profile.biom
MSM79HCG	MSM79HCG	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM79HCG_taxonomic_profile.biom
MSM79H8D	MSM79H8D	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/MSM79H8D_taxonomic_profile.biom
