endpoint	left_out_donor	status	interaction_beta
oxphos	MS01	estimated	0.0746028838087652
oxphos	MS02	estimated	0.1303740665332786
oxphos	MS03	estimated	0.14352681079626112
oxphos	MS05	estimated	0.12738010507507774
oxphos	MS06	estimated	0.2532234403834488
oxphos	MS08	estimated	0.10867643712477254
oxphos	MS09	estimated	0.07890858206842266
oxphos	MS10	estimated	0.1362147922932868
oxphos	MS13	estimated	0.10209171794474033
oxphos	MS15	estimated	0.08491933317949929
oxphos	MS16	estimated	0.10963376896594157
oxphos	MS17	estimated	0.4320559575511816
oxphos	MS18	estimated	-0.2785365649630095
oxphos	MS19	estimated	0.2665442138429386
oxphos	MS20	estimated	0.11847834894794373
oxphos	MS21	estimated	0.08838552596321111
oxphos	MS23	estimated	0.06175485404823883
oxphos	MS25	estimated	0.11500817137713348
oxphos	MS26	estimated	0.07961382248317983
oxphos	MS27	estimated	0.2219504542818476
oxphos	MS28	estimated	0.06427371259818787
lysosomal_unique	MS01	estimated	0.13318246676622458
lysosomal_unique	MS02	estimated	-0.07074613063080856
lysosomal_unique	MS03	estimated	-0.022345999886275614
lysosomal_unique	MS05	estimated	0.00267277409224978
lysosomal_unique	MS06	estimated	0.04147152703233764
lysosomal_unique	MS08	estimated	0.1679660029263739
lysosomal_unique	MS09	estimated	-0.010601147127781846
lysosomal_unique	MS10	estimated	-0.16124066989594452
lysosomal_unique	MS13	estimated	0.01956432035247213
lysosomal_unique	MS15	estimated	-0.004265955026156398
lysosomal_unique	MS16	estimated	0.009574136191938143
lysosomal_unique	MS17	estimated	0.011835408281512999
lysosomal_unique	MS18	estimated	-0.014761442044320117
lysosomal_unique	MS19	estimated	-0.17123598241300741
lysosomal_unique	MS20	estimated	0.007677025683402422
lysosomal_unique	MS21	estimated	-0.044268625620368734
lysosomal_unique	MS23	estimated	0.08863762101613104
lysosomal_unique	MS25	estimated	0.005013054779557352
lysosomal_unique	MS26	estimated	-0.033062279338436334
lysosomal_unique	MS27	estimated	0.0917611768453035
lysosomal_unique	MS28	estimated	-0.008412726627471251
