variable	subtype	level	count	two_sided_fisher_odds_ratio	two_sided_fisher_p
activity	RRMS	a	1	0.027777777777777776	0.01698301698301698
activity	RRMS	s	9	0.027777777777777776	0.01698301698301698
activity	SPMS	a	4	0.027777777777777776	0.01698301698301698
activity	SPMS	s	1	0.027777777777777776	0.01698301698301698
sex	RRMS	F	6	6.0	0.28205128205128205
sex	RRMS	M	4	6.0	0.28205128205128205
sex	SPMS	F	1	6.0	0.28205128205128205
sex	SPMS	M	4	6.0	0.28205128205128205
