gene	wave71_call	wave71_reason	meta_score	raw_channel_points	positive_channel_points	hard_no_channel_penalty	hard_block_penalty	soft_prior_penalty	text_prior_penalty	evidence_channel_count	positive_status_count	parked_status_count	hard_no_status_count	genetics_channel_count	perturbation_channel_count	modality_channel_count	expression_channel_count	reopener_channel_count	evidence_channels	hard_block_reason	soft_penalty_reason	top_calls	evidence_summary	blockers	source_waves	gene_norm
CARMIL1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	2.3844	2.3844	2.3844	0.0	0.0	0.0	0.0	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	9; 3.0; Crohn disease; type 1 diabetes mellitus; ulcerative colitis; 0.0; capping protein regulator and myosin 1 linker 1; Celiac; RA; T1D; ...(+2)	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55	CARMIL1
PARK7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.79705	1.79705	1.79705	0.0	0.0	0.0	0.0	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	Parkinsonism associated deglycase; AS; Crohn; Psoriasis; RA; UC; 0.0; 0.6109704515996791; 3; 0; ...(+5)	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55	PARK7
CCDC88B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.2711	1.2711	1.2711	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	15; 3.0; Crohn disease; psoriasis; ulcerative colitis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34	CCDC88B
ARID5B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.24645	1.24645	1.24645	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	13; 1.0; psoriasis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34	ARID5B
TNFSF15	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1507	1.1507	1.1507	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				TNF superfamily member 15; AITD; AS; Celiac; Crohn; PBC; Psoriasis; RA; SLE; T1D; ...(+5)		wave55	TNFSF15
GENEIFI16	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.147826	1.147826	1.147826	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60	IFI16
IFI16	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.147826	1.147826	1.147826	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60	IFI16
PRKCB	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.1133	1.1133	1.1133	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				protein kinase C beta; AS; Crohn; Psoriasis; RA; UC; 0.0; 0.4255515583281347; 0.3988642844149048; 1; ...(+1)		wave55	PRKCB
RGS14	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.087015	3.25647	3.287015	0.7	0.0	0.0	1.5	2	0	2	1	2	1	1	1	0	external_genetics;unrestricted_gene_screen			PARK_GENETIC_PERTURBATION_INTERSECTION; PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE; DESCRIPTIVE_GENE_SIGNAL; NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	DC; 1.872360653346221; 0.0113313768794424; 1.0; 3.0; Mono_macro; regulator of G protein signaling 14; MS; Psoriasis; 0.6128154878511243; ...(+6)	cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; druggable_or_modality	wave55;wave63;wave68	RGS14
GENECASP8	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.061902	1.061902	1.061902	0.0	0.0	0.0	0.0	1	0	1	0	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis		wave60	CASP8
HDAC7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	1.0572	1.0572	1.0572	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				histone deacetylase 7; AS; Crohn; Psoriasis; RA; UC; 0.0; 0.0455948098208715; 0.1823792392834863; 2; ...(+1)		wave55	HDAC7
IFNGR2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.9994	0.9994	0.9994	0.0	0.0	0.0	0.0	1	0	0	0	1	0	1	0	0	external_genetics				interferon gamma receptor 2; AS; Crohn; MS; Psoriasis; RA; UC; 0.5718780339946261; 0.030396539880581; 0.0789263044965887; ...(+2)		wave55	IFNGR2
PRDM1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.949	2.449	2.449	0.0	0.0	0.0	1.5	2	0	1	0	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE; null_or_wrong_direction	8; 3.0; Crohn disease; type 1 diabetes mellitus; ulcerative colitis; 0.0; CHEMBL5214860; PR/SET domain 1; AS; Crohn; ...(+6)	gate_druggable_surface; gate_perturbation_or_model	wave34;wave55	PRDM1
ETV7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.5027	0.5027	0.5027	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4; 3.0; Crohn disease; Sjogren syndrome; type 1 diabetes mellitus; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34	ETV7
PLEK	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.5027	0.5027	0.5027	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4; 3.0; Crohn disease; Sjogren syndrome; ulcerative colitis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34	PLEK
SP110	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.5027	0.5027	0.5027	0.0	0.0	0.0	0.0	1	0	1	0	1	0	1	0	0	genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4; 3.0; psoriasis; type 1 diabetes mellitus; ulcerative colitis; 0.0	gate_druggable_surface; gate_perturbation_or_model	wave34	SP110
GALC	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.1096	2.761236	2.3096	0.7	0.0	0.0	1.5	2	0	1	1	2	0	2	0	0	external_genetics;genetics_expression_druggability			PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE; PARK_TRANSITION_CONTROLLER_NEEDS_MISSING_GATE; PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW; NO_GO_MODEL_SCREEN	7; 3.0; psoriasis; type 1 diabetes mellitus; ulcerative colitis; 0.0; galactosylceramidase; Crohn; MS; UC; ...(+8)	gate_druggable_surface; gate_perturbation_or_model; cross_disease_target_resolved; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; no_manual_or_prior_blocker; enhance/replace galactocerebrosidase in principle, but autoimmune direction and delivery are unproven; NO_GO_LYSOSOMAL_MODEL_REOPENER; ...(+5)	wave34;wave55;wave63	GALC
MTOR	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	0.041614	1.541614	1.541614	0.0	0.0	0.0	1.5	1	0	1	0	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD	LINCS/L1000FWD; cell-line transcriptomic reversal	non-obvious target requires prior-art and safety review	wave61	MTOR
CCL20	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.396287	2.065497	1.803713	0.7	0.0	0.0	1.5	2	0	1	1	1	0	2	1	0	external_genetics;surfaceome_rescue			PARK_REVIEW; NO_GO_CAUSAL_PROXY	C-C motif chemokine ligand 20; AS; Crohn; Psoriasis; RA; UC; 0.0; 0.7950547360286191; 4; 0; ...(+7)	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.; generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features	wave25;wave39;wave55	CCL20
ETS1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.4428	1.0572	1.0572	0.0	0.0	0.0	1.5	1	0	0	0	1	0	1	0	0	external_genetics			null_or_wrong_direction	ETS proto-oncogene 1, transcription factor; Celiac; Psoriasis; RA; SLE; 0.0; 0.8256964630655488; 2; 0		wave55	ETS1
SOCS1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.4428	1.0572	1.0572	0.0	0.0	0.0	1.5	1	0	0	0	1	0	1	0	0	external_genetics			null_or_wrong_direction	suppressor of cytokine signaling 1; Crohn; PBC; Psoriasis; UC; 0.0; 0.7672553164286849; 2; 0		wave55	SOCS1
ZFP36L1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.4428	1.0572	1.0572	0.0	0.0	0.0	1.5	1	0	0	0	1	0	1	0	0	external_genetics			null_or_wrong_direction	ZFP36 like 1 zinc finger CCCH-type; Crohn; MS; RA; T1D; 0.6968469784779934; 0.0; 0.0182379239283486; 0		wave55	ZFP36L1
MYC	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.6434	0.8566	0.8566	0.0	0.0	0.0	1.5	1	0	0	0	1	0	1	0	0	external_genetics			null_or_wrong_direction	MYC proto-oncogene, bHLH transcription factor; MS; RA; 0.5656569040590824; 0.0; 0.3998884762146096; 2; 0		wave55	MYC
