test_feature	cohort	model_name	validation	n	n_nonresponders	auc	average_precision	brier	baseline_auc	augmented_auc	delta_auc
circuit_il1b_trem1_cxcl8_osm	GSE12251_UC_ACT1_baseline	proxy_baseline	within_cohort_loocv	22	10	0.9583333333333333	0.9430122655122654	0.11762930858708559	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE12251_UC_ACT1_baseline	proxy_plus_circuit_il1b_trem1_cxcl8_osm	within_cohort_loocv	22	10	0.9583333333333333	0.9430122655122654	0.0982733857318399	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE14580_UC_Leuven_baseline	proxy_baseline	within_cohort_loocv	24	16	0.765625	0.8880095108695653	0.19495396247801364	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE14580_UC_Leuven_baseline	proxy_plus_circuit_il1b_trem1_cxcl8_osm	within_cohort_loocv	24	16	0.765625	0.8919341315705017	0.19785499554098837	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE16879_Crohn_colitis_Leuven_baseline	proxy_baseline	within_cohort_loocv	19	7	1.0	0.9999999999999998	0.050506077427588385	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE16879_Crohn_colitis_Leuven_baseline	proxy_plus_circuit_il1b_trem1_cxcl8_osm	within_cohort_loocv	19	7	1.0	0.9999999999999998	0.04486803013765497	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE16879_Crohn_ileitis_Leuven_baseline	proxy_baseline	within_cohort_loocv	18	10	0.5125	0.6882328782328782	0.26960809152111176	0.8005813953488372	0.8075581395348838	0.006976744186046546
circuit_il1b_trem1_cxcl8_osm	GSE16879_Crohn_ileitis_Leuven_baseline	proxy_plus_circuit_il1b_trem1_cxcl8_osm	within_cohort_loocv	18	10	0.5	0.681090021090021	0.27485507254881986	0.8005813953488372	0.8075581395348838	0.006976744186046546
il1b_lamp3_cross_system	GSE12251_UC_ACT1_baseline	proxy_baseline	within_cohort_loocv	22	10	0.9583333333333333	0.9430122655122654	0.11762930858708559	0.8005813953488372	0.8005813953488372	0.0
il1b_lamp3_cross_system	GSE12251_UC_ACT1_baseline	proxy_plus_il1b_lamp3_cross_system	within_cohort_loocv	22	10	0.975	0.9697979797979798	0.09880768112426135	0.8005813953488372	0.8005813953488372	0.0
il1b_lamp3_cross_system	GSE14580_UC_Leuven_baseline	proxy_baseline	within_cohort_loocv	24	16	0.765625	0.8880095108695653	0.19495396247801364	0.8005813953488372	0.8005813953488372	0.0
