test_feature	model_name	features	validation	n	n_nonresponders	auc	average_precision	brier
circuit_il1b_trem1_cxcl8_osm	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
circuit_il1b_trem1_cxcl8_osm	proxy_plus_circuit_il1b_trem1_cxcl8_osm	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;score_circuit_il1b_trem1_cxcl8_osm	leave_source_group_out	83	43	0.8075581395348838	0.8575274801922613	0.17865183055311307
il1b_lamp3_cross_system	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
il1b_lamp3_cross_system	proxy_plus_il1b_lamp3_cross_system	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;score_wave86_il1b_lamp3_cross_system	leave_source_group_out	83	43	0.8005813953488372	0.8502000405549545	0.17927033449553756
IL1B	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
IL1B	proxy_plus_IL1B	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;gene_IL1B	leave_source_group_out	83	43	0.8127906976744186	0.8588235364833647	0.17443074614454984
LAMP3	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
LAMP3	proxy_plus_LAMP3	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;gene_LAMP3	leave_source_group_out	83	43	0.7936046511627908	0.8464269393614983	0.1844704423797335
TREM1	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
TREM1	proxy_plus_TREM1	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;gene_TREM1	leave_source_group_out	83	43	0.8098837209302325	0.8581991018451025	0.17922794951269938
CXCL8	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
CXCL8	proxy_plus_CXCL8	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;gene_CXCL8	leave_source_group_out	83	43	0.8087209302325582	0.8572285806913522	0.17953844806000702
OSM	proxy_baseline	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy	leave_source_group_out	83	43	0.8005813953488372	0.853374516430125	0.18043663915782676
OSM	proxy_plus_OSM	score_neutrophil_granulocyte_proxy;score_stromal_ulceration_proxy;score_epithelial_depletion_proxy;score_generic_inflammatory_proxy;score_ifn_apc_proxy;gene_OSM	leave_source_group_out	83	43	0.7936046511627907	0.8495257881036851	0.18502417653404798
