route	n_defined	n_present	genes_present	genes_missing	dataset
FPR2_ANXA1_BIASED_RESOLUTION	2	2	FPR2;ANXA1		GSE12251
CD300_RECEPTOR_SPECIFIC_TUNING	5	4	CD300A;CD300C;CD300LF;CD300LG	CD300E	GSE12251
GPR65_ENDOLYSOSOMAL_PH_CAMP	1	1	GPR65		GSE12251
GPR183_EBI2_OXYSTEROL_NICHE	5	5	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1		GSE12251
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	5	5	MERTK;AXL;TYRO3;GAS6;PROS1		GSE12251
LXR_ABCA1_ABCG1_EFFLUX	4	4	NR1H3;NR1H2;ABCA1;ABCG1		GSE12251
PPAR_RXR_LIPID_REPAIR	7	7	PPARG;PPARA;PPARD;RXRA;RXRB;RARA;RARG		GSE12251
NPC1_NPC2_CHOLESTEROL_EGRESS	2	2	NPC1;NPC2		GSE12251
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	1	1	LIPA		GSE12251
FADS_DESATURATION_AXIS	2	2	FADS1;FADS2		GSE12251
SCD_MONOUNSATURATED_LIPID_AXIS	1	1	SCD		GSE12251
SQLE_STEROL_SYNTHESIS_AXIS	1	1	SQLE		GSE12251
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	2	2	AHR;CYP1A1		GSE12251
PTGER4_PROSTAGLANDIN_E2_AXIS	2	2	PTGER4;PTGS2		GSE12251
NAMPT_HIF_METABOLIC_STRESS	2	2	NAMPT;HIF1A		GSE12251
FPR2_ANXA1_BIASED_RESOLUTION	2	2	FPR2;ANXA1		GSE14580
CD300_RECEPTOR_SPECIFIC_TUNING	5	4	CD300A;CD300C;CD300LF;CD300LG	CD300E	GSE14580
GPR65_ENDOLYSOSOMAL_PH_CAMP	1	1	GPR65		GSE14580
GPR183_EBI2_OXYSTEROL_NICHE	5	5	GPR183;CH25H;CYP7B1;HSD3B7;CYP27A1		GSE14580
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	5	5	MERTK;AXL;TYRO3;GAS6;PROS1		GSE14580
