trait	disease_label	opengwas_id	source	cases	controls	n_snps	ancestry	url	role	automated_access_status	local_sumstats_path	access_note
multiple_sclerosis	MS	ieu-b-18	OpenGWAS / IMSGC Patsopoulos 2019	47429	68374.0	6304359	European	https://gwas.mrcieu.ac.uk/datasets/ieu-b-18/	anchor	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
ulcerative_colitis	UC	ieu-a-32	OpenGWAS / IIBDGC Liu 2015	6968	20464.0	12255197	European	https://opengwas.io/datasets/ieu-a-32	comparator	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
crohn_disease	Crohn	ieu-a-30	OpenGWAS / IIBDGC Liu 2015	5956	14927.0	12276506	European	https://opengwas.io/datasets/ieu-a-30	comparator	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
rheumatoid_arthritis	RA	ieu-a-832	OpenGWAS / Okada 2014	14361	43923.0	8747963	European	https://opengwas.io/datasets/ieu-a-832	comparator	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
systemic_lupus_erythematosus	SLE	ebi-a-GCST003156	OpenGWAS / Bentham 2015	5201	9066.0	7071163	European	https://opengwas.io/datasets/ebi-a-GCST003156	comparator	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
type_1_diabetes	T1D	ebi-a-GCST90014023	OpenGWAS / Chiou 2021	18942		59999551	European	https://opengwas.io/datasets/ebi-a-GCST90014023	comparator	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
psoriasis	Psoriasis	finn-b-L12_PSORIASIS	OpenGWAS / FinnGen	4510	212242.0	16380464	Finnish/European	https://opengwas.io/datasets/finn-b-L12_PSORIASIS	comparator	blocked_no_OPENGWAS_JWT		OpenGWAS download likely requires OPENGWAS_JWT or manual sumstats path.
