gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts
CTSB	11	105	0.00010582041729569709	0.054401591928167785	0.17490140829304565	4	1	10	1
CTSL	9	53	0.0003624703119081889	0.003751126376705022	0.43793693601014816	2	1	5	4
CD300E	2	12	0.00063279271125785	0.05664420127868645	1.016998788862656	1	1	2	0
ACSL3	8	26	-9.039665519593365e-05	-0.010607309173792575	-0.1629472025939936	1	1	2	6
LAMP3	1	8	0.0008416026830673	0.134614810347557	1.456825634832924	1	1	1	0
CD300LF	2	7	-0.00022904080105945002	-0.02704787813127045	0.05119679104641928	1	1	1	1
LGALS8	11	27	7.009722933368692e-05	0.0029729090165346818	0.13611294695793938	3	0	6	5
UGCG	11	62	-7.689555059185504e-05	0.0005720691300335905	-0.04018875960570651	3	0	6	5
GBA2	6	15	-0.00014488067972706666	0.010425737127661719	-0.2522224013697639	1	0	4	2
FABP5	5	28	0.0003173814478941498	0.02055905908346174	0.37782585727672946	1	0	3	2
CD44	11	86	-0.0004585540531975368	-0.030960067556324314	-0.5691725459469908	1	0	3	8
PLIN2	5	23	0.00012081331660735745	0.004110393533483139	0.14780479925860038	1	0	2	3
CHI3L1	5	11	-5.0379833555790404e-05	0.018059495091438282	0.0981595032981655	0	0	3	2
SCARB2	11	33	-0.00013845513537737522	-0.0090547108345411	-0.10932087452009522	0	0	3	8
APOC1	3	4	-0.0009873608748117667	-0.017054866999387797	-1.091748006188827	0	0	2	1
MSR1	1	1	0.0001567006111145	0.0157453995198011	0.44637749122572623	0	0	1	0
GPNMB	4	10	1.1521080978144275e-05	-0.018998443149030226	0.035945162223762255	0	0	1	3
APOE	7	14	-0.00015517887160448575	-0.054939140299601175	-0.26487649263178215	0	0	1	6
