module	module_class	tested_context_count	positive_context_count	negative_context_count	positive_fdr10_context_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_context
ets2_direct	candidate	17	3	0	3	2	0	Crohn disease;ulcerative colitis		ibd_uc_myeloid|ulcerative colitis|colon myeloid|effect=1.97|p=0.000217|fdr=0.00079
ets2_macrophage_program	candidate	17	11	3	11	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	psoriasis	ibd_uc_myeloid|ulcerative colitis|colon myeloid|effect=1.42|p=2.61e-07|fdr=3.21e-06
ap1_ets_immediate_early	candidate	17	0	5	0	0	2		psoriasis;ulcerative colitis	
generic_nfkb_tnf	specificity_comparator	17	11	1	11	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	psoriasis	ibd_uc_myeloid|ulcerative colitis|colon myeloid|effect=1.64|p=3.42e-05|fdr=0.000184
interferon_apc	specificity_comparator	17	15	0	15	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		t1d_beta_cell|type 1 diabetes mellitus|pancreatic beta cell|effect=1.82|p=0.00013|fdr=0.000552
lysosome_apc	specificity_comparator	17	6	0	6	2	0	psoriasis;type 1 diabetes mellitus		t1d_beta_cell|type 1 diabetes mellitus|pancreatic beta cell|effect=1.1|p=0.00237|fdr=0.00691
