analysis	dataset_path	disease_name	compartment	role	module	n_genes_present	genes_present	mean_effect	median_effect	combined_z	combined_p	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	ets2_direct	1	ETS2	0.3055460239424237	0.3055460239424237	0.9416843635813508	0.346354262880443	0.4205730334976808	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	ets2_macrophage_program	12	CCL2;CCL3;CCL4;CXCL8;ETS2;ICAM1;IL1B;MMP9;NFKBIA;PTGS2;TNF;TNFAIP3	0.6776525692429041	0.5807317013468039	3.58706178459974	0.00033442510415442945	0.0011762538146121312	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	ap1_ets_immediate_early	9	DUSP1;DUSP2;EGR1;ETS2;FOS;FOSB;JUN;JUNB;JUND	0.33059495265064087	0.3333596901939586	2.4112285155421254	0.015898883461674906	0.03309563496103756	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	generic_nfkb_tnf	8	CCL2;CCL3;CCL4;CXCL8;IL1B;NFKBIA;TNF;TNFAIP3	0.7682078925269215	0.9062925375747888	3.160887487012225	0.001572892422638409	0.0047186772679152274	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	interferon_apc	9	CD74;CXCL10;GBP1;HLA-DRA;HLA-DRB1;IFI30;IRF1;ISG15;STAT1	1.4475546770665444	1.1048880659869358	4.285264516313838	1.8252188951677598e-05	0.00011635770456694469	True	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	lysosome_apc	10	CD74;CTSB;CTSD;CTSL;CTSS;HLA-DRA;IFI30;LAMP1;LAMP2;TPP1	0.6543383106671974	0.12159971837345696	1.6044970962231568	0.10860452401569924	0.16054581811016408	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ets2_direct	1	ETS2	1.5189707271616737	1.5189707271616737	2.819667354053748	0.004807345578414295	0.012573057666622003	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ets2_macrophage_program	13	CCL2;CCL3;CCL4;CXCL8;ETS2;ICAM1;IL1B;IL6;MMP9;NFKBIA;PTGS2;TNF;TNFAIP3	1.4043956445991592	1.5189707271616737	5.400752063120172	6.63620928429507e-08	1.1879579916598286e-06	True	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ap1_ets_immediate_early	9	DUSP1;DUSP2;EGR1;ETS2;FOS;FOSB;JUN;JUNB;JUND	-0.1831582207835989	-0.3840271896061669	-1.4950944409303926	0.13488979649964863	0.19378534145019946	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	generic_nfkb_tnf	9	CCL2;CCL3;CCL4;CXCL8;IL1B;IL6;NFKBIA;TNF;TNFAIP3	1.630948999020061	1.998686453892681	4.398183244190192	1.0916079722345052e-05	8.564924089839965e-05	True	False	True	False
