artifact_dir	class	n_files	total_bytes	total_mib	largest_file	largest_file_mib	allowed_interpretation
analysis/v45_checksum_manifest_validator	infrastructure_or_documentation	11	4073	0.004	analysis/v45_checksum_manifest_validator/synthetic_check/synthetic_check_assertions.json	0.001	method/storage governance only; no biological claim
analysis/v45_collaborator_package	infrastructure_or_documentation	1	1262	0.001	analysis/v45_collaborator_package/collaborator_package_manifest.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_command_plan_consistency	infrastructure_or_documentation	2	1311	0.001	analysis/v45_command_plan_consistency/command_plan_consistency.tsv	0.001	method/storage governance only; no biological claim
analysis/v45_compute_storage_summary	infrastructure_or_documentation	3	11896	0.011	analysis/v45_compute_storage_summary/v45_analysis_storage_by_dir.tsv	0.009	method/storage governance only; no biological claim
analysis/v45_gate_output_bundle_manifest	infrastructure_or_documentation	4	5556	0.005	analysis/v45_gate_output_bundle_manifest/gse228330_pharmacodynamic/gate_output_bundle_manifest.tsv	0.003	method/storage governance only; no biological claim
analysis/v45_governance_refresh	infrastructure_or_documentation	1	13728	0.013	analysis/v45_governance_refresh/governance_refresh_summary.json	0.013	method/storage governance only; no biological claim
analysis/v45_intake_template_dryrun	infrastructure_or_documentation	19	12940	0.012	analysis/v45_intake_template_dryrun/primary_preflight/preflight_checks.tsv	0.003	method/storage governance only; no biological claim
analysis/v45_locked_artifact_hash_audit	infrastructure_or_documentation	9	4269	0.004	analysis/v45_locked_artifact_hash_audit/locked_artifact_hash_audit.tsv	0.002	method/storage governance only; no biological claim
analysis/v45_module_coverage_precheck	infrastructure_or_documentation	9	8271	0.008	analysis/v45_module_coverage_precheck/synthetic/full_module_expression.tsv	0.002	method/storage governance only; no biological claim
analysis/v45_pharmacodynamic_only_harness	infrastructure_or_documentation	10	22319	0.021	analysis/v45_pharmacodynamic_only_harness/synthetic_check/paired_pharmacodynamic_module_deltas.tsv	0.007	method/storage governance only; no biological claim
analysis/v45_response_column_audit	infrastructure_or_documentation	9	2921	0.003	analysis/v45_response_column_audit/synthetic_check_assertions.json	0.001	method/storage governance only; no biological claim
analysis/v45_secondary_real_ingest	infrastructure_or_documentation	26	71445	0.068	analysis/v45_secondary_real_ingest/synthetic/tb_null_input.tsv	0.011	method/storage governance only; no biological claim
analysis/v45_subject_map_sanity_check	infrastructure_or_documentation	16	26193	0.025	analysis/v45_subject_map_sanity_check/negative_unverified_subject_map/subject_map_audit.tsv	0.016	method/storage governance only; no biological claim
analysis/v45_validation_command_runner	infrastructure_or_documentation	6	11239	0.011	analysis/v45_validation_command_runner/gse228330_pharmacodynamic_plan/command_plan.md	0.003	method/storage governance only; no biological claim
