scenario	package_id	decision_score	n_methods	burden_max	score_per_max_burden	rank
causal_treatment_first	D04_randomized_progression_trial_ipd	14	4	4	3.5	1
causal_treatment_first	D03_longitudinal_progression_molecular_ipd	6	4	5	1.2	2
causal_treatment_first	D05_randomized_progression_molecular_substudy	6	5	5	1.2	2
causal_treatment_first	D08_genotype_linked_immune_perturbation	6	4	5	1.2	2
causal_treatment_first	D01_independent_ms_response_bulk	2	4	2	1.0	5
causal_treatment_first	D02_ms_response_single_cell_trajectory	3	5	5	0.6	6
causal_treatment_first	D06_primary_human_directional_perturbation	3	4	5	0.6	6
causal_treatment_first	D07_replicated_lesion_spatial	2	3	4	0.5	8
equal	D01_independent_ms_response_bulk	2	4	2	1.0	1
equal	D04_randomized_progression_trial_ipd	3	4	4	0.75	2
equal	D02_ms_response_single_cell_trajectory	3	5	5	0.6	3
equal	D03_longitudinal_progression_molecular_ipd	3	4	5	0.6	3
equal	D05_randomized_progression_molecular_substudy	3	5	5	0.6	3
equal	D06_primary_human_directional_perturbation	3	4	5	0.6	3
equal	D08_genotype_linked_immune_perturbation	3	4	5	0.6	3
equal	D07_replicated_lesion_spatial	2	3	4	0.5	8
feasibility_first	D01_independent_ms_response_bulk	8	4	2	4.0	1
feasibility_first	D04_randomized_progression_trial_ipd	3	4	4	0.75	2
feasibility_first	D07_replicated_lesion_spatial	3	3	4	0.75	2
feasibility_first	D02_ms_response_single_cell_trajectory	3	5	5	0.6	4
feasibility_first	D03_longitudinal_progression_molecular_ipd	3	4	5	0.6	4
feasibility_first	D05_randomized_progression_molecular_substudy	3	5	5	0.6	4
feasibility_first	D06_primary_human_directional_perturbation	3	4	5	0.6	4
feasibility_first	D08_genotype_linked_immune_perturbation	3	4	5	0.6	4
mechanism_first	D06_primary_human_directional_perturbation	15	4	5	3.0	1
mechanism_first	D05_randomized_progression_molecular_substudy	6	5	5	1.2	2
mechanism_first	D01_independent_ms_response_bulk	2	4	2	1.0	3
mechanism_first	D04_randomized_progression_trial_ipd	3	4	4	0.75	4
mechanism_first	D02_ms_response_single_cell_trajectory	3	5	5	0.6	5
mechanism_first	D03_longitudinal_progression_molecular_ipd	3	4	5	0.6	5
mechanism_first	D08_genotype_linked_immune_perturbation	3	4	5	0.6	5
mechanism_first	D07_replicated_lesion_spatial	2	3	4	0.5	8
progression_first	D03_longitudinal_progression_molecular_ipd	11	4	5	2.2	1
progression_first	D05_randomized_progression_molecular_substudy	7	5	5	1.4	2
progression_first	D07_replicated_lesion_spatial	5	3	4	1.25	3
progression_first	D01_independent_ms_response_bulk	2	4	2	1.0	4
progression_first	D04_randomized_progression_trial_ipd	3	4	4	0.75	5
progression_first	D02_ms_response_single_cell_trajectory	3	5	5	0.6	6
progression_first	D06_primary_human_directional_perturbation	3	4	5	0.6	6
progression_first	D08_genotype_linked_immune_perturbation	3	4	5	0.6	6
validation_first	D01_independent_ms_response_bulk	9	4	2	4.5	1
validation_first	D04_randomized_progression_trial_ipd	3	4	4	0.75	2
validation_first	D02_ms_response_single_cell_trajectory	3	5	5	0.6	3
validation_first	D03_longitudinal_progression_molecular_ipd	3	4	5	0.6	3
validation_first	D05_randomized_progression_molecular_substudy	3	5	5	0.6	3
validation_first	D06_primary_human_directional_perturbation	3	4	5	0.6	3
validation_first	D08_genotype_linked_immune_perturbation	3	4	5	0.6	3
validation_first	D07_replicated_lesion_spatial	2	3	4	0.5	8
