package_id	scenarios_ranked_first	median_rank	worst_rank
D01_independent_ms_response_bulk	3	2.0	5
D04_randomized_progression_trial_ipd	1	2.0	5
D05_randomized_progression_molecular_substudy	0	2.5	4
D03_longitudinal_progression_molecular_ipd	1	3.0	5
D06_primary_human_directional_perturbation	1	3.5	6
D08_genotype_linked_immune_perturbation	0	3.5	6
D02_ms_response_single_cell_trajectory	0	4.5	6
D07_replicated_lesion_spatial	0	8.0	8
