cohort	source_family	n_ms	n_control	raw_ms_minus_control
discovery	Amsterdam BB	26	8	0.19134980430926374
discovery	Edinburgh BB	1	18	1.7747874317033752
discovery	UK MS TB	27	0	
validation	a2021	5	3	0.8209833850634902
validation	j2019	3	2	0.7043522292243745
validation	s2019	10	8	1.6391744315709333
