cohort	omitted_source_family	n_donors	n_ms	n_control	estimable	non_estimable_reason	adjusted_standardized_beta	hc3_se	hc3_ci_low	hc3_ci_high	hc3_p	wild_two_sided_p
discovery	Amsterdam BB	46	28	18	False	unstable design: condition=18; max_leverage=1						
discovery	Edinburgh BB	61	53	8	True		0.18484384700704537	0.24600468879713625	-0.29731648306332575	0.6670041770774164	0.4524219316609882	0.4075759242407576
discovery	UK MS TB	53	27	26	True		0.46040793974791605	0.3905042942590582	-0.30496641280806935	1.2257822923039015	0.23839473252521248	0.2100278997210028
validation	a2021	23	13	10	True		1.7584932493219232	0.402642918520499	0.9693276303916497	2.5476588682521966	1.257478153792551e-05	9.99990000099999e-06
validation	j2019	26	15	11	True		1.7525312904180292	0.3520304760993662	1.0625642358027831	2.4424983450332753	6.412826613241758e-07	9.99990000099999e-06
validation	s2019	13	8	5	True		1.5510347408828506	0.886003574419538	-0.18550035515319752	3.287569836918899	0.08001544160846373	0.032249677503224966
