n_per_group	total_n	n_sim	median_auc	auc_ci_low	auc_ci_high	power_one_sided_p_lt_0_05	power_auc_ge_0_70
8	16	20000	0.734375	0.421875	0.96875	0.47835	0.58065
10	20	20000	0.74	0.45	0.96	0.5418	0.61425
12	24	20000	0.7222222222222222	0.4722222222222222	0.9305555555555556	0.59145	0.59145
15	30	20000	0.7244444444444444	0.5066666666666667	0.9066666666666666	0.67205	0.59005
20	40	20000	0.725	0.5375	0.8875	0.77745	0.61875
25	50	20000	0.7232	0.5568	0.872	0.8516	0.60535
30	60	20000	0.7222222222222222	0.5677777777777778	0.8555555555555555	0.8973	0.62655
40	80	20000	0.721875	0.590609375	0.84125	0.9566	0.63695
50	100	20000	0.7212	0.6032	0.828	0.98105	0.64865
