allocation	site_scale_pattern	score_transform	n_null_cells	median_null_probability	maximum_null_probability	maximum_count	maximum_total	family_probability_maximum_at_least_observed	strict_cell_flag	invalid_by_frozen_rule
balanced	moderate	global_scale	6	0.05291666666666667	0.055	66	1200	0.7920361572663597	False	False
balanced	moderate	within_site_scale	6	0.051666666666666666	0.0625	75	1200	0.1697804948010776	True	False
balanced	severe	global_scale	6	0.051250000000000004	0.06	72	1200	0.3397105967268661	False	False
balanced	severe	within_site_scale	6	0.05333333333333334	0.059166666666666666	71	1200	0.41194221070972936	False	False
balanced	uniform	global_scale	6	0.04625	0.05583333333333333	67	1200	0.7240797137028535	False	False
balanced	uniform	within_site_scale	6	0.04666666666666667	0.0575	69	1200	0.5694819663285983	False	False
imbalanced_60_30_10	moderate	global_scale	6	0.04958333333333333	0.055	66	1200	0.7920361572663597	False	False
imbalanced_60_30_10	moderate	within_site_scale	6	0.04791666666666666	0.0525	63	1200	0.9335920750908291	False	False
imbalanced_60_30_10	severe	global_scale	6	0.049166666666666664	0.058333333333333334	70	1200	0.4894316308209765	False	False
imbalanced_60_30_10	severe	within_site_scale	6	0.04791666666666666	0.05333333333333334	64	1200	0.8975272391850512	False	False
imbalanced_60_30_10	uniform	global_scale	6	0.052500000000000005	0.06	72	1200	0.3397105967268661	False	False
imbalanced_60_30_10	uniform	within_site_scale	6	0.05291666666666667	0.06333333333333334	76	1200	0.1300300660450029	True	False
