seed	n_requested	latent_event_probability	allocation	site_scale_pattern	effect_pattern	score_transform	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_probability	negative_probability	transport_pass_probability	heterogeneity_detection_probability	median_z	median_heterogeneity_p	median_minimum_site_events
54971	180	0.15	balanced	uniform	null	global_scale	400	400	1.0	27	0.0675	0.04680146916375965	0.09642666543540682	0.025	0.0425	0.0	0.0775	-0.025023336643927828	0.5174723856804113	4.0
54971	180	0.15	balanced	uniform	null	within_site_scale	400	400	1.0	26	0.065	0.04474048189620036	0.09353521417463759	0.0225	0.0425	0.0	0.075	-0.004544562771618648	0.5106377541865577	4.0
54971	180	0.15	balanced	uniform	homogeneous	global_scale	400	400	1.0	214	0.535	0.486020056782804	0.5833140826137954	0.535	0.0	0.0025	0.0425	2.0227543466356432	0.5194377600331301	4.0
54971	180	0.15	balanced	uniform	homogeneous	within_site_scale	400	400	1.0	214	0.535	0.486020056782804	0.5833140826137954	0.535	0.0	0.0025	0.045	2.0231315590025494	0.5121108290067965	4.0
54971	180	0.15	balanced	uniform	one_site_reversed	global_scale	400	400	1.0	32	0.08	0.05723575041013351	0.11075457683067555	0.045	0.035	0.0	0.425	-0.01699646724945579	0.07895360356028436	4.0
54971	180	0.15	balanced	uniform	one_site_reversed	within_site_scale	400	400	1.0	30	0.075	0.05303774392284765	0.10504770626130436	0.04	0.035	0.0	0.425	-0.003361973497453258	0.07094228262609273	4.0
54971	180	0.15	balanced	moderate	null	global_scale	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.03	0.0325	0.0	0.045	0.03180216663416129	0.4597212696663487	4.0
54971	180	0.15	balanced	moderate	null	within_site_scale	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.025	0.035	0.0	0.0475	0.03275872270821138	0.4599392300973266	4.0
54971	180	0.15	balanced	moderate	homogeneous	global_scale	400	400	1.0	208	0.52	0.47108291490392346	0.5685365933227047	0.52	0.0	0.0	0.0375	2.0092011147445974	0.44786939776213863	4.0
54971	180	0.15	balanced	moderate	homogeneous	within_site_scale	400	400	1.0	215	0.5375	0.4885138311983594	0.5857727467265683	0.5375	0.0	0.0	0.03	2.056760641487122	0.5325822499644192	4.0
54971	180	0.15	balanced	moderate	one_site_reversed	global_scale	400	400	1.0	31	0.0775	0.05513293467684451	0.10790495403563602	0.0225	0.055	0.0	0.3875	-0.28166601761426513	0.0967734347259536	4.0
54971	180	0.15	balanced	moderate	one_site_reversed	within_site_scale	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.0475	0.015	0.0	0.39	0.09507796738470034	0.0921821089998894	4.0
54971	180	0.15	balanced	severe	null	global_scale	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.02	0.0425	0.0	0.0675	-0.08097408442625387	0.4429189133225101	4.0
54971	180	0.15	balanced	severe	null	within_site_scale	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.015	0.0375	0.0	0.0575	-0.03382918587779088	0.47452200597111127	4.0
54971	180	0.15	balanced	severe	homogeneous	global_scale	400	400	1.0	182	0.455	0.4068585729397347	0.503997533550352	0.455	0.0	0.0	0.0925	1.8632775000053232	0.39856486586699585	4.0
54971	180	0.15	balanced	severe	homogeneous	within_site_scale	400	400	1.0	211	0.5275	0.4785460270872868	0.5759307967243268	0.5275	0.0	0.0	0.0625	2.0009580361521033	0.5066624502415578	4.0
54971	180	0.15	balanced	severe	one_site_reversed	global_scale	400	400	1.0	43	0.1075	0.08079372047159449	0.14167343058082826	0.0025	0.105	0.0	0.375	-0.7268116010227421	0.11599133160668178	4.0
54971	180	0.15	balanced	severe	one_site_reversed	within_site_scale	400	400	1.0	13	0.0325	0.01908984237880045	0.0548041528237668	0.015	0.0175	0.0	0.4475	0.0718934451260022	0.0737866074175788	4.0
54971	180	0.15	imbalanced_60_30_10	uniform	null	global_scale	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.035	0.015	0.0	0.0375	0.006542635334841352	0.487445222525907	4.0
54971	180	0.15	imbalanced_60_30_10	uniform	null	within_site_scale	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.035	0.015	0.0	0.035	0.022252325306207278	0.5041430329675319	4.0
54971	180	0.15	imbalanced_60_30_10	uniform	homogeneous	global_scale	400	400	1.0	205	0.5125	0.4636306970848221	0.5611314955568205	0.5125	0.0	0.0	0.04	1.9866928434537843	0.5342423143594726	4.0
54971	180	0.15	imbalanced_60_30_10	uniform	homogeneous	within_site_scale	400	400	1.0	205	0.5125	0.4636306970848221	0.5611314955568205	0.5125	0.0	0.0	0.04	2.0283010473897036	0.5193640270618433	4.0
54971	180	0.15	imbalanced_60_30_10	uniform	one_site_reversed	global_scale	400	400	1.0	120	0.3	0.25716767195619705	0.34663724577752153	0.3	0.0	0.0	0.2375	1.4184636578404586	0.19928583077654144	4.0
54971	180	0.15	imbalanced_60_30_10	uniform	one_site_reversed	within_site_scale	400	400	1.0	110	0.275	0.23353872471100914	0.3207418077394244	0.275	0.0	0.0	0.24	1.4333294083604666	0.19675508410073134	4.0
54971	180	0.15	imbalanced_60_30_10	moderate	null	global_scale	400	400	1.0	23	0.0575	0.038617542757733075	0.08480083772811935	0.0425	0.015	0.0	0.0625	0.09192909133855001	0.4535050739024891	4.0
54971	180	0.15	imbalanced_60_30_10	moderate	null	within_site_scale	400	400	1.0	19	0.0475	0.030617076962711882	0.07299154940982647	0.0375	0.01	0.0	0.0675	0.02811651739500566	0.4607322123329348	4.0
54971	180	0.15	imbalanced_60_30_10	moderate	homogeneous	global_scale	400	400	1.0	189	0.4725	0.4240692032756731	0.5214539729127131	0.4725	0.0	0.0	0.0625	1.887941762582865	0.4570218833123692	4.0
54971	180	0.15	imbalanced_60_30_10	moderate	homogeneous	within_site_scale	400	400	1.0	193	0.4825	0.43393056304490063	0.5314023672567997	0.4825	0.0	0.0	0.055	1.9166364593658711	0.517839507215887	4.0
54971	180	0.15	imbalanced_60_30_10	moderate	one_site_reversed	global_scale	400	400	1.0	67	0.1675	0.1341055740674824	0.2072201016648248	0.1675	0.0	0.0	0.335	1.0034238469420558	0.13849057731578426	4.0
54971	180	0.15	imbalanced_60_30_10	moderate	one_site_reversed	within_site_scale	400	400	1.0	107	0.2675	0.22648238411831478	0.31294083274713314	0.2675	0.0	0.0	0.2725	1.3568412219904498	0.19008980327373548	4.0
54971	180	0.15	imbalanced_60_30_10	severe	null	global_scale	400	400	1.0	23	0.0575	0.038617542757733075	0.08480083772811935	0.03	0.0275	0.0	0.0375	0.030813105741536097	0.5057711492245444	4.0
54971	180	0.15	imbalanced_60_30_10	severe	null	within_site_scale	400	400	1.0	11	0.0275	0.015423636260295411	0.048565481885614784	0.015	0.0125	0.0	0.0375	0.02415255870101298	0.4930635413817342	4.0
54971	180	0.15	imbalanced_60_30_10	severe	homogeneous	global_scale	400	400	1.0	156	0.39	0.34346411119977976	0.43862859355376554	0.39	0.0	0.0	0.155	1.6826149512303454	0.2987932286151561	4.0
54971	180	0.15	imbalanced_60_30_10	severe	homogeneous	within_site_scale	400	400	1.0	202	0.505	0.45618935783904724	0.5537155192176098	0.505	0.0	0.0	0.0625	1.9695404003067787	0.43700040174678917	4.0
54971	180	0.15	imbalanced_60_30_10	severe	one_site_reversed	global_scale	400	400	1.0	39	0.0975	0.07214511778538757	0.1305122791537211	0.09	0.0075	0.0	0.3225	0.5559274396173014	0.11978816978944715	4.0
54971	180	0.15	imbalanced_60_30_10	severe	one_site_reversed	within_site_scale	400	400	1.0	94	0.235	0.1960909748126292	0.278950541184548	0.2325	0.0025	0.0	0.175	1.2756424908222344	0.21528581927202886	4.0
54971	180	0.3	balanced	uniform	null	global_scale	400	400	1.0	10	0.025	0.013635091745936023	0.045401587871645666	0.0175	0.0075	0.0	0.08	-0.04554924038530217	0.49821546712328857	10.0
54971	180	0.3	balanced	uniform	null	within_site_scale	400	400	1.0	12	0.03	0.017243020965143054	0.05169853570909567	0.0225	0.0075	0.0	0.08	-0.019137459190343167	0.4867745752677242	10.0
54971	180	0.3	balanced	uniform	homogeneous	global_scale	400	400	1.0	318	0.795	0.7527205845205713	0.8316671618221938	0.795	0.0	0.215	0.06	2.7613192827494566	0.45949367050411244	10.0
54971	180	0.3	balanced	uniform	homogeneous	within_site_scale	400	400	1.0	313	0.7825	0.7394871744110122	0.8201383792901101	0.7825	0.0	0.215	0.065	2.7418778124819703	0.47242926178203426	10.0
54971	180	0.3	balanced	uniform	one_site_reversed	global_scale	400	400	1.0	22	0.055	0.03659849414955068	0.08186744780797323	0.0325	0.0225	0.0	0.6675	0.2736068317981229	0.013102026058605762	10.0
54971	180	0.3	balanced	uniform	one_site_reversed	within_site_scale	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.035	0.0175	0.0	0.665	0.3209801536871626	0.011883540739831139	10.0
54971	180	0.3	balanced	moderate	null	global_scale	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.03	0.0225	0.0025	0.0575	-0.07587989975784784	0.48020975380303055	10.0
54971	180	0.3	balanced	moderate	null	within_site_scale	400	400	1.0	22	0.055	0.03659849414955068	0.08186744780797323	0.0275	0.0275	0.0025	0.055	-0.09497036392164485	0.4854488240209806	10.0
54971	180	0.3	balanced	moderate	homogeneous	global_scale	400	400	1.0	297	0.7425	0.697484812382584	0.7829017248652822	0.7425	0.0	0.185	0.0975	2.5464842198616866	0.41894293022341156	10.0
54971	180	0.3	balanced	moderate	homogeneous	within_site_scale	400	400	1.0	314	0.785	0.7421294764669898	0.8224485157624611	0.785	0.0	0.215	0.0625	2.627958698579664	0.5166277617517754	10.0
54971	180	0.3	balanced	moderate	one_site_reversed	global_scale	400	400	1.0	27	0.0675	0.04680146916375965	0.09642666543540682	0.02	0.0475	0.0	0.6525	-0.1663065241368365	0.018984462904913728	10.0
54971	180	0.3	balanced	moderate	one_site_reversed	within_site_scale	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.05	0.01	0.0	0.65	0.3756901972894709	0.018127457928590055	10.0
54971	180	0.3	balanced	severe	null	global_scale	400	400	1.0	15	0.0375	0.022855029814710867	0.060943842444513396	0.015	0.0225	0.0	0.0575	-0.07678650210174509	0.4857024063322587	10.0
54971	180	0.3	balanced	severe	null	within_site_scale	400	400	1.0	18	0.045	0.028651458653886006	0.07000472919032381	0.0175	0.0275	0.0	0.0525	-0.061903004046062624	0.4746032671429147	10.0
54971	180	0.3	balanced	severe	homogeneous	global_scale	400	400	1.0	271	0.6775	0.6301910935839934	0.7214320419273312	0.6775	0.0	0.1325	0.1775	2.4319160028683857	0.23466828000632434	10.0
54971	180	0.3	balanced	severe	homogeneous	within_site_scale	400	400	1.0	306	0.765	0.7210494588154521	0.8039090251873708	0.765	0.0	0.2225	0.0475	2.742507055307713	0.5286422544930942	10.0
54971	180	0.3	balanced	severe	one_site_reversed	global_scale	400	400	1.0	52	0.13	0.10053125228664084	0.1665078455207386	0.0025	0.1275	0.0	0.645	-0.7784223498744437	0.019416018892644236	10.0
54971	180	0.3	balanced	severe	one_site_reversed	within_site_scale	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0475	0.005	0.0	0.7	0.29220740611116247	0.013987598884975687	10.0
54971	180	0.3	imbalanced_60_30_10	uniform	null	global_scale	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.035	0.025	0.0	0.0625	0.03890884106456096	0.5003839645644439	9.0
54971	180	0.3	imbalanced_60_30_10	uniform	null	within_site_scale	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.0325	0.03	0.0	0.0675	0.022737238731196263	0.5074041317080524	9.0
