n_requested	latent_event_probability	allocation	site_scale_pattern	effect_pattern	score_transform	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_significant_probability	positive_probability	negative_probability	transport_pass_probability	minimum_seed_transport_pass_probability	maximum_seed_transport_pass_probability	heterogeneity_detection_probability	median_z_across_seeds	median_heterogeneity_p_across_seeds	median_minimum_site_events_across_seeds
180	0.15	balanced	moderate	homogeneous	global_scale	1200	1200	1.0	598	0.49833333333333335	0.470094336928633	0.5265829664067093	0.4875	0.49833333333333335	0.0	0.0	0.0	0.0	0.06083333333333333	1.934173319766051	0.44786939776213863	4.0
180	0.15	balanced	moderate	homogeneous	within_site_scale	1200	1200	1.0	619	0.5158333333333334	0.4875524578087468	0.5440131605055	0.495	0.5158333333333333	0.0	0.0008333333333333334	0.0	0.0025	0.04666666666666666	1.9876233306022477	0.4973098200371674	4.0
180	0.15	balanced	moderate	null	global_scale	1200	1200	1.0	64	0.05333333333333334	0.04198595756592827	0.06753133630584826	0.0475	0.028333333333333332	0.025000000000000005	0.0	0.0	0.0	0.06166666666666667	-0.010109508263890519	0.47982870716014053	4.0
180	0.15	balanced	moderate	null	within_site_scale	1200	1200	1.0	65	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.0475	0.02666666666666667	0.0275	0.0	0.0	0.0	0.06083333333333333	0.019992731334818107	0.47874238719287976	4.0
180	0.15	balanced	moderate	one_site_reversed	global_scale	1200	1200	1.0	84	0.07	0.05689397841972531	0.08585028209862673	0.065	0.015	0.055	0.0	0.0	0.0	0.39333333333333337	-0.30619691529675563	0.0967734347259536	4.0
180	0.15	balanced	moderate	one_site_reversed	within_site_scale	1200	1200	1.0	77	0.06416666666666666	0.05164513089868225	0.07946969129336834	0.06	0.04750000000000001	0.016666666666666666	0.0	0.0	0.0	0.3983333333333334	0.09804682484836584	0.0921821089998894	4.0
180	0.15	balanced	severe	homogeneous	global_scale	1200	1199	0.9991666666666666	544	0.4533333333333333	0.42536067071350464	0.48160382267608376	0.4225	0.4533333333333333	0.0	0.0008333333333333334	0.0	0.0025	0.09083333333333332	1.8632775000053232	0.39856486586699585	4.0
180	0.15	balanced	severe	homogeneous	within_site_scale	1200	1199	0.9991666666666666	636	0.53	0.5017105221931327	0.5580980177707032	0.5125	0.53	0.0	0.0016666666666666668	0.0	0.005	0.05583333333333334	2.011708247020997	0.5066624502415578	4.0
180	0.15	balanced	severe	null	global_scale	1200	1200	1.0	63	0.0525	0.041248404856606004	0.06660754068284175	0.0425	0.025833333333333333	0.02666666666666667	0.0	0.0	0.0	0.0525	-0.02668824247385105	0.47595296366472706	4.0
180	0.15	balanced	severe	null	within_site_scale	1200	1200	1.0	71	0.059166666666666666	0.0471715395740472	0.07397519262403075	0.0525	0.03	0.029166666666666664	0.0	0.0	0.0	0.05416666666666667	-0.03348557765153318	0.49500569939815814	4.0
