gene	axis	priority_score	weighted_evidence_score	ms_anchor_score	positive_disease_count	negative_disease_count	positive_non_ms_disease_count	negative_non_ms_disease_count	ms_channels	ms_datasets	positive_diseases	negative_diseases	prior_flag
NAMPT	metabolic_licensing	37.35110682763387	22.998519998552172	5.352586829081705	7	0	6	0	3	3	Crohn,MS,RA,SLE_B,SLE_myeloid,UC,psoriasis		strong_v2_successor_but_broad_prior_art_and_direction_ambiguity
IFI30	lysosome_antigen_processing,interferon_chemokine	31.50899057956498	21.104457053605913	4.717033525959066	5	1	4	1	2	2	Crohn,MS,UC,lupus_nephritis,psoriasis	RA	
CXCL10	interferon_chemokine	31.383191683854164	17.383191683854164	0.0	8	0	8	0	0	0	Crohn,RA,SLE_CD4_T,SLE_myeloid,Sjogren,UC,lupus_nephritis,psoriasis		
C1QB	complement_phagocytosis	26.203702217168427	14.953189289387982	2.5005129277804468	5	0	5	0	2	2	Crohn,SLE_myeloid,UC,lupus_nephritis,psoriasis		
CTSB	lysosome_antigen_processing	23.323767055605646	13.011777066559347	2.8744899890462987	5	1	5	1	2	2	Crohn,SLE_myeloid,UC,lupus_nephritis,psoriasis	RA	
SPP1	tissue_remodeling	22.719686071751983	13.114786919493737	2.6048991522582448	4	0	4	0	2	2	Crohn,RA,UC,psoriasis		
IL1B	interferon_chemokine,metabolic_licensing	21.89881989030901	16.21131989030901	0.0	4	1	4	1	0	0	Crohn,RA,UC,psoriasis	lupus_nephritis	
C1QA	complement_phagocytosis	20.50508362375608	11.755083623756079	0.0	5	0	5	0	0	0	Crohn,Sjogren,UC,lupus_nephritis,psoriasis		
TNF	interferon_chemokine,metabolic_licensing	18.14813601720393	10.710636017203933	0.0	5	1	5	1	0	0	Crohn,RA,UC,lupus_nephritis,psoriasis	lupus_nephritis	
MSR1	lipid_droplet_efflux,complement_phagocytosis	17.079998844787482	8.329998844787482	0.0	5	0	5	0	0	0	Crohn,Sjogren,UC,lupus_nephritis,psoriasis		
FABP5	lipid_droplet_efflux	16.89192358038313	9.704423580383127	1.5	5	2	4	1	2	2	MS,SLE_B,SLE_CD4_T,Sjogren,psoriasis	MS,RA	
ACSL1	lipid_droplet_efflux	15.69050020355585	7.662899307586627	5.59010089596922	4	1	3	1	3	3	Crohn,MS,SLE_myeloid,UC	psoriasis	demoted_v2_marker_after_module_adjustment_and_simulation
MARCO	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	15.197400115125992	4.697400115125992	0.0	6	0	6	0	0	0	Crohn,RA,SLE_myeloid,Sjogren,UC,lupus_nephritis		
GPNMB	lipid_droplet_efflux,tissue_remodeling	14.242844638705545	3.7967831164288874	9.071061522276658	4	2	3	2	3	3	Crohn,MS,UC,lupus_nephritis	RA,psoriasis	
C1QC	complement_phagocytosis	14.117481040631308	7.4598618699943655	2.7201191706369423	3	1	3	1	2	2	Crohn,UC,psoriasis	RA	
LIPA	lipid_droplet_efflux,lysosome_antigen_processing	12.744993240342653	9.619993240342653	0.0	4	2	4	2	0	0	Sjogren,UC,lupus_nephritis,psoriasis	Crohn,RA	
FCGR3A	unassigned	11.158648928680039	7.658648928680039	0.0	2	0	2	0	0	0	Crohn,UC		
TPP1	lysosome_antigen_processing	10.43956557764994	4.77754334099097	4.287022236658969	4	2	3	2	2	2	MS,SLE_myeloid,UC,psoriasis	Crohn,RA	
CD36	lipid_droplet_efflux	9.50075413590747	3.8132541359074716	0.0	4	1	4	1	0	0	SLE_B,SLE_myeloid,lupus_nephritis,psoriasis	RA	
SERINC1	unassigned	7.3292579868729035	2.9146289934364518	4.414628993436452	1	0	0	0	2	2	MS		
SYT7	unassigned	7.321854137567222	2.910927068783611	4.410927068783611	1	0	0	0	2	2	MS		
CHORDC1	unassigned	7.3016336457440865	2.9008168228720437	4.400816822872043	1	0	0	0	2	2	MS		
ATG7	unassigned	7.162199944879863	2.8310999724399313	4.331099972439931	1	0	0	0	2	2	MS		
FERMT3	unassigned	6.990365480637799	2.7451827403188998	4.245182740318899	1	0	0	0	2	2	MS		
TREM2	lipid_droplet_efflux,complement_phagocytosis,tissue_remodeling	6.946961815037877	4.759461815037877	0.0	2	1	2	1	0	0	lupus_nephritis,psoriasis	RA	
EFHD1	unassigned	6.92646322570447	2.7132316128522356	4.213231612852235	1	0	0	0	2	2	MS		
AHSA1	unassigned	6.6025742116068	2.5512871058033997	4.0512871058034	1	0	0	0	2	2	MS		
INF2	unassigned	6.5425203555258715	2.5212601777629358	4.021260177762936	1	0	0	0	2	2	MS		
FBP1	unassigned	6.420069001074982	2.460034500537491	3.960034500537491	1	0	0	0	2	2	MS		
MCU	unassigned	6.334312314636942	2.417156157318471	3.917156157318471	0	0	0	0	2	2			
ALDH1A1	unassigned	6.251089774321925	2.3755448871609626	3.8755448871609626	1	0	0	0	2	2	MS		
DMXL2	unassigned	6.209623566543901	2.3548117832719506	3.8548117832719506	1	0	0	0	2	2	MS		
ITGB2	unassigned	6.189516826586339	2.3447584132931696	3.8447584132931696	1	0	0	0	2	2	MS		
HEXB	unassigned	6.127693413123744	2.313846706561872	3.813846706561872	1	0	0	0	2	2	MS		
CPM	unassigned	6.046810275795685	2.2734051378978424	3.7734051378978424	1	0	0	0	2	2	MS		
STX7	unassigned	6.037698649506228	2.268849324753114	3.768849324753114	1	0	0	0	2	2	MS		
ARL6IP5	unassigned	6.0024129386735545	2.2512064693367773	3.7512064693367773	1	0	0	0	2	2	MS		
FTL	unassigned	5.968767899172817	2.2343839495864084	3.7343839495864084	1	0	0	0	2	2	MS		
PI4K2A	unassigned	5.936020276131494	2.218010138065747	3.718010138065747	1	0	0	0	2	2	MS		
S100A6	unassigned	5.907613063519381	2.2038065317596907	3.7038065317596907	1	0	0	0	2	2	MS		
SPIRE1	unassigned	5.770710750098269	2.1353553750491345	3.6353553750491345	1	0	0	0	2	2	MS		
CTSL	lysosome_antigen_processing	5.76331804524918	2.13165902262459	3.63165902262459	1	0	0	0	2	2	MS		
CD44	unassigned	5.735020470613311	2.1175102353066557	3.6175102353066557	1	0	0	0	2	2	MS		
MPP1	unassigned	5.7241364903713094	2.1120682451856547	3.6120682451856547	1	0	0	0	2	2	MS		
IQGAP2	unassigned	5.7031045116142005	2.1015522558071003	3.6015522558071003	1	0	0	0	2	2	MS		
S100A11	unassigned	5.686771886173778	2.093385943086889	3.593385943086889	1	0	0	0	2	2	MS		
CDK18	unassigned	5.6464408177585925	2.0732204088792963	3.5732204088792963	1	0	0	0	2	2	MS		
APBB1	unassigned	5.623392769554822	2.061696384777411	3.561696384777411	1	0	0	0	2	2	MS		
PSMC1	unassigned	5.620990189612217	2.0604950948061087	3.5604950948061087	0	0	0	0	2	2			
ITGA3	unassigned	5.604171910931848	2.052085955465924	3.552085955465924	1	0	0	0	2	2	MS		
VAT1	unassigned	5.5870815596719545	2.0435407798359773	3.5435407798359773	1	0	0	0	2	2	MS		
ARPC5	unassigned	5.58409040624394	2.04204520312197	3.54204520312197	1	0	0	0	2	2	MS		
YBX1	unassigned	5.550063000424259	2.0250315002121293	3.5250315002121293	1	0	0	0	2	2	MS		
CTSZ	unassigned	5.548876007902447	2.0244380039512233	3.5244380039512233	1	0	0	0	2	2	MS		
HLA-DRA	unassigned	5.5446481581119755	2.0223240790559878	3.5223240790559878	1	0	0	0	2	2	MS		
MYO1D	unassigned	5.512100336037788	2.006050168018894	3.506050168018894	1	0	0	0	2	2	MS		
STARD13	unassigned	5.4855529655478215	1.992776482773911	3.4927764827739107	1	0	0	0	2	2	MS		
GAS7	unassigned	5.472701855145728	1.9863509275728641	3.486350927572864	1	0	0	0	2	2	MS		
LTA4H	unassigned	5.450746016398406	1.975373008199203	3.475373008199203	1	0	0	0	2	2	MS		
