disease	disease_id	rank	target	target_id	overall_score	datatype_literature	datatype_affected_pathway	datatype_genetic_association	datatype_rna_expression	datatype_clinical	datatype_genetic_literature	datatype_animal_model
MS	MONDO_0005301	226	LRP1	ENSG00000123384	0.4372283758265513	0.12357937490693868	0.7130285093825769					
MS	MONDO_0005301	630	IFI30	ENSG00000216490	0.2990422763468515	0.16437435549422216		0.4836831196082599				
MS	MONDO_0005301	645	HIF1A	ENSG00000100644	0.2959646025331924	0.09222799752624791	0.48222789778050834					
MS	MONDO_0005301	993	TGM2	ENSG00000198959	0.2098056843011675	0.14554900925179465	0.33783696901645544					
RA	EFO_0000685	282	OSMR	ENSG00000145623	0.3184903117778032	0.2604542855790316		0.5108696646382815				
RA	EFO_0000685	863	CXCL10	ENSG00000169245	0.13211334621035917	0.9270295234628569			0.06812901750271759	0.12158615952232422		
RA	EFO_0000685	887	STAT1	ENSG00000115415	0.12737372406617228	0.8381397972839648		0.1627213550888964	0.05453126900485058			
Crohn	EFO_0000384	58	IRF1	ENSG00000125347	0.4395191593921806	0.23778745794718456		0.710243541962397	0.03792277292968263			
Crohn	EFO_0000384	107	OSMR	ENSG00000145623	0.3917085098586705	0.03647584785669726		0.641163932090781	0.047124971755559394			
Crohn	EFO_0000384	475	CXCL10	ENSG00000169245	0.10328732798453209	0.2443991787488707			0.2497203868675577	0.15198269940290526		
Crohn	EFO_0000384	508	TREM1	ENSG00000124731	0.08926724489414879	0.6227770607331957			0.445648547308909			
Crohn	EFO_0000384	635	OSM	ENSG00000099985	0.06168962275841889	0.23459870271207311			0.4487240500879656			
UC	EFO_0000729	65	OSMR	ENSG00000145623	0.4028203921861007	0.057638594400221815		0.641163932090781	0.2486822977454119	0.06079307976116211		
UC	EFO_0000729	626	IRF1	ENSG00000125347	0.11661169474314485	0.43706769969037523		0.16944901218720432	0.023174369688020162			
UC	EFO_0000729	630	CXCL10	ENSG00000169245	0.11613478168801779	0.5282545066283428			0.2647208712663992	0.1587374860430344		
UC	EFO_0000729	653	HIF1A	ENSG00000100644	0.1097238978648796	0.8704678407397245			0.12787824327760447			
UC	EFO_0000729	699	TGM2	ENSG00000198959	0.10031985293598715	0.767082334830082			0.23204147032162215			
UC	EFO_0000729	961	C1QBP	ENSG00000108561	0.07687260977441797	0.6322480295160859						
psoriasis	EFO_0000676	67	IRF1	ENSG00000125347	0.4663304385186776	0.1087028295348864		0.7600090616664058	0.07352812365451974			
psoriasis	EFO_0000676	172	OSMR	ENSG00000145623	0.3169843178720604	0.021277577916406734		0.518626960315508	0.046306758335154304			
psoriasis	EFO_0000676	511	NAMPT	ENSG00000105835	0.11249178399401966	0.8795850753225831			0.1824685551112956			
psoriasis	EFO_0000676	687	CTSB	ENSG00000164733	0.08421167334795109	0.68816884879662			0.017760768889880114			
psoriasis	EFO_0000676	717	TREM1	ENSG00000124731	0.08067576837180744	0.632186430334464			0.1253645388680259			
psoriasis	EFO_0000676	867	C1QBP	ENSG00000108561	0.07024113016218014	0.5744946037429819			0.012848094826115448			
psoriasis	EFO_0000676	883	HIF1A	ENSG00000100644	0.0683459190604781	0.5621192356842987						
psoriasis	EFO_0000676	885	LRP1	ENSG00000123384	0.06828048149510456	0.5493499899319169			0.048924186486283765			
SLE	MONDO_0007915	40	C1QB	ENSG00000173369	0.46439776835491264	0.06292678623758227			0.037765325449139374		0.7599134970145264	
SLE	MONDO_0007915	81	C1QA	ENSG00000173372	0.3868715109075108	0.17343812434650155					0.607930797611621	0.4917856187279208
SLE	MONDO_0007915	120	IRF1	ENSG00000125347	0.3356440948536904	0.3957104690550537		0.5323235260843592				
SLE	MONDO_0007915	494	STAT1	ENSG00000115415	0.13340228040845845	0.8908998895689062		0.16502657483679967				
SLE	MONDO_0007915	538	CXCL10	ENSG00000169245	0.11879109814389684	0.8859144529813912			0.06851818428685282			0.33393638712806345
celiac	EFO_0001060	203	STAT1	ENSG00000115415	0.09604511647252391	0.07185404288437355		0.15439422144948073				
celiac	EFO_0001060	211	TGM2	ENSG00000198959	0.08745580821327532	0.7192908186002677						
celiac	EFO_0001060	266	CTSS	ENSG00000163131	0.050724835055475315	0.14894304541484715				0.07599134970145263		
celiac	EFO_0001060	323	IRF1	ENSG00000125347	0.03420545258208422	0.13929204061317124		0.0493007701407584				
celiac	EFO_0001060	591	CXCL10	ENSG00000169245	0.012014014465092194	0.09881070766846882						
celiac	EFO_0001060	713	HIF1A	ENSG00000100644	0.008869916512432843	0.07295169571339452						
celiac	EFO_0001060	755	CTSB	ENSG00000164733	0.008284748409182066	0.06813891023230254						
celiac	EFO_0001060	808	TREM1	ENSG00000124731	0.007761176948378739	0.06383273374922022						
celiac	EFO_0001060	828	LRP1	ENSG00000123384	0.0073915970936940375	0.06079307976116211						
AS	EFO_0003898	96	OSMR	ENSG00000145623	0.31057340269913186			0.5108696646382815				
AS	EFO_0003898	683	IRF1	ENSG00000125347	0.03546783730334326			0.05834189918110059				
AS	EFO_0003898	903	CD74	ENSG00000019582	0.020924366868655512	0.17209497323429832						
