axis	genes_in_axis	weighted_score	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	mean_genes_per_disease	mean_channels_per_disease
interferon_chemokine	CXCL10,STAT1,IRF1,IRF7,IFI30,TNF,IL1B,NFKBIA,CCL2,CCL3,CCL4	65.4274528541281	9	2	Crohn,MS,RA,SLE_CD4_T,SLE_myeloid,Sjogren,UC,lupus_nephritis,psoriasis	RA,lupus_nephritis	3.8	1.1
lysosome_antigen_processing	IFI30,CTSD,CTSB,CTSL,TPP1,LAMP1,LIPA,ASAH1	54.949920846367974	7	7	Crohn,MS,SLE_myeloid,Sjogren,UC,lupus_nephritis,psoriasis	Crohn,RA,SLE_CD4_T,Sjogren,UC,lupus_nephritis,psoriasis	7.0	1.2
complement_phagocytosis	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1,MARCO	51.05363622313379	7	3	Crohn,RA,SLE_myeloid,Sjogren,UC,lupus_nephritis,psoriasis	Crohn,RA,psoriasis	6.4	1.1
metabolic_licensing	NAMPT,HIF1A,SLC2A1,LDHA,NFKBIA,TNF,IL1B	48.79297357176027	8	1	Crohn,MS,RA,SLE_B,SLE_myeloid,UC,lupus_nephritis,psoriasis	lupus_nephritis	2.9	1.2
lipid_droplet_efflux	ACSL1,APOE,GPNMB,LPL,TREM2,PLIN2,CD36,FABP5,LIPA,MERTK,MSR1,MARCO,ASAH1	41.15784021140386	10	6	Crohn,MS,RA,SLE_B,SLE_CD4_T,SLE_myeloid,Sjogren,UC,lupus_nephritis,psoriasis	Crohn,MS,RA,UC,lupus_nephritis,psoriasis	12.0	1.2
tissue_remodeling	SPP1,GPNMB,MERTK,TREM2,APOE,LPL,MARCO	21.454228766808153	8	3	Crohn,MS,RA,SLE_myeloid,Sjogren,UC,lupus_nephritis,psoriasis	RA,lupus_nephritis,psoriasis	6.6	1.2
