disease	dataset	modality	compartment	module	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	complement_phagocytosis	donor_mean_z_score	6	6	-0.0093600832138453	-0.5042221858411342	0.3674617824068625	0.5221825328939624	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	complement_phagocytosis	donor_mean_z_score	6	6	-0.1798389844685619	-0.7409116808744868	0.1950883078328759	0.3455750679985703	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	hif_nampt_metabolic	donor_mean_z_score	6	6	0.2474819968276427	2.2282857321854035	0.0035024737712386	0.0525390881951736	supportive	2.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	hif_nampt_metabolic	donor_mean_z_score	6	6	0.5010087181804354	1.6440103921207727	0.0207248463884429	0.0913585065286465	supportive	2.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	hla_ii_apc	donor_mean_z_score	6	6	0.4503735094246705	1.324328180007214	0.0361370072484324	0.1271932713012712	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	hla_ii_apc	donor_mean_z_score	6	6	0.1090355372346904	0.3683679920304546	0.5064324196310747	0.6180192239565657	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	ifn_apc	donor_mean_z_score	6	6	0.3736808018148385	1.553769953622447	0.015862038374618	0.0878512894594232	supportive	2.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	ifn_apc	donor_mean_z_score	6	6	0.5850670469317303	2.087057130599901	0.0044315757912721	0.0563070806420459	supportive	2.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	inflammatory_nfkb	donor_mean_z_score	6	6	0.1274863126807947	1.2156536073826154	0.0657497805809588	0.1700910672183246	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	inflammatory_nfkb	donor_mean_z_score	6	6	0.7376451925711637	1.231017288373501	0.0661465261404595	0.1700910672183246	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	lipid_loader_repair	donor_mean_z_score	6	6	0.0655621906228856	1.5216593281904311	0.0325558211678358	0.1191874130890262	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	lipid_loader_repair	donor_mean_z_score	6	6	0.0681653266792415	0.5903550621208374	0.303479285281998	0.4537383897023241	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	lysosomal_apc	donor_mean_z_score	6	6	0.0426223760759521	0.4819720160313554	0.3883878792754042	0.5343425600222121	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	lysosomal_apc	donor_mean_z_score	6	6	0.1325074561865119	0.9273840960129996	0.1265103763298201	0.276022639265062	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	mif_cd74_receptor_state	donor_mean_z_score	6	6	0.4783751733076208	1.5885489189538626	0.0155042970482314	0.0878512894594232	supportive	2.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	mif_cd74_receptor_state	donor_mean_z_score	6	6	0.1887295411445655	0.8310895942542751	0.1500034561597018	0.3028107152382765	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	mixscale_validated_ifng_readout	donor_mean_z_score	6	6	0.251144911338508	1.6187723158173368	0.0147369767574785	0.0871839249186987	supportive	2.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	mixscale_validated_ifng_readout	donor_mean_z_score	6	6	0.4119680116952662	2.1148029044171825	0.0038917843107536	0.0525390881951736	supportive	2.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	hla_ii_apc	sample_mean_log1p_cpm_module	3	2	0.6931345213347653	0.9500954684664104	0.2041459260592428	0.2811133221822033	positive_null	0.25
