gene	n_diseases_tested	n_strong_diseases	n_supportive_or_strong_diseases	n_trend_or_better_diseases	n_negative_trend_diseases	median_positive_hedges_g	supporting_diseases
NLRC5	8	0	1	5	0	1.9982204325627864	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;psoriasis;ulcerative colitis
B2M	7	1	1	5	0	1.3747350078373106	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis
HLA-DRB1	8	1	1	5	0	1.3613227801432393	Crohn disease;Hashimoto thyroiditis;MS;Sjogren syndrome;ulcerative colitis
HLA-DRA	8	1	1	5	0	1.333009983233245	Crohn disease;Hashimoto thyroiditis;MS;Sjogren syndrome;ulcerative colitis
STAT1	9	1	1	4	0	1.986112882909066	Crohn disease;Hashimoto thyroiditis;psoriasis;ulcerative colitis
CTSS	9	1	1	4	0	1.9135788462282446	Crohn disease;Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis
HLA-DPB1	8	1	1	4	0	1.3736454063316723	Hashimoto thyroiditis;MS;Sjogren syndrome;ulcerative colitis
HLA-DPA1	8	1	1	4	1	1.1413419965049703	Hashimoto thyroiditis;MS;Sjogren syndrome;ulcerative colitis
TAP2	7	1	1	3	0	2.092399437161714	Crohn disease;Hashimoto thyroiditis;ulcerative colitis
IRF1	9	1	1	3	0	1.7947135036986277	Crohn disease;Hashimoto thyroiditis;ulcerative colitis
TAP1	7	1	1	3	0	1.6599429376394772	Crohn disease;Hashimoto thyroiditis;ulcerative colitis
IFI30	9	1	1	2	0	6.166164086202431	Hashimoto thyroiditis;ulcerative colitis
CTSD	9	1	1	2	0	2.0904298609358944	Hashimoto thyroiditis;MS
CXCR4	9	0	0	6	0	1.6912728906865189	Crohn disease;Graves disease;Hashimoto thyroiditis;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis
CD74	9	0	0	5	0	1.5186346777365478	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis
CIITA	8	0	0	4	0	1.9159208528337928	Crohn disease;Hashimoto thyroiditis;psoriasis;type 1 diabetes mellitus
CD44	9	0	0	4	0	1.5110592752545666	Crohn disease;Hashimoto thyroiditis;MS;ulcerative colitis
GBP1	9	0	0	4	0	1.2681868625933594	Crohn disease;MS;psoriasis;ulcerative colitis
CXCL10	9	0	0	4	0	1.1479355244085074	Crohn disease;Hashimoto thyroiditis;MS;ulcerative colitis
HK2	7	0	0	3	0	2.579230093052839	Crohn disease;psoriasis;ulcerative colitis
RFX5	8	0	0	3	0	2.1179641297620875	Hashimoto thyroiditis;psoriasis;type 1 diabetes mellitus
HIF1A	7	0	0	3	0	1.826734144250856	Crohn disease;psoriasis;ulcerative colitis
LIPA	7	0	0	3	0	1.559069063826943	Crohn disease;psoriasis;type 1 diabetes mellitus
IL1B	7	0	0	3	0	1.3937588301831274	Crohn disease;Sjogren syndrome;ulcerative colitis
CTSB	9	0	0	3	0	1.2735695179550923	Crohn disease;psoriasis;type 1 diabetes mellitus
CXCL8	6	0	0	2	0	2.4645664675188894	type 1 diabetes mellitus;ulcerative colitis
NAMPT	7	0	0	2	0	1.8870102727512732	Crohn disease;ulcerative colitis
FABP5	6	0	0	2	0	1.869087488046007	psoriasis;ulcerative colitis
LDHA	7	0	0	2	0	1.6818304601340595	type 1 diabetes mellitus;ulcerative colitis
TREM1	6	0	0	2	0	1.6636458257805584	Crohn disease;ulcerative colitis
LAMP3	8	0	0	2	0	1.5827772192055973	Crohn disease;ulcerative colitis
PFKFB3	7	0	0	2	0	1.5403585454318787	Crohn disease;ulcerative colitis
TNF	6	0	0	2	0	1.5337531208065132	Crohn disease;type 1 diabetes mellitus
ACSL1	7	0	0	2	0	1.5287336820307778	Crohn disease;ulcerative colitis
OSM	6	0	0	2	0	1.4241564140482907	Crohn disease;ulcerative colitis
SLC2A1	7	0	0	2	0	1.4227887784746063	Crohn disease;ulcerative colitis
CCL4	5	0	0	2	0	1.2691563051331387	Sjogren syndrome;ulcerative colitis
SPP1	7	0	0	1	0	2.51404962509523	type 1 diabetes mellitus
CCL2	6	0	0	1	0	2.44099535006968	type 1 diabetes mellitus
CD68	6	0	0	1	0	1.9830626114297751	psoriasis
LPL	6	0	0	1	0	1.7188946442563224	Crohn disease
CCL3	5	0	0	1	0	1.3794483565731908	ulcerative colitis
GPNMB	7	0	0	1	0	1.3559119980959509	MS
MSR1	7	0	0	1	0	1.0246413650870072	MS
DDT	1	0	0	1	0	0.7429394313280557	MS
C1QB	7	0	0	1	1	1.191191928487954	Sjogren syndrome
C1QC	7	0	0	0	0		
CD36	6	0	0	0	0		
IFI44L	1	0	0	0	0		
ISG15	1	0	0	0	0		
LAMP1	9	0	0	0	0		
LAMP2	9	0	0	0	0		
MERTK	7	0	0	0	0		
MIF	1	0	0	0	0		
NFKBIA	7	0	0	0	0		
PLIN2	7	0	0	0	0		
TPP1	1	0	0	0	0		
TREM2	7	0	0	0	0		
APOE	7	0	0	0	1		
C1QA	7	0	0	0	1		
IRF7	1	0	0	0	1		
