disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	ACSL1	donor_mean_z_score	6	6	0.1282951857242499	1.345462732291551	0.0323567040697789	0.2572458460206028	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	ACSL1	donor_mean_z_score	6	6	1.701968306377268	1.9121621553880337	0.0145463590690196	0.2115464453984163	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	ACSL1	log2_expression	10	11	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.9989163197567034	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	ACSL1	donor_mean_z_score	9	13	-0.1154666818845512	-0.3581366686143464	0.3342373209442539	0.6538120058436172	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	ACSL1	donor_mean_z_score	11	14	-0.2266095252629101	-0.8453584324641806	0.0299274462796328	0.2524236222046254	negative_trend	-1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	ACSL1	donor_mean_z_score	3	3	0.0288783462341891	0.2547785735440639	0.7197982973392625	0.8717930821791461	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	ACSL1	donor_mean_z_score	3	3	0.2801384357579796	0.7054527213857703	0.3877516456474766	0.6802467270011227	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	ACSL1	donor_mean_z_score	18	18	0.0567532192195184	0.3037046618084453	0.3585742236348341	0.6697088274008902	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	ACSL1	donor_mean_z_score	5	18	-0.0330867981844607	-0.2319192902775728	0.6785024685717194	0.8374958146304733	null_or_negative	0.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	ACSL1	donor_mean_z_score	3	19	-0.1892543355156356	-0.9804184287884424	0.1664240509727553	0.5114976226116151	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	ACSL1	donor_mean_z_score	5	19	-0.1007254807794258	-0.9598737150342748	0.0131083707502967	0.2115464453984163	negative_trend	-1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	ACSL1	donor_mean_z_score	6	6	1.977633656096912	1.7120046317700046	0.0227627999695426	0.2278630381639821	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	ACSL1	donor_mean_z_score	6	6	-0.0213124649846109	-0.1941698949018412	0.7249603732456942	0.8746048882846333	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	APOE	donor_mean_z_score	6	6	0.044154682781679	0.2212833763105766	0.6881022877169187	0.8460815833599001	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	APOE	donor_mean_z_score	6	6	0.2611152959858456	0.5349769435490236	0.3432098586972965	0.6538120058436172	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	APOE	log2_expression	10	11	0.3729255468001433	0.6955020632543474	0.120208663256457	0.3177363070402549	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	APOE	donor_mean_z_score	11	14	0.0374636577328602	0.7107798971674476	0.1072078788997753	0.4315285691563285	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	APOE	donor_mean_z_score	9	13	-0.0517346944158526	-0.1855724115239909	0.6561846914542716	0.8292524459469693	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	APOE	donor_mean_z_score	3	3	-1.1109228930416788	-4.014627624580275	0.0131950887880784	0.2115464453984163	negative_trend	-1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	APOE	donor_mean_z_score	3	3	-0.1714465266135237	-2.120002469859797	0.0384703323921274	0.2720553892923929	negative_trend	-1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	APOE	donor_mean_z_score	18	18	-0.0226871376016897	-0.1467442060823432	0.6573154125167919	0.8292524459469693	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	APOE	donor_mean_z_score	5	18	0.1807184057305109	1.2447512314252889	0.2455357337239695	0.5798629873924004	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	APOE	donor_mean_z_score	3	19	0.0378791631755909	0.2444028993947645	0.7620509171657138	0.8896909771355345	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	APOE	donor_mean_z_score	5	19	-0.0126368339891059	-0.088931524876664	0.8683760090022539	0.9387848745970312	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	APOE	donor_mean_z_score	6	6	0.2433078836345596	0.5138800555597964	0.3699990270682755	0.6710148659263487	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	APOE	donor_mean_z_score	6	6	-0.0986039843728015	-0.2604532611455637	0.6356014277293335	0.8180336240334876	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	B2M	donor_mean_z_score	6	6	0.4842020574611501	1.2600591194892048	0.0398239217575291	0.2766971187188268	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	B2M	donor_mean_z_score	6	6	-0.0001703942698533	-0.0007359434498258	0.9989258458750532	1.0	null_or_negative	0.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	B2M	sample_mean_log1p_cpm_gene	3	2	0.6680057156577353	0.5383299633503474	0.4033140388118734	0.4331331219051711	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	B2M	sample_mean_log1p_cpm_gene	3	2	2.1198264300906713	5.6083185180527995	0.0023518573006458	0.0124007021306781	strong	3.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	B2M	donor_mean_z_score	9	13	0.2471630563944666	1.3747350078373106	0.0078131743589978	0.2115464453984163	trend	1.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	B2M	donor_mean_z_score	11	14	0.3194456303991274	1.0184438629420651	0.0178492313304913	0.2115464453984163	trend	1.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	B2M	donor_mean_z_score	18	18	0.0333704286290791	0.0517845497864204	0.8747025280028592	0.9417004005444244	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	B2M	donor_mean_z_score	5	18	0.7635063885785697	1.394055951275556	0.013311366663194	0.2115464453984163	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	B2M	donor_mean_z_score	3	19	0.6484344425181257	2.40952182676319	0.0007666957956899	0.1917174114402367	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	B2M	donor_mean_z_score	5	19	0.4001813526001598	1.0404598641335168	0.013105215971742	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	B2M	donor_mean_z_score	6	6	0.3555508299804895	1.135981646159928	0.0697818868385355	0.3530467002107725	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	B2M	donor_mean_z_score	6	6	-0.0231658867485895	-0.1039570323567848	0.8492668767371262	0.9291124805329244	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	C1QA	donor_mean_z_score	6	6	0.0			1.0	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	C1QA	donor_mean_z_score	6	6	-0.2289420421406395	-0.5695483597768244	0.3112187717979742	0.6423033562007203	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	C1QA	log2_expression	10	11	-0.6196742601671481	-1.1811559166432954	0.0106910547297546	0.1973405041340664	negative_trend	-1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	C1QA	donor_mean_z_score	9	13	0.0312526541923876	0.1168614263043145	0.7813126699664489	0.8954311942382126	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	C1QA	donor_mean_z_score	11	14	0.0050769422829297	0.1253702200863045	0.7508911652270387	0.886277601970864	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	C1QA	donor_mean_z_score	3	3	0.1115563704448999	0.6348286444603377	0.4320822226827931	0.7010868536847861	positive_null	0.25
