gene	n_contexts_compared	c15_trend_contexts_tested	c15_trend_positive_context_count	c15_trend_positive_disease_count	c15_trend_negative_context_count	c15_strict_positive_context_count	c15_strict_positive_disease_count	c15_myeloid_positive_context_count	c15_state_pearson_r	c15_state_pearson_p	c15_state_spearman_r	c15_state_spearman_p	best_c15_context_delta	best_c15_context	positive_c15_contexts	negative_c15_contexts	contrast_state_score	mechanistic_seed	ms_delta_log2	ms_p	ms_fdr	residual_strict_disease_count	residual_retained_disease_count	wave39_call	wave39_score	uniprot_accessible	chembl_activity_count	wave55_score	wave55_n_genetic_diseases_ge_0_25	wave55_genetic_diseases_ge_0_25	wave62_score	wave62_call	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	manual_blocker	prior_context_blocker	w68_cell_state	w68_remission_adjusted_delta	w68_remission_adjusted_p	w68_remission_adjusted_fdr	w68_call	w37_screen_call	w37_contrast_lfc	w37_contrast_fdr	w18_strong_support_contexts	w18_recommendation	wave79_call	wave79_gate_count	wave94_call	wave94_score	wave95_call	gate_ms_anchor	gate_c15_contrast_state	gate_cross_disease_residual	gate_cell_response_or_transition	gate_real_perturbation	gate_foundation_support	gate_genetics	gate_modality	gate_prior_not_blocked	intervention_evidence_count	pre_donor_controller_score	candidate_for_donor_validation
AL669831.5	9	2	0	0	0	0	0	0	-0.13037457202377611	0.7381364612704918	-0.31666666666666665	0.406397014486386					-0.26074914404755223	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.26074914404755223	False
FAM41C	17	7	0	0	1	0	0	0	-0.10545853546474106	0.6870782402106189	0.18382352941176472	0.4800344013399135				ibd_uc_myeloid	-1.710917070929482	False	0.7968357101584855	0.3546053660965912	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-2.710917070929482	False
NOC2L	17	7	1	1	0	1	1	0	-0.30615979186756725	0.23203048103582355	-0.27450980392156865	0.286298378658792	0.9621094628571836	t1d_endothelial_cell	t1d_endothelial_cell		1.8876804162648655	False	0.00139656102011	0.9942765765819824	0.9992380443970746	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.8459884371406201	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.8876804162648655	False
KLHL17	17	7	1	1	1	1	1	0	-0.38043545107900034	0.13196112065582033	-0.34558823529411764	0.17425156925857005	1.2158682806061347	t1d_stellate_cell	t1d_stellate_cell	ibd_crohn_myeloid	0.23912909784199932	False	-0.2656788554444196	0.3765000851154371	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.6342532537059087	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.7608709021580007	False
PLEKHN1	16	6	1	1	0	1	1	0	0.23790449467095118	0.37493769804044147	0.12058823529411765	0.6564245147485953	2.172576554591266	t1d_endothelial_cell	t1d_endothelial_cell		2.9758089893419024	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0899590689906033	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	2.9758089893419024	False
AL645608.8	6	2	0	0	0	0	0	0	-0.6026989643162477	0.2054155600541237	-0.48571428571428577	0.3287230320699708					-1.2053979286324954	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-1.2053979286324954	False
HES4	17	7	0	0	0	0	0	0	-0.07073522600021903	0.78733609625549	-0.12500000000000003	0.6326406085600336					-0.14147045200043806	False	-1.97024081900872	0.076323633291881	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.14147045200043806	False
ISG15	17	7	3	3	0	2	2	2	-0.2647411514963528	0.3044753781575781	-0.11519607843137256	0.659750043107423	1.2451397780764326	ibd_crohn_myeloid	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_acinar_cell		7.470517697007295	False	-0.1422560252729487	0.7526984486437367	0.970415871093437	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1144734255042563	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	7.470517697007295	False
AGRN	17	7	1	1	0	1	1	1	0.008543627727308552	0.9740387010867021	-0.09803921568627452	0.7081513097186048	1.2960415424601266	ibd_uc_myeloid	ibd_uc_myeloid		3.517087255454617	False	-0.1994784498572919	0.5354048479004957	0.9369525137394764	0.0	2.0	NO_GO_SURFACEOME_RESCUE	10.0	True	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0396916290966388	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	True	True	1	4.5170872554546175	True
C1ORF159	17	7	0	0	0	0	0	0	-0.5050583673255177	0.03865090259424203	-0.5784313725490197	0.014996936854650129					-1.0101167346510354	False	-0.5327478483309696	0.5202027933385669	0.9352591033176444	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-1.0101167346510354	False
