gene	target_chembl_id	target_name	target_type	organism	target_status	target_mode	activity_status	activity_mode	activity_rows_bounded	best_nM_bounded
FAP	CHEMBL4683	Prolyl endopeptidase FAP	SINGLE PROTEIN	Homo sapiens	200	live	200.0	live	37	4.6
FXYD5					200	live			0	
