module	source_family	n_donors	n_ppms	n_spms	stage_beta	hc3_ci_low	hc3_ci_high	hc3_p	lodo_min_beta	lodo_max_beta	lodo_same_sign_fraction	n_lodo
receptor_cd44_cxcr4	Amsterdam BB	24	12	12	0.31888968452229993	-0.5428362861413621	1.180615655185962	0.4682662617895521	0.09790979029779684	0.45478997559507717	1.0	24
hla_regulatory	Amsterdam BB	24	12	12	-0.20487794723128205	-1.0731789429017033	0.6634230484391391	0.6437523730398884	-0.33575378457565913	-0.012633711838275087	1.0	24
mif_ligand	Amsterdam BB	24	12	12	0.2222116910168221	-0.6452768925347414	1.0897002745683857	0.6156288894491124	0.046080390956224404	0.33709790280226654	1.0	24
ifn_apc_unique	Amsterdam BB	24	12	12	0.08595003039708109	-0.7861365770676918	0.9580366378618539	0.8468276340711229	-0.10219215501431152	0.23546132842908282	0.8333333333333334	24
lysosomal_unique	Amsterdam BB	24	12	12	-0.07514060269140857	-0.9474173609288278	0.7971361555460107	0.8659245981713506	-0.28124419290851693	0.23844308150265	0.9583333333333334	24
receptor_cd44_cxcr4	UK MS TB	20	8	12	0.372388498528771	-0.4755446903723378	1.22032168742988	0.3893695421417498	0.1091922850781354	0.49855543976914146	1.0	20
hla_regulatory	UK MS TB	20	8	12	0.3794798698796373	-0.5663459437012544	1.325305683460529	0.43165209568740615	0.12830572325432293	0.5849521508670368	1.0	20
mif_ligand	UK MS TB	20	8	12	-0.17323318704415297	-1.1399835052705067	0.7935171311822009	0.7254320280949091	-0.4470604746649286	0.10996867071763633	0.95	20
ifn_apc_unique	UK MS TB	20	8	12	0.5370374453102967	-0.36902718069463303	1.4431020713152265	0.2453578950350035	0.3707107584045367	0.7649315929678147	1.0	20
lysosomal_unique	UK MS TB	20	8	12	0.8422302947088205	-0.10870257998321053	1.7931631694008514	0.08257841821845235	0.6151372996006987	1.0421595284235265	1.0	20
