seed	module	n_replicates	interaction_wild_p	max_t_fwer_p
54701	receptor_cd44_cxcr4	100000	0.927930720692793	1.0
54701	hla_regulatory	100000	0.35373646263537367	0.8743512564874352
54701	mif_ligand	100000	0.5377946220537795	0.973720262797372
54701	ifn_apc_unique	100000	0.46318536814631855	0.9493805061949381
54701	lysosomal_unique	100000	0.15280847191528085	0.5379246207537924
54702	receptor_cd44_cxcr4	100000	0.9285507144928551	1.0
54702	hla_regulatory	100000	0.35761642383576164	0.8752912470875291
54702	mif_ligand	100000	0.5386246137538625	0.974020259797402
54702	ifn_apc_unique	100000	0.46262537374626256	0.949550504494955
54702	lysosomal_unique	100000	0.15280847191528085	0.5395546044539554
54703	receptor_cd44_cxcr4	100000	0.9278607213927861	1.0
54703	hla_regulatory	100000	0.35591644083559165	0.8738612613873862
54703	mif_ligand	100000	0.5342946570534295	0.9738702612973871
54703	ifn_apc_unique	100000	0.4633453665463345	0.9480805191948081
54703	lysosomal_unique	100000	0.15317846821531786	0.5382646173538265
