step	command	expected_returncode	observed_returncode	postcheck	postcheck_status	status	stdout_summary
package_id_valid_pass	python3 scripts/v52_validate_package_id.py 20260710_synthetic_monitoring_manifest	0	0		NA	PASS	{'package_id': '20260710_synthetic_monitoring_manifest', 'status': 'PASS', 'detail': 'PASS'}
package_id_invalid_fails	python3 scripts/v52_validate_package_id.py 20260710_Synthetic	1	1		NA	PASS	{'package_id': '20260710_Synthetic', 'status': 'FAIL', 'detail': 'must match YYYYMMDD_lowercase_alnum_underscore_segments'}
route_classifier_synthetic_manifest	python3 scripts/v52_package_route_classifier.py --manifests analysis/received_package_intake/20260710_synthetic_monitoring_manifest/manifest.tsv --out analysis/v52_package_intake_combined_smoke_suite/synthetic_route_classification.tsv	0	0	route_output_matched	PASS	PASS	{'manifests': 1, 'output': 'analysis/v52_package_intake_combined_smoke_suite/synthetic_route_classification.tsv', 'expectation_failures': 0}
intake_safety_audit_current_tracked_files	python3 scripts/v52_received_intake_safety_audit.py --fail-on-error	0	0		NA	PASS	{'files': 3, 'checks': 14, 'failures': 0, 'out': '/Users/soeren.leibach/Projects/ms-auto-research/analysis/v52_received_intake_safety_audit/intake_safety_audit.tsv'}
