route	route_label	genes_with_chembl_target	genes_with_chembl_activity	max_chembl_activity_records_nM	top_chembl_activity_genes
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	10	9	7278	IDO1:7278;TDO2:1640;CYP1B1:884;AHR:845;CYP1A1:797;KMO:350;IDO2:144;KYNU:20
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	3	3	5718	NR1H4:5718;GPBAR1:1583;NR0B2:4
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	9	9	9307	PPARG:9307;PPARA:5658;PPARD:4164;NR1H2:3322;RXRA:2968;NR1H3:2269;RXRB:486;RXRG:450
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	4	4	1764	FFAR2:1764;HCAR2:1210;HCAR3:144;FFAR3:127
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	12	12	76762	ALDH1A1:76762;VDR:24841;RXRA:2968;RARA:883;RARG:853;RARB:838;RXRB:486;RXRG:450
s1p_receptors	S1P receptor trafficking / barrier axis	8	8	5512	S1PR1:5512;S1PR3:3619;S1PR2:1687;S1PR4:1187;S1PR5:842;SGPL1:778;SPHK1:710;SPHK2:494
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	21	21	8608	PTGS2:8608;PTGS1:5444;PTGDR2:4828;TBXA2R:4613;ALOX5AP:4269;ALOX5:4229;FPR2:3374;PTGER4:2168
