route	route_label	l1000_local_match_count	l1000_opposite_match_count	l1000_opposite_qval_le_0_05_count	wave15_target_antigen_qval_le_0_05_count	best_l1000_opposite_rank	best_l1000_opposite_qval	lincs_metadata_presence_count_capped	example_lincs_compounds
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	0	0	0	0			16	BRD-K60287130;BRD-K84214706;ITE;stemregenin-1;kynuramine;kynurenic-acid;tranilast;tranilast
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	0	0	0	0			38	farnesol;fexaramine;GW-4064;GW-4064;SR-12813;WAY-362450;guggulsterone;guggulsterone
ppar_lxr_lipid_nuclear	PPAR/LXR/RXR lipid nuclear receptors	3	2	2	0	26.0	8.83733908701768e-06	51	nTZDpa;BADGE;epoxycholesterol;epoxycholesterol;GW-3965;GW-3965;T-0901317;T-0901317
scfa_ffar_hcar	SCFA receptors FFAR2/FFAR3/HCAR2	0	0	0	0			22	BRD-A38706605;phenylbutyrate;betamethasone-dipropionate;sodium-propionate;niacin;niacin;niacin;niacin
retinoid_vdr_rxr	Retinoid/RAR/RXR/VDR differentiation-barrier axis	7	0	0	1			51	fenretinide;fenretinide;retinol;retinol;retinol;retinol;retinol;retinol
s1p_receptors	S1P receptor trafficking / barrier axis	1	0	0	0			17	SKI-II;fingolimod;fingolimod;fingolimod;fingolimod;ABC-294640;PF-543;BRD-K12401458
eicosanoid_receptors	Eicosanoid / leukotriene / prostaglandin sensors	5	3	2	0	9.0	8.83733908701768e-06	51	NO-ASA;salicylic-acid;salicylic-acid;salicylic-acid;RGFP-966;resveratrol;resveratrol;resveratrol
