gene	routes	target_chembl_id	pref_name	target_type	organism	accessions	gene_symbols	chembl_search_hit_count	chembl_activity_records_nM	chembl_search_url	chembl_activity_url	api_status
ALDH1A1	retinoid_vdr_rxr	CHEMBL3577	Aldehyde dehydrogenase 1A1	SINGLE PROTEIN	Homo sapiens	P00352	ALDH1A1	4	76762	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ALDH1A1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3577	target=ok;activity=ok
VDR	retinoid_vdr_rxr	CHEMBL1977	Vitamin D3 receptor	SINGLE PROTEIN	Homo sapiens	P11473	VDR	9	24841	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=VDR	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1977	target=ok;activity=ok
PPARG	ppar_lxr_lipid_nuclear	CHEMBL235	Peroxisome proliferator-activated receptor gamma	SINGLE PROTEIN	Homo sapiens	P37231	PPARG	12	9307	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PPARG	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL235	target=ok;activity=ok
PTGS2	eicosanoid_receptors	CHEMBL230	Prostaglandin G/H synthase 2	SINGLE PROTEIN	Homo sapiens	P35354	PTGS2	16	8608	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGS2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL230	target=ok;activity=ok
IDO1	ahr_tryptophan	CHEMBL4685	Indoleamine 2,3-dioxygenase 1	SINGLE PROTEIN	Homo sapiens	P14902	IDO1	6	7278	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IDO1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4685	target=ok;activity=ok
NR1H4	bile_acid_fxr_tgr5	CHEMBL2047	Bile acid receptor	SINGLE PROTEIN	Homo sapiens	Q96RI1	NR1H4	4	5718	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NR1H4	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2047	target=ok;activity=ok
PPARA	ppar_lxr_lipid_nuclear	CHEMBL239	Peroxisome proliferator-activated receptor alpha	SINGLE PROTEIN	Homo sapiens	Q07869	PPARA	7	5658	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PPARA	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL239	target=ok;activity=ok
S1PR1	s1p_receptors	CHEMBL4333	Sphingosine 1-phosphate receptor 1	SINGLE PROTEIN	Homo sapiens	P21453	S1PR1	6	5512	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=S1PR1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4333	target=ok;activity=ok
PTGS1	eicosanoid_receptors	CHEMBL221	Prostaglandin G/H synthase 1	SINGLE PROTEIN	Homo sapiens	P23219	PTGS1	13	5444	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGS1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL221	target=ok;activity=ok
PTGDR2	eicosanoid_receptors	CHEMBL5071	Prostaglandin D2 receptor 2	SINGLE PROTEIN	Homo sapiens	Q9Y5Y4	PTGDR2	5	4828	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGDR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5071	target=ok;activity=ok
TBXA2R	eicosanoid_receptors	CHEMBL2069	Thromboxane A2 receptor	SINGLE PROTEIN	Homo sapiens	P21731	TBXA2R	3	4613	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TBXA2R	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2069	target=ok;activity=ok
ALOX5AP	eicosanoid_receptors	CHEMBL4550	Arachidonate 5-lipoxygenase-activating protein	SINGLE PROTEIN	Homo sapiens	P20292	ALOX5AP	4	4269	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ALOX5AP	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4550	target=ok;activity=ok
ALOX5	eicosanoid_receptors	CHEMBL215	Polyunsaturated fatty acid 5-lipoxygenase	SINGLE PROTEIN	Homo sapiens	P09917	ALOX5	6	4229	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ALOX5	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL215	target=ok;activity=ok
PPARD	ppar_lxr_lipid_nuclear	CHEMBL3979	Peroxisome proliferator-activated receptor delta	SINGLE PROTEIN	Homo sapiens	Q03181	PPARD	6	4164	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PPARD	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3979	target=ok;activity=ok
S1PR3	s1p_receptors	CHEMBL3892	Sphingosine 1-phosphate receptor 3	SINGLE PROTEIN	Homo sapiens	Q99500	S1PR3	3	3619	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=S1PR3	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3892	target=ok;activity=ok
FPR2	eicosanoid_receptors	CHEMBL4227	N-formyl peptide receptor 2	SINGLE PROTEIN	Homo sapiens	P25090	FPR2	4	3374	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FPR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4227	target=ok;activity=ok
NR1H2	ppar_lxr_lipid_nuclear	CHEMBL4093	Oxysterols receptor LXR-beta	SINGLE PROTEIN	Homo sapiens	P55055	NR1H2	7	3322	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NR1H2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4093	target=ok;activity=ok
RXRA	ppar_lxr_lipid_nuclear;retinoid_vdr_rxr	CHEMBL2061	Retinoic acid receptor RXR-alpha	SINGLE PROTEIN	Homo sapiens	P19793	RXRA	14	2968	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RXRA	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2061	target=ok;activity=ok
NR1H3	ppar_lxr_lipid_nuclear	CHEMBL2808	Oxysterols receptor LXR-alpha	SINGLE PROTEIN	Homo sapiens	Q13133	NR1H3	9	2269	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NR1H3	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2808	target=ok;activity=ok
PTGER4	eicosanoid_receptors	CHEMBL1836	Prostaglandin E2 receptor EP4 subtype	SINGLE PROTEIN	Homo sapiens	P35408	PTGER4	6	2168	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGER4	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1836	target=ok;activity=ok
FFAR2	scfa_ffar_hcar	CHEMBL5493	Free fatty acid receptor 2	SINGLE PROTEIN	Homo sapiens	O15552	FFAR2	3	1764	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FFAR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5493	target=ok;activity=ok
S1PR2	s1p_receptors	CHEMBL2955	Sphingosine 1-phosphate receptor 2	SINGLE PROTEIN	Homo sapiens	O95136	S1PR2	4	1687	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=S1PR2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2955	target=ok;activity=ok
LTA4H	eicosanoid_receptors	CHEMBL4618	Leukotriene A-4 hydrolase	SINGLE PROTEIN	Homo sapiens	P09960	LTA4H	4	1661	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LTA4H	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4618	target=ok;activity=ok
TDO2	ahr_tryptophan	CHEMBL2140	Tryptophan 2,3-dioxygenase	SINGLE PROTEIN	Homo sapiens	P48775	TDO2	3	1640	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TDO2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL2140	target=ok;activity=ok
GPBAR1	bile_acid_fxr_tgr5	CHEMBL5409	G-protein coupled bile acid receptor 1	SINGLE PROTEIN	Homo sapiens	Q8TDU6	GPBAR1	3	1583	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=GPBAR1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5409	target=ok;activity=ok
PTGER2	eicosanoid_receptors	CHEMBL1881	Prostaglandin E2 receptor EP2 subtype	SINGLE PROTEIN	Homo sapiens	P43116	PTGER2	6	1530	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGER2	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1881	target=ok;activity=ok
PTGER3	eicosanoid_receptors	CHEMBL3710	Prostaglandin E2 receptor EP3 subtype	SINGLE PROTEIN	Homo sapiens	P43115	PTGER3	4	1509	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGER3	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3710	target=ok;activity=ok
PTGER1	eicosanoid_receptors	CHEMBL1811	Prostaglandin E2 receptor EP1 subtype	SINGLE PROTEIN	Homo sapiens	P34995	PTGER1	4	1305	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTGER1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1811	target=ok;activity=ok
