route	ibd_nonresponse_high_groups	ibd_nominal_or_trend_groups	ibd_weighted_mean_g	ibd_min_p	ibd_best_cohort	ra_effect_responder_minus_non	ra_hedges_g_responder_minus_non	ra_p	ra_nonresponse_high	ra_nominal_or_trend_nonresponse_high	psoriasis_ada_effect_responder_minus_non	psoriasis_ada_hedges_g_responder_minus_non	psoriasis_ada_p	psoriasis_ada_nonresponse_high	psoriasis_ada_nominal_or_trend_nonresponse_high	response_nonresponse_high_system_count	response_nominal_or_trend_system_count	response_mean_hedges_g	response_effect_sd
FPR2_ANXA1_BIASED_RESOLUTION	6	6	-1.4589799487892876	2.0471585441375916e-06	GSE16879_all_IBD_Leuven_baseline	0.26297188091080337	0.8559568762032372	0.020928512789056896	False	False	-0.2886318688946	-0.29669081880337017	0.6230241710599472	True	False	2	1	-0.29990463046314014	1.1574717587767125
CD300_RECEPTOR_SPECIFIC_TUNING	6	4	-0.6472746245762127	0.005765650326165388	GSE12251_UC_ACT1_baseline	-0.31759458314039174	-0.7862887678963391	0.013236702892026655	True	True	-0.0131254030839232	-0.024503010580919592	0.952383844342841	True	False	3	2	-0.4860221343511571	0.40568603527234337
GPR65_ENDOLYSOSOMAL_PH_CAMP	6	5	-1.12705025513854	0.00025722609700879357	GSE16879_all_IBD_Leuven_baseline	-0.46184249583898374	-0.7280919943168983	0.012778512264930333	True	True	0.2896399527355366	0.2905445391604229	0.5635921280719001	False	False	2	2	-0.5215325700983385	0.7310224668271195
GPR183_EBI2_OXYSTEROL_NICHE	6	3	-0.783975855802468	0.000910829119478765	GSE16879_Crohn_colitis_Leuven_baseline	-0.13180948175160903	-0.3352525939626233	0.346855143939454	True	False	0.19769681368694786	0.39261608405858	0.42635065168551217	False	False	2	1	-0.24220412190217044	0.593789240262136
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	6	2	-0.4517571859521545	0.0595397859244573	GSE16879_all_IBD_Leuven_baseline	-0.19874711928859248	-0.6241864113811224	0.03661357503586111	True	True	0.17802885395812468	0.4710644176060246	0.4198241676115637	False	False	2	2	-0.20162639324241746	0.5889122640049699
LXR_ABCA1_ABCG1_EFFLUX	4	1	-0.03964823964817808	0.08843033023961414	GSE12251_UC_ACT1_baseline	-0.34750611120700176	-0.6977538516516337	0.028924268937503102	True	True	0.27122318094977504	0.5684728852970121	0.3113644634334008	False	False	2	2	-0.056309735334266565	0.6332777758770451
PPAR_RXR_LIPID_REPAIR	2	0	0.0794405115862868	0.29370663542902725	GSE12251_UC_ACT1_baseline	-0.4961947704626692	-1.2498628953817748	8.4262019349578e-05	True	True	-0.04938621747481797	-0.1605637329732638	0.7633566132134749	True	False	3	1	-0.4436620389229173	0.7084281015515241
NPC1_NPC2_CHOLESTEROL_EGRESS	5	0	-0.24611246477536536	0.22411618895913354	GSE16879_Crohn_ileitis_Leuven_baseline	0.027744758822639104	0.0877466560284087	0.7602273794320342	False	False	-0.1029607871885255	-0.24833524865096845	0.6889451567824919	True	False	2	0	-0.13556701913264171	0.19339850911392975
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	2	2	-0.06575332569143091	0.09023001596490828	GSE16879_UC_Leuven_baseline	-0.4586132320788566	-0.5439154266268184	0.06360149207618965	True	True	0.1842381384071895	0.28998478835505187	0.6094744139778947	False	False	2	2	-0.10656132132106579	0.41844517145879884
FADS_DESATURATION_AXIS	5	4	-0.43333649969853927	0.0396954644792534	GSE16879_Crohn_all_Leuven_baseline	-0.6872967262263123	-1.0176061355225776	0.0026207663195656167	True	True	0.06339658639684881	0.27750443146174675	0.5223922117835967	False	False	2	2	-0.39114606791979006	0.6485852831963369
SCD_MONOUNSATURATED_LIPID_AXIS	1	0	0.2617554406676484	0.0009766541210028598	GSE12251_UC_ACT1_baseline	0.09757934651504115	0.1143672931805246	0.6545390805616962	False	False	-0.14534794286518782	-0.1891586391630397	0.6778073678528269	True	False	2	0	0.06232136489504442	0.229918378638403
SQLE_STEROL_SYNTHESIS_AXIS	1	0	0.4957320989035493	0.023496837138398723	GSE16879_Crohn_colitis_Leuven_baseline	-0.5329749032772475	-0.6130900760505699	0.07202679826763389	True	True	-0.0530447792930574	-0.08903758997180566	0.838329346575756	True	False	3	1	-0.06879852237294208	0.55468808244855
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	6	4	-0.573098697792705	0.014193086335870313	GSE12251_UC_ACT1_baseline	-0.050315037746899646	-0.13016286202936886	0.6635704220547174	True	False	-0.3300430365939822	-0.9672569593851701	0.1086604037078804	True	True	3	2	-0.5568395064024146	0.4187838379587737
PTGER4_PROSTAGLANDIN_E2_AXIS	6	5	-0.5889456731747243	0.031062565800127454	GSE16879_Crohn_all_Leuven_baseline	-0.45016852070402624	-0.7497381444989274	0.012375142968137746	True	True	0.5896190443996286	0.6165426366815769	0.14772486647872654	False	False	2	2	-0.24071372699735827	0.7467462149282441
NAMPT_HIF_METABOLIC_STRESS	6	5	-1.1383066686457506	0.0001377208687963445	GSE16879_all_IBD_Leuven_baseline	0.49181625944459684	0.8281756846358919	0.010517818860308078	False	False	-0.7519377755435086	-0.9836964458985407	0.12710004108898404	True	True	2	2	-0.43127580996946646	1.0934530765845596
