route	ms_genes_present	ms_genes	ms_mean_delta_log2	ms_combined_signed_z	ms_combined_p	ms_positive_nominal	ms_negative_nominal	ms_route_call	ms_top_gene
FPR2_ANXA1_BIASED_RESOLUTION	2	FPR2;ANXA1	-0.5009801785230293	-0.7376684732301279	0.46071593465160887	False	False	MS_ROUTE_NULL_OR_WEAK	FPR2
CD300_RECEPTOR_SPECIFIC_TUNING	4	CD300A;CD300E;CD300C;CD300LF	-0.39395639265916965	-1.120425269869271	0.2625325814663273	False	False	MS_ROUTE_NULL_OR_WEAK	CD300E
GPR65_ENDOLYSOSOMAL_PH_CAMP	1	GPR65	0.09040507812532	0.4899820626584647	0.6241465917972194	False	False	MS_ROUTE_NULL_OR_WEAK	GPR65
GPR183_EBI2_OXYSTEROL_NICHE	5	CYP27A1;CYP7B1;HSD3B7;GPR183;CH25H	0.029597266894075786	0.8400592976231529	0.40087513990563595	False	False	MS_ROUTE_NULL_OR_WEAK	CYP7B1
MERTK_AXL_TAM_GAS6_PROS1_AGONISM	5	GAS6;AXL;PROS1;MERTK;TYRO3	-0.13610688192845172	-0.5531206855572247	0.5801807730262534	False	False	MS_ROUTE_NULL_OR_WEAK	TYRO3
LXR_ABCA1_ABCG1_EFFLUX	4	ABCG1;ABCA1;NR1H3;NR1H2	0.6016248522120338	3.021413441294836	0.0025159756370769755	True	False	MS_ROUTE_UP_NOMINAL	NR1H3
PPAR_RXR_LIPID_REPAIR	7	PPARG;RXRA;RXRB;RARG;PPARD;PPARA;RARA	0.09428011101673443	0.5486649766556505	0.5832353856648107	False	False	MS_ROUTE_NULL_OR_WEAK	PPARG
NPC1_NPC2_CHOLESTEROL_EGRESS	2	NPC1;NPC2	0.0061719055183866445	-0.17222349177195898	0.8632618300485926	False	False	MS_ROUTE_NULL_OR_WEAK	NPC2
LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	1	LIPA	0.4580110941773352	1.0972537090938284	0.27253050048443017	False	False	MS_ROUTE_NULL_OR_WEAK	LIPA
FADS_DESATURATION_AXIS	2	FADS1;FADS2	-1.0350157964706437	-2.601449233043961	0.00928308036518309	False	True	MS_ROUTE_DOWN_NOMINAL	FADS2
SCD_MONOUNSATURATED_LIPID_AXIS	1	SCD	0.3699574700771606	1.4142770736088774	0.15728056573126764	False	False	MS_ROUTE_NULL_OR_WEAK	SCD
SQLE_STEROL_SYNTHESIS_AXIS	1	SQLE	-0.3408177110309154	-0.9725897882420279	0.3307572199460259	False	False	MS_ROUTE_NULL_OR_WEAK	SQLE
AHR_BARRIER_IMMUNE_METABOLITE_AXIS	1	AHR	0.4506701497294898	1.0999857331003413	0.2713383380918426	False	False	MS_ROUTE_NULL_OR_WEAK	AHR
PTGER4_PROSTAGLANDIN_E2_AXIS	2	PTGS2;PTGER4	-0.029062614347141746	-0.012243372890851114	0.9902314458501844	False	False	MS_ROUTE_NULL_OR_WEAK	PTGS2
NAMPT_HIF_METABOLIC_STRESS	2	NAMPT;HIF1A	-0.16877125618486394	-0.6753686428646833	0.4994415826043447	False	False	MS_ROUTE_NULL_OR_WEAK	NAMPT
