gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	broad_call
PTPN11	17	5	4	1	1	3	1	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus	0.000572036817088	0.0854840383152886	0.927155866105828	2.570980554999269	0.0001947254760583	-0.9623923870816472	ibd_crohn_stromal:0.866,p=0.00057;ibd_crohn_epithelial:0.878,p=0.00089;psoriasis_skin_stromal:0.619,p=0.0047;ibd_uc_epithelial:0.927,p=0.0051;ibd_uc_stromal:0.546,p=0.0094	contradictory_or_negative
AXL	17	0	3	0	0	0	3		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.0031385568948218	-2.2914103021289467		null_or_weak
BTK	14	0	2	0	0	0	2		psoriasis;ulcerative colitis					0.0240397468497855	-1.786681629205548		null_or_weak
CD300A	13	0	0	0	0	0	0										null_or_weak
INPP5D	16	0	0	0	0	0	0										null_or_weak
MERTK	17	0	2	0	0	0	2		Sjogren syndrome;ulcerative colitis					0.0034729174649706	-1.3720515044755257		null_or_weak
PIK3CD	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.0162230368343301	-0.8958551293757533		null_or_weak
PROS1	17	0	1	0	0	0	1		ulcerative colitis					0.0020709154523873	-1.1656749307498808		null_or_weak
PTPN6	16	0	0	0	0	0	0										null_or_weak
SH2D1B	5	0	0	0	0	0	0										null_or_weak
SIGLEC10	12	0	1	0	0	0	1		type 1 diabetes mellitus					0.0070007835281223	-0.2580292810238161		null_or_weak
TYRO3	17	0	1	0	0	0	1		psoriasis					0.0035662408996899	-0.6656636750353067		null_or_weak
CD300LF	8	1	0	0	0	1	0	psoriasis		0.0329241262330017	0.7297013371935511	2.2457988966876004	2.102009132988344			psoriasis_skin_apc:2.25,p=0.033	single_context_hint
GAS6	17	1	0	0	0	1	0	Crohn disease		0.0225486165186834	0.2159306539101695	1.2693587378009648	1.4851241679752885			ibd_crohn_epithelial:1.27,p=0.023	single_context_hint
LILRB4	10	1	0	0	0	1	0	type 1 diabetes mellitus		0.0459972007873847	0.4707506789833656	0.3284962767241583	1.355992693624856			t1d_ductal_cell:0.328,p=0.046	single_context_hint
PIK3CG	13	1	0	0	0	1	0	type 1 diabetes mellitus		0.0315112702177117	0.3721174056229033	1.4396450609659004	0.9688242645926404			t1d_endothelial_cell:1.44,p=0.032	single_context_hint
LAIR1	14	2	2	0	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.0255629027046326	0.3573145867906226	1.8258811014653928	1.8667753174716049	0.0046514946993377	-0.8834440086786666	t1d_ductal_cell:1.13,p=0.026;t1d_endothelial_cell:1.83,p=0.026	single_context_hint
LILRB1	11	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.0067444519845198	0.2022841929409326	1.4020178492437418	1.5730996012696243			ibd_crohn_myeloid:1.27,p=0.0067;ibd_uc_myeloid:1.4,p=0.042	single_context_hint
LILRB2	4	2	0	1	0	2	0	Crohn disease;ulcerative colitis		0.0003013440684522	0.0707039508712539	1.567897511567943	2.28582872312281			ibd_crohn_myeloid:1.38,p=0.0003;ibd_uc_myeloid:1.57,p=0.018	single_context_hint
