gene	contrast	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	welch_t	p	fdr
B2m	Gsk3b_IFNg_induction_interaction	3	3			-0.15805796950938245			
Cd74	Gsk3b_IFNg_induction_interaction	3	3			-2.871018652994639			
Ciita	Gsk3b_IFNg_induction_interaction	3	3			-0.5572032571828718			
Ctsb	Gsk3b_IFNg_induction_interaction	3	3			-0.2060103274718923			
Ctsd	Gsk3b_IFNg_induction_interaction	3	3			0.3803794465200774			
Ctsl	Gsk3b_IFNg_induction_interaction	3	3			0.22485388212119517			
Ctss	Gsk3b_IFNg_induction_interaction	3	3			0.15317603793315726			
Cxcl10	Gsk3b_IFNg_induction_interaction	3	3			-0.9211864812953907			
Cxcl9	Gsk3b_IFNg_induction_interaction	3	3			-2.394171504412679			
Gbp2	Gsk3b_IFNg_induction_interaction	3	3			-0.6665552542236863			
Gbp5	Gsk3b_IFNg_induction_interaction	3	3			-0.5126982968887948			
Gsk3b	Gsk3b_IFNg_induction_interaction	3	3			-0.15765160570044756			
H2-Aa	Gsk3b_IFNg_induction_interaction	3	3			-2.5667338990827204			
H2-Ab1	Gsk3b_IFNg_induction_interaction	3	3			-3.0104345175361518			
H2-DMa	Gsk3b_IFNg_induction_interaction	3	3			-1.1464129890378487			
H2-DMb1	Gsk3b_IFNg_induction_interaction	3	3			-1.1043694188707693			
H2-DMb2	Gsk3b_IFNg_induction_interaction	3	3			-1.2209173905926827			
H2-Eb1	Gsk3b_IFNg_induction_interaction	3	3			-1.8463735974112172			
Ifi30	Gsk3b_IFNg_induction_interaction	3	3			-0.4221339483143023			
Ifit1	Gsk3b_IFNg_induction_interaction	3	3			0.2294687597695555			
Ifit2	Gsk3b_IFNg_induction_interaction	3	3			0.48174011407868456			
Ifit3	Gsk3b_IFNg_induction_interaction	3	3			-0.3418197342018203			
Igtp	Gsk3b_IFNg_induction_interaction	3	3			0.4622229353584988			
Il6	Gsk3b_IFNg_induction_interaction	3	3			-0.9825108600352888			
Irf1	Gsk3b_IFNg_induction_interaction	3	3			-0.11970186202130506			
Irf7	Gsk3b_IFNg_induction_interaction	3	3			-0.8241957093887557			
Irgm1	Gsk3b_IFNg_induction_interaction	3	3			0.7710021443619528			
Isg15	Gsk3b_IFNg_induction_interaction	3	3			0.020261001906369813			
Lamp1	Gsk3b_IFNg_induction_interaction	3	3			0.03404302074869392			
Lamp2	Gsk3b_IFNg_induction_interaction	3	3			0.06138908651049313			
Lamp3	Gsk3b_IFNg_induction_interaction	3	3			0.3333333333333333			
Med16	Gsk3b_IFNg_induction_interaction	3	3			-0.43349237149703335			
Nlrc5	Gsk3b_IFNg_induction_interaction	3	3			0.3212930544716599			
Oasl2	Gsk3b_IFNg_induction_interaction	3	3			-0.24548402008506098			
Rfx5	Gsk3b_IFNg_induction_interaction	3	3			-0.31914184864576			
Stat1	Gsk3b_IFNg_induction_interaction	3	3			-0.4851199401703674			
Tap1	Gsk3b_IFNg_induction_interaction	3	3			-0.28267769503994167			
Tap2	Gsk3b_IFNg_induction_interaction	3	3			0.1701076194833817			
Tnf	Gsk3b_IFNg_induction_interaction	3	3			-0.0413609368508947			
B2m	Gsk3b_IFNg_vs_NTC_IFNg	3	3	15.931947897481706	15.722454696567901	0.20949320091380486	0.8901438081866663	0.4527011124543497	0.5924611874402563
