dataset	organism	contrast	timepoint	module	n_genes	genes_present	mean_log2fc	median_log2fc	negative_fraction	note
GSE294918	Homo sapiens	D0_IFNy_8H_vs_D0_unstim	unstim	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	-0.22585177089993802	-0.0903994900877727	0.6666666666666666	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D0_IFNy_8H_vs_D0_unstim	unstim	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	-0.2178423532998706	-0.0903994900877727	0.5714285714285714	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D0_IFNy_8H_vs_D0_unstim	unstim	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	3.7763072067203174	2.331801406906889	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D0_IFNy_8H_vs_D0_unstim	unstim	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	0.44921530276536425	-0.1108577493211671	0.625	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	0.8784236570155876	0.7685998447501685	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	0.8140398732776521	0.7685998447501685	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	3.4026506133499272	3.1348045562003852	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_LPS0H	LPS0H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	0.05495603406093624	0.026194823465496064	0.5	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	0.8784236570155876	0.7685998447501685	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	0.8140398732776521	0.7685998447501685	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	3.4026506133499272	3.1348045562003852	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	0H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	0.05495603406093624	0.026194823465496064	0.5	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	0.8103968940743241	0.6832521203147071	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	0.728172141427754	0.6832521203147071	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	3.3678384219407103	3.288874278544503	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	1H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	0.19081718633012834	-0.009122820913027851	0.5	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	0.9248510633417539	0.8048373075344166	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	0.9036363515155152	0.8048373075344166	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	0.8042956184174521	0.7224794281092368	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	3H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	-0.009362357250234266	0.04252642395900086	0.375	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	0.7475738611940608	0.7353887906176979	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	0.8662471789488605	0.8007105244083377	0.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	0.28778841038588676	0.39301812131725455	0.38461538461538464	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	-0.023947616777821645	0.004026695787092471	0.5	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	-1.0792369811856786	-0.963215950920782	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	-0.9933755637725861	-0.963215950920782	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	-3.184302111253816	-3.146861414227657	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	-0.007880840340944967	-0.08200418564614598	0.625	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	-1.0792369811856786	-0.963215950920782	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	-0.9933755637725861	-0.963215950920782	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	-3.184302111253816	-3.146861414227657	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	-0.007880840340944967	-0.08200418564614598	0.625	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	-0.9856700145659588	-0.8679512597688266	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	-0.9086912556590797	-0.8679512597688266	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	-3.375813097750498	-3.2289306600678387	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	lysosomal_antigen_processing	8	CTSB,CTSD,CTSL,CTSS,IFI30,LAMP1,LAMP2,LAMP3	-0.08188065107943565	-0.0001670601170395969	0.5	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	ciita_hla2_cd74	9	CD74,CIITA,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,RFX5	-1.1181126954268814	-0.945758234596056	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	hla2_surface_core	7	CD74,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1	-0.9836453530876703	-0.945758234596056	1.0	single CPM column per condition; descriptive only
GSE294918	Homo sapiens	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	generic_ifn_core	13	B2M,CXCL10,CXCL9,GBP1,GBP2,IFIT1,IFIT2,IRF1,ISG15,NLRC5,STAT1,TAP1,TAP2	-2.9098092520153145	-2.2470505264809155	1.0	single CPM column per condition; descriptive only
