script	doc_status	n_doc_refs	doc_refs	n_output_dirs	output_dirs	n_summary_json	summary_json	observed_statuses
scripts/v45_array_processing_readiness.py	DOCUMENTED	2	docs/validation/ARRAY_PROCESSING_READINESS_V45.md;meta/V45_QUEUE.md	1	analysis/v45_array_processing_readiness	1	analysis/v45_array_processing_readiness/summary.json	readiness_check_only
scripts/v45_artifact_index.py	DOCUMENTED	2	docs/validation/V45_ARTIFACT_INDEX.md;meta/V45_QUEUE.md	2	analysis/v45_artifact_index;analysis/v45_synthetic_artifact_index	2	analysis/v45_artifact_index/summary.json;analysis/v45_synthetic_artifact_index/summary.json	none
scripts/v45_author_run_bundle_dryrun_manifest.py	DOCUMENTED	2	docs/validation/AUTHOR_RUN_BUNDLE_DRYRUN_MANIFEST_V45.md;meta/V45_QUEUE.md	1	analysis/v45_author_run_bundle_dryrun_manifest	2	analysis/v45_author_run_bundle_dryrun_manifest/live/author_run_bundle_dryrun_summary.json;analysis/v45_author_run_bundle_dryrun_manifest/synthetic_missing_required/author_run_bundle_dryrun_summary.json	none
scripts/v45_author_run_output_check.py	DOCUMENTED	3	docs/validation/AUTHOR_RUN_OUTPUT_COMPLETENESS_CHECK_V45.md;docs/validation/AUTHOR_RUN_REDACTION_PRECHECK_V45.md;meta/V45_QUEUE.md	2	analysis/v45_author_run_output_check;analysis/v45_author_run_output_check_incomplete	3	analysis/v45_author_run_output_check/author_run_output_check_summary.json;analysis/v45_author_run_output_check/synthetic_complete_author_run_package/validation_summary.json;analysis/v45_author_run_output_check_incomplete/author_run_output_check_summary.json	FAIL;PASS
scripts/v45_author_run_packet_checksum_manifest.py	DOCUMENTED	2	docs/validation/AUTHOR_RUN_PACKET_CHECKSUMS_V45.md;meta/V45_QUEUE.md	1	analysis/v45_author_run_packet_checksums	4	analysis/v45_author_run_packet_checksums/synthetic_broken_verify/author_run_packet_checksum_verify_summary.json;analysis/v45_author_run_packet_checksums/synthetic_check_summary.json;analysis/v45_author_run_packet_checksums/verify/author_run_packet_checksum_verify_summary.json;analysis/v45_author_run_packet_checksums/write/author_run_packet_checksum_summary.json	FAIL;PASS
scripts/v45_author_run_redaction_precheck.py	DOCUMENTED	3	docs/validation/AUTHOR_RUN_REDACTION_PRECHECK_V45.md;docs/validation/SENSITIVE_DATA_REDACTION_CHECKLIST_V45.md;meta/V45_QUEUE.md	1	analysis/v45_author_run_redaction_precheck	5	analysis/v45_author_run_redaction_precheck/complete_fixture/author_run_redaction_precheck_summary.json;analysis/v45_author_run_redaction_precheck/risky_fixture/author_run_redaction_precheck_summary.json;analysis/v45_author_run_redaction_precheck/synthetic_check_summary.json;analysis/v45_author_run_redaction_precheck/synthetic_complete_aggregate_package/validation_summary.json;analysis/v45_author_run_redaction_precheck/synthetic_risky_aggregate_package/validation_summary.json	FAIL;PASS
scripts/v45_author_run_return_gate_runner.py	DOCUMENTED	4	docs/validation/AUTHOR_RUN_REDACTION_PRECHECK_V45.md;docs/validation/AUTHOR_RUN_RETURN_GATE_RUNNER_V45.md;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;meta/V45_QUEUE.md	1	analysis/v45_author_run_return_gate_runner	10	analysis/v45_author_run_return_gate_runner/complete_pass/author_run_return_gate_summary.json;analysis/v45_author_run_return_gate_runner/complete_pass/output_completeness/author_run_output_check_summary.json;analysis/v45_author_run_return_gate_runner/complete_pass/redaction_precheck/author_run_redaction_precheck_summary.json;analysis/v45_author_run_return_gate_runner/incomplete_completeness_fail/author_run_return_gate_summary.json;analysis/v45_author_run_return_gate_runner/incomplete_completeness_fail/output_completeness/author_run_output_check_summary.json;analysis/v45_author_run_return_gate_runner/incomplete_completeness_fail/redaction_precheck/author_run_redaction_precheck_summary.json;analysis/v45_author_run_return_gate_runner/risky_redaction_fail/author_run_return_gate_summary.json;analysis/v45_author_run_return_gate_runner/risky_redaction_fail/redaction_precheck/author_run_redaction_precheck_summary.json;analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json;analysis/v45_author_run_return_gate_runner/synthetic_clean_incomplete_package/validation_summary.json	FAIL;PASS
scripts/v45_author_run_schema_validator.py	DOCUMENTED	3	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;docs/validation/AUTHOR_RUN_SCHEMA_VALIDATOR_V45.md;meta/V45_QUEUE.md	1	analysis/v45_author_run_schema_validator	7	analysis/v45_author_run_schema_validator/bad_metrics/author_run_schema_validation_summary.json;analysis/v45_author_run_schema_validator/good/author_run_schema_validation_summary.json;analysis/v45_author_run_schema_validator/synthetic_author_run_schema_summary.json;analysis/v45_author_run_schema_validator/synthetic_bad_metrics_package/validation_summary.json;analysis/v45_author_run_schema_validator/synthetic_good_package/validation_summary.json;analysis/v45_author_run_schema_validator/synthetic_unscoreable_missing_code_package/validation_summary.json;analysis/v45_author_run_schema_validator/unscoreable_missing_code/author_run_schema_validation_summary.json	FAIL;PASS
scripts/v45_batch_guard_calibration.py	DOCUMENTED	2	docs/validation/BATCH_GUARD_CALIBRATION_FULL_V45.md;docs/validation/BATCH_GUARD_CALIBRATION_V45.md	2	analysis/v45_batch_guard_calibration;analysis/v45_batch_guard_calibration_full	2	analysis/v45_batch_guard_calibration/summary.json;analysis/v45_batch_guard_calibration_full/summary.json	none
scripts/v45_checksum_manifest_validator.py	DOCUMENTED	6	docs/validation/CHECKSUM_MANIFEST_VALIDATOR_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/GAFSON_ARRIVAL_RUNBOOK_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;meta/V45_QUEUE.md	1	analysis/v45_checksum_manifest_validator	3	analysis/v45_checksum_manifest_validator/outbound_requests_verify/manifest_audit_summary.json;analysis/v45_checksum_manifest_validator/synthetic_check/fail_verify/manifest_audit_summary.json;analysis/v45_checksum_manifest_validator/synthetic_check/pass_verify/manifest_audit_summary.json	FAIL;PASS
