gene_symbol	ensembl_gene_id	status
ACSL1	ENSG00000151726	mapped
APOE	ENSG00000130203	mapped
B2M	ENSG00000166710	mapped
B2M	ENSG00000273686	mapped
C1QA	ENSG00000173372	mapped
C1QB	ENSG00000173369	mapped
C1QC	ENSG00000159189	mapped
CCL2	ENSG00000108691	mapped
CCL3	ENSG00000274221	mapped
CCL3	ENSG00000277632	mapped
CCL3	ENSG00000278567	mapped
CCL4	ENSG00000275302	mapped
CCL4	ENSG00000275824	mapped
CCL4	ENSG00000277943	mapped
CD36	ENSG00000135218	mapped
CD44	ENSG00000026508	mapped
CD68	ENSG00000129226	mapped
CD74	ENSG00000019582	mapped
CIITA	ENSG00000179583	mapped
CTSB	ENSG00000164733	mapped
CTSB	ENSG00000285132	mapped
CTSD	ENSG00000117984	mapped
CTSS	ENSG00000163131	mapped
CXCL10	ENSG00000169245	mapped
CXCL8	ENSG00000169429	mapped
CXCR4	ENSG00000121966	mapped
FABP5	ENSG00000164687	mapped
FABP5	ENSG00000236972	mapped
GBP1	ENSG00000117228	mapped
GPNMB	ENSG00000136235	mapped
HIF1A	ENSG00000100644	mapped
HK2	ENSG00000068796	mapped
HK2	ENSG00000095066	mapped
HK2	ENSG00000130037	mapped
HK2	ENSG00000159399	mapped
HLA-DPA1	ENSG00000168384	mapped
HLA-DPA1	ENSG00000206291	mapped
HLA-DPA1	ENSG00000224103	mapped
HLA-DPA1	ENSG00000228163	mapped
HLA-DPA1	ENSG00000229685	mapped
HLA-DPA1	ENSG00000231389	mapped
HLA-DPA1	ENSG00000235844	mapped
HLA-DPA1	ENSG00000236177	mapped
HLA-DPB1	ENSG00000215048	mapped
HLA-DPB1	ENSG00000223865	mapped
HLA-DPB1	ENSG00000226826	mapped
HLA-DPB1	ENSG00000229295	mapped
HLA-DPB1	ENSG00000230708	mapped
HLA-DPB1	ENSG00000230763	mapped
HLA-DPB1	ENSG00000236693	mapped
HLA-DPB1	ENSG00000237710	mapped
HLA-DRA	ENSG00000204287	mapped
HLA-DRA	ENSG00000206308	mapped
HLA-DRA	ENSG00000226260	mapped
HLA-DRA	ENSG00000227993	mapped
HLA-DRA	ENSG00000228987	mapped
HLA-DRA	ENSG00000230726	mapped
HLA-DRA	ENSG00000234794	mapped
HLA-DRA	ENSG00000277263	mapped
HLA-DRB1	ENSG00000196126	mapped
HLA-DRB1	ENSG00000206240	mapped
HLA-DRB1	ENSG00000206306	mapped
HLA-DRB1	ENSG00000228080	mapped
HLA-DRB1	ENSG00000229074	mapped
HLA-DRB1	ENSG00000236884	mapped
IFI30	ENSG00000216490	mapped
IL1B	ENSG00000125538	mapped
IRF1	ENSG00000125347	mapped
LAMP1	ENSG00000185896	mapped
LAMP2	ENSG00000005893	mapped
LAMP3	ENSG00000078081	mapped
LDHA	ENSG00000134333	mapped
LDHA	ENSG00000288299	mapped
LIPA	ENSG00000107798	mapped
LIPA	ENSG00000168515	mapped
LPL	ENSG00000175445	mapped
MERTK	ENSG00000153208	mapped
MSR1	ENSG00000038945	mapped
NAMPT	ENSG00000105835	mapped
NFKBIA	ENSG00000100906	mapped
NLRC5	ENSG00000140853	mapped
OSM	ENSG00000099985	mapped
OSM	ENSG00000136280	mapped
PFKFB3	ENSG00000170525	mapped
PLIN2	ENSG00000147872	mapped
RFX5	ENSG00000143390	mapped
SLC2A1	ENSG00000117394	mapped
SPP1	ENSG00000118785	mapped
SPP1	ENSG00000154832	mapped
STAT1	ENSG00000115415	mapped
TAP1	ENSG00000100003	mapped
TAP1	ENSG00000168394	mapped
TAP1	ENSG00000206297	mapped
TAP1	ENSG00000224212	mapped
TAP1	ENSG00000224748	mapped
TAP1	ENSG00000226173	mapped
TAP1	ENSG00000227816	mapped
TAP1	ENSG00000230705	mapped
TAP1	ENSG00000232367	mapped
TAP2	ENSG00000100012	mapped
TAP2	ENSG00000204267	mapped
TAP2	ENSG00000206235	mapped
TAP2	ENSG00000206299	mapped
TAP2	ENSG00000223481	mapped
TAP2	ENSG00000225967	mapped
TAP2	ENSG00000228582	mapped
TAP2	ENSG00000232326	mapped
TAP2	ENSG00000237599	mapped
TNF	ENSG00000204490	mapped
TNF	ENSG00000206439	mapped
TNF	ENSG00000223952	mapped
TNF	ENSG00000228321	mapped
TNF	ENSG00000228849	mapped
TNF	ENSG00000228978	mapped
TNF	ENSG00000230108	mapped
TNF	ENSG00000232810	mapped
TREM1	ENSG00000124731	mapped
TREM2	ENSG00000095970	mapped
