dataset	compartment	gene_symbol	n_ensembl_ids_present	ensembl_ids_present
GSE138746	PBMC	ACSL1	1	ENSG00000151726
GSE138746	PBMC	APOE	1	ENSG00000130203
GSE138746	PBMC	B2M	1	ENSG00000166710
GSE138746	PBMC	C1QA	1	ENSG00000173372
GSE138746	PBMC	C1QB	1	ENSG00000173369
GSE138746	PBMC	C1QC	1	ENSG00000159189
GSE138746	PBMC	CCL2	1	ENSG00000108691
GSE138746	PBMC	CCL3	1	ENSG00000277632
GSE138746	PBMC	CCL4	1	ENSG00000275302
GSE138746	PBMC	CD36	1	ENSG00000135218
GSE138746	PBMC	CD44	1	ENSG00000026508
GSE138746	PBMC	CD68	1	ENSG00000129226
GSE138746	PBMC	CD74	1	ENSG00000019582
GSE138746	PBMC	CIITA	1	ENSG00000179583
GSE138746	PBMC	CTSB	1	ENSG00000164733
GSE138746	PBMC	CTSD	1	ENSG00000117984
GSE138746	PBMC	CTSS	1	ENSG00000163131
GSE138746	PBMC	CXCL10	1	ENSG00000169245
GSE138746	PBMC	CXCL8	1	ENSG00000169429
GSE138746	PBMC	CXCR4	1	ENSG00000121966
GSE138746	PBMC	FABP5	1	ENSG00000164687
GSE138746	PBMC	GBP1	1	ENSG00000117228
GSE138746	PBMC	GPNMB	1	ENSG00000136235
GSE138746	PBMC	HIF1A	1	ENSG00000100644
GSE138746	PBMC	HK2	4	ENSG00000068796,ENSG00000095066,ENSG00000130037,ENSG00000159399
GSE138746	PBMC	HLA-DPA1	1	ENSG00000231389
GSE138746	PBMC	HLA-DPB1	1	ENSG00000223865
GSE138746	PBMC	HLA-DRA	1	ENSG00000204287
GSE138746	PBMC	HLA-DRB1	1	ENSG00000196126
GSE138746	PBMC	IFI30	1	ENSG00000216490
GSE138746	PBMC	IL1B	1	ENSG00000125538
GSE138746	PBMC	IRF1	1	ENSG00000125347
GSE138746	PBMC	LAMP1	1	ENSG00000185896
GSE138746	PBMC	LAMP2	1	ENSG00000005893
GSE138746	PBMC	LAMP3	1	ENSG00000078081
GSE138746	PBMC	LDHA	1	ENSG00000134333
GSE138746	PBMC	LIPA	1	ENSG00000107798
GSE138746	PBMC	LPL	1	ENSG00000175445
GSE138746	PBMC	MERTK	1	ENSG00000153208
GSE138746	PBMC	MSR1	1	ENSG00000038945
GSE138746	PBMC	NAMPT	1	ENSG00000105835
GSE138746	PBMC	NFKBIA	1	ENSG00000100906
GSE138746	PBMC	NLRC5	1	ENSG00000140853
GSE138746	PBMC	OSM	2	ENSG00000099985,ENSG00000136280
GSE138746	PBMC	PFKFB3	1	ENSG00000170525
GSE138746	PBMC	PLIN2	1	ENSG00000147872
GSE138746	PBMC	RFX5	1	ENSG00000143390
GSE138746	PBMC	SLC2A1	1	ENSG00000117394
GSE138746	PBMC	SPP1	1	ENSG00000154832
GSE138746	PBMC	STAT1	1	ENSG00000115415
GSE138746	PBMC	TAP1	2	ENSG00000100003,ENSG00000168394
GSE138746	PBMC	TAP2	1	ENSG00000204267
GSE138746	PBMC	TNF	1	ENSG00000232810
GSE138746	PBMC	TREM1	1	ENSG00000124731
GSE138746	PBMC	TREM2	0	
GSE138746	CD14_monocyte	ACSL1	1	ENSG00000151726
GSE138746	CD14_monocyte	APOE	1	ENSG00000130203
GSE138746	CD14_monocyte	B2M	1	ENSG00000166710
GSE138746	CD14_monocyte	C1QA	1	ENSG00000173372
GSE138746	CD14_monocyte	C1QB	1	ENSG00000173369
GSE138746	CD14_monocyte	C1QC	1	ENSG00000159189
GSE138746	CD14_monocyte	CCL2	1	ENSG00000108691
GSE138746	CD14_monocyte	CCL3	1	ENSG00000277632
GSE138746	CD14_monocyte	CCL4	1	ENSG00000275302
GSE138746	CD14_monocyte	CD36	1	ENSG00000135218
GSE138746	CD14_monocyte	CD44	1	ENSG00000026508
GSE138746	CD14_monocyte	CD68	1	ENSG00000129226
GSE138746	CD14_monocyte	CD74	1	ENSG00000019582
GSE138746	CD14_monocyte	CIITA	1	ENSG00000179583
GSE138746	CD14_monocyte	CTSB	1	ENSG00000164733
GSE138746	CD14_monocyte	CTSD	1	ENSG00000117984
GSE138746	CD14_monocyte	CTSS	1	ENSG00000163131
GSE138746	CD14_monocyte	CXCL10	1	ENSG00000169245
GSE138746	CD14_monocyte	CXCL8	1	ENSG00000169429
GSE138746	CD14_monocyte	CXCR4	1	ENSG00000121966
GSE138746	CD14_monocyte	FABP5	1	ENSG00000164687
GSE138746	CD14_monocyte	GBP1	1	ENSG00000117228
GSE138746	CD14_monocyte	GPNMB	1	ENSG00000136235
GSE138746	CD14_monocyte	HIF1A	1	ENSG00000100644
GSE138746	CD14_monocyte	HK2	3	ENSG00000068796,ENSG00000095066,ENSG00000159399
GSE138746	CD14_monocyte	HLA-DPA1	1	ENSG00000231389
GSE138746	CD14_monocyte	HLA-DPB1	1	ENSG00000223865
GSE138746	CD14_monocyte	HLA-DRA	1	ENSG00000204287
GSE138746	CD14_monocyte	HLA-DRB1	1	ENSG00000196126
GSE138746	CD14_monocyte	IFI30	1	ENSG00000216490
GSE138746	CD14_monocyte	IL1B	1	ENSG00000125538
GSE138746	CD14_monocyte	IRF1	1	ENSG00000125347
GSE138746	CD14_monocyte	LAMP1	1	ENSG00000185896
GSE138746	CD14_monocyte	LAMP2	1	ENSG00000005893
GSE138746	CD14_monocyte	LAMP3	0	
GSE138746	CD14_monocyte	LDHA	1	ENSG00000134333
GSE138746	CD14_monocyte	LIPA	1	ENSG00000107798
GSE138746	CD14_monocyte	LPL	1	ENSG00000175445
GSE138746	CD14_monocyte	MERTK	1	ENSG00000153208
GSE138746	CD14_monocyte	MSR1	1	ENSG00000038945
GSE138746	CD14_monocyte	NAMPT	1	ENSG00000105835
GSE138746	CD14_monocyte	NFKBIA	1	ENSG00000100906
GSE138746	CD14_monocyte	NLRC5	1	ENSG00000140853
GSE138746	CD14_monocyte	OSM	2	ENSG00000099985,ENSG00000136280
GSE138746	CD14_monocyte	PFKFB3	1	ENSG00000170525
GSE138746	CD14_monocyte	PLIN2	1	ENSG00000147872
GSE138746	CD14_monocyte	RFX5	1	ENSG00000143390
GSE138746	CD14_monocyte	SLC2A1	1	ENSG00000117394
GSE138746	CD14_monocyte	SPP1	1	ENSG00000154832
GSE138746	CD14_monocyte	STAT1	1	ENSG00000115415
GSE138746	CD14_monocyte	TAP1	1	ENSG00000168394
GSE138746	CD14_monocyte	TAP2	1	ENSG00000204267
GSE138746	CD14_monocyte	TNF	1	ENSG00000232810
GSE138746	CD14_monocyte	TREM1	1	ENSG00000124731
GSE138746	CD14_monocyte	TREM2	1	ENSG00000095970
GSE138746	CD4_T_cell	ACSL1	1	ENSG00000151726
GSE138746	CD4_T_cell	APOE	1	ENSG00000130203
GSE138746	CD4_T_cell	B2M	1	ENSG00000166710
GSE138746	CD4_T_cell	C1QA	1	ENSG00000173372
GSE138746	CD4_T_cell	C1QB	1	ENSG00000173369
GSE138746	CD4_T_cell	C1QC	0	
GSE138746	CD4_T_cell	CCL2	0	
GSE138746	CD4_T_cell	CCL3	1	ENSG00000277632
GSE138746	CD4_T_cell	CCL4	1	ENSG00000275302
GSE138746	CD4_T_cell	CD36	1	ENSG00000135218
GSE138746	CD4_T_cell	CD44	1	ENSG00000026508
GSE138746	CD4_T_cell	CD68	1	ENSG00000129226
GSE138746	CD4_T_cell	CD74	1	ENSG00000019582
GSE138746	CD4_T_cell	CIITA	1	ENSG00000179583
GSE138746	CD4_T_cell	CTSB	1	ENSG00000164733
GSE138746	CD4_T_cell	CTSD	1	ENSG00000117984
GSE138746	CD4_T_cell	CTSS	1	ENSG00000163131
GSE138746	CD4_T_cell	CXCL10	0	
GSE138746	CD4_T_cell	CXCL8	1	ENSG00000169429
GSE138746	CD4_T_cell	CXCR4	1	ENSG00000121966
GSE138746	CD4_T_cell	FABP5	1	ENSG00000164687
GSE138746	CD4_T_cell	GBP1	1	ENSG00000117228
GSE138746	CD4_T_cell	GPNMB	0	
GSE138746	CD4_T_cell	HIF1A	1	ENSG00000100644
GSE138746	CD4_T_cell	HK2	4	ENSG00000068796,ENSG00000095066,ENSG00000130037,ENSG00000159399
GSE138746	CD4_T_cell	HLA-DPA1	1	ENSG00000231389
