route	gene	broad_positive_disease_count	broad_negative_disease_count	broad_ms_wm_delta_log2	broad_ms_wm_p	cross_trend_or_better_diseases	surface_resid_state_diseases	genetics_disease_count	target_first_call
TAM_EFFEROCYTOSIS_AGONISM	MERTK	0.0	2.0	0.2471109034794576	0.4292940108131474	0.0	3.0	0.0	
TAM_EFFEROCYTOSIS_AGONISM	AXL	0.0	3.0	0.2436879373355509	0.2187319600718436	0.0	7.0	0.0	
TAM_EFFEROCYTOSIS_AGONISM	TYRO3	0.0	1.0	-0.5221106413811212	0.5805546499427854	0.0	0.0	0.0	
TAM_EFFEROCYTOSIS_AGONISM	GAS6	1.0	0.0	-0.3747614007199935	0.1056413743833175	0.0	0.0	0.0	
TAM_EFFEROCYTOSIS_AGONISM	PROS1	0.0	1.0	-0.2744612083561524	0.277280176205179	0.0	0.0	0.0	
MERTK_CENTERED_EFFEROCYTOSIS	MERTK	0.0	2.0	0.2471109034794576	0.4292940108131474	0.0	3.0	0.0	
MERTK_CENTERED_EFFEROCYTOSIS	GAS6	1.0	0.0	-0.3747614007199935	0.1056413743833175	0.0	0.0	0.0	
MERTK_CENTERED_EFFEROCYTOSIS	PROS1	0.0	1.0	-0.2744612083561524	0.277280176205179	0.0	0.0	0.0	
TREM2_APOE_LIPID_REPAIR	TREM2	0.0	0.0	0.1899583473475061	0.612719290366184	0.0	4.0	0.0	
TREM2_APOE_LIPID_REPAIR	APOE	0.0	1.0	0.3729255468001433	0.120208663256457	0.0	4.0	0.0	
TREM2_APOE_LIPID_REPAIR	TYROBP	1.0	1.0	0.1685367778685798	0.2296542729530867	0.0	3.0	0.0	
TREM2_APOE_LIPID_REPAIR	LPL	1.0	2.0	1.7595984466157422	0.0006219963760009	1.0	0.0	0.0	
LXR_ABCA1_CHOLESTEROL_EFFLUX	NR1H3	1.0	2.0	0.9212173629129756	0.2094063049703438	0.0	0.0	0.0	
LXR_ABCA1_CHOLESTEROL_EFFLUX	NR1H2	1.0	0.0	0.0646192467591699	0.8274524136837126	0.0	0.0	0.0	
LXR_ABCA1_CHOLESTEROL_EFFLUX	ABCA1	0.0	1.0	0.6056046515502906	0.0344909063382469	0.0	0.0	0.0	
LXR_ABCA1_CHOLESTEROL_EFFLUX	ABCG1	0.0	3.0	0.8150581476256988	0.014073891674355	0.0	0.0	0.0	
LXR_ABCA1_CHOLESTEROL_EFFLUX	APOE	0.0	1.0	0.3729255468001433	0.120208663256457	0.0	4.0	0.0	
PPAR_RXR_RESOLUTION	PPARG	1.0	2.0	1.33861418076643	0.0023372069061631	0.0	0.0	0.0	
PPAR_RXR_RESOLUTION	PPARA	0.0	0.0	-0.1159367355437837	0.6938446521810258	0.0	0.0	0.0	
PPAR_RXR_RESOLUTION	PPARD	0.0	1.0	-0.3397741564339185	0.4029211146308484	0.0	0.0	0.0	
