modality	source_file	size
genetics	analysis/v20_lead_slate/lead_slate_v20.tsv	6
lead_slate	analysis/v20_lead_slate/lead_slate_v20.tsv	21
genetics	analysis/v21_ldsc_backdrop/ldsc_rg_results.tsv	8
deep_structure	analysis/v26_deep_structure/workstream_a_latent_axes.tsv	90
cell_state_h5ad	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv	149
cross_disease_summary	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv	149
perturbation_mixscale	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv	32
treatment_pharmacodynamic	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv	149
treatment_response_tests	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv	55
treatment_response	analysis/v28_heterogeneous_response/cohort_adjusted_models.tsv	2
treatment_response	analysis/v28_heterogeneous_response/heterogeneous_method_metrics.tsv	26
treatment_response	analysis/v32_confounder_audit/v32_confounder_adjustment_metrics.tsv	37
treatment_response	analysis/v32_confounder_audit/v32_joint_adjustment_metrics.tsv	7
exploratory	analysis/v35_complement_lipid_progressive/summary.json	1
exploratory	analysis/v35_ebv_random_geneset_control/summary.json	1
perturbation	analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv	26
exploratory	analysis/v35_lysosomal_apc_specificity/summary.json	5
exploratory	analysis/v35_metabolic_sterol_setpoint/summary.json	6
exploratory	analysis/v35_tb_compartment_gate/tb_compartment_gate.tsv	10
exploratory	analysis/v36_feature_multiplicity_stress/summary.json	1
treatment_response	analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv	42
failure_structure	analysis/v39_failure_structure_exclusion/v39_exclusion_list.tsv	26
failure_structure	analysis/v39_failure_structure_exclusion/v39_failure_catalogue.tsv	35
exploratory	analysis/v39_immune_tone_anomaly/immune_tone_anomaly_spaces.tsv	16
network_topology	analysis/v40_dimension_probes/apc_network_topology_probe.tsv	21
genetics	analysis/v40_dimension_probes/protective_resilience_genetics_probe.tsv	1
corpus_synthesis	docs/reports/FINDINGS_SCORES_V37.tsv	63
