analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	positive_trend	negative_trend
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	FXYD5	6	6	7.2377165482661185	8.216275476682377	-0.978558928416258	-3.137467630433149	-5.887107788264026	0.0002136897147864	0.3343156622000644	0.5113591911953562	1.0	7.726996012474248	False	0.0652332828371373	False	True	False	True	False	True
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	FXYD5	5	17	8.514039653654113	7.62433635053172	0.8897033031223929	1.1967559105218244	3.9341517252759672	0.000881266463104	0.5514237091349479	0.3994288485846818	1.0	7.826541646695901	False	0.0954955339699752	True	False	True	False	True	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	FXYD5	4	17	8.447971846212164	7.665228829783486	0.7827430164286779	1.38388178223989	2.9272876022483407	0.0305914279587855	0.7635936626093222	0.5676746338518264	1.0	7.814322737674664	False	0.3946364939259157	True	False	False	False	True	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	FXYD5	6	6	3.774683668172081	1.4584201918823751	2.3162634762897056	1.520766945256465	2.853549416960141	0.0321953721992332	0.0541384620385044	0.0057554467351339	0.9166666666666666	2.616551930027228	False	0.2956801578652017	True	False	False	False	True	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	FXYD5	5	18	5.967127936780337	4.713464862350972	1.2536630744293653	0.859993591542676	2.3312756249569846	0.039989014500177	0.2214061876052597	0.1183741925109481	1.0	4.986000313313878	False	0.5424646014957739	True	False	False	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	FXYD5	6	6	2.28921964273534	1.4584201918823751	0.830799450852965	1.2811835298873848	2.403997881550839	0.0429404282434353	0.0128744384261761	0.0057554467351339	1.0	1.8738199173088577	False	0.2734156434316108	True	False	False	False	True	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	FXYD5	3	3	4.67904621458194	3.2807044966254435	1.3983417179564968	2.9478841357356043	4.513007470873511	0.0448967352833993	0.220498379745958	0.0959474671750554	1.0	3.979875355603692	False	0.4067867496825199	True	False	False	False	True	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	FXYD5	6	6	7.3134821014545635	6.734354076434909	0.5791280250196547	0.964001509139278	1.8088412251024948	0.1012102965103748	0.453462704444727	0.3856385982923124	1.0	7.023918088944735	False	0.4729175524132136	False	False	False	False	False	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	FXYD5	6	6	7.998856808538629	8.216275476682377	-0.2174186681437477	-0.4635700383302166	-0.869837430859136	0.4140976063818306	0.4980640385124866	0.5113591911953562	1.0	8.107566142610503	False	0.7478847099252218	False	False	False	False	False	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	FXYD5	3	3	7.376062699958893	7.143149249134219	0.2329134508246735	0.5446111601507623	0.8337621566215868	0.4519635700094193	0.5004394524945845	0.3950919252222669	1.0	7.259605974546557	False	0.7967805848310621	False	False	False	False	False	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	FXYD5	11	14	4.628789042998571	4.172215006612756	0.456574036385815	0.317210654312667	0.7661607100163884	0.4552094204666197	0.0511623769877811	0.038599452908432	0.96	4.373107582622515	False	0.8464176144759306	False	False	False	False	False	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	FXYD5	6	6	6.536604877555583	6.734354076434909	-0.1977491988793254	-0.3033094649620567	-0.5691263540417156	0.5818375160633494	0.3626918395434764	0.3856385982923124	1.0	6.635479476995244	False	0.8671350236938715	False	False	False	False	False	False
