seed_family	harness	worst_null_raw_pass_rate	worst_null_guarded_clean_pass_rate	mean_null_guarded_clean_pass_rate	best_planted_guarded_clean_pass_rate	mean_planted_guarded_clean_pass_rate
seed_family_1	postpartum_apc_arm	0.6666666666666666	0.03333333333333333	0.006666666666666667	0.9333333333333333	0.6390476190476191
seed_family_1	primary_multiconfounder_batch_guard	0.8333333333333334	0.03333333333333333	0.0019047619047619048	0.43333333333333335	0.1457142857142857
seed_family_1	tb_compartment	0.36666666666666664	0.03333333333333333	0.0009523809523809524	0.9333333333333333	0.5380952380952382
seed_family_2	postpartum_apc_arm	0.7	0.03333333333333333	0.0038095238095238095	0.9666666666666667	0.6390476190476191
seed_family_2	primary_multiconfounder_batch_guard	0.8333333333333334	0.03333333333333333	0.002857142857142857	0.4666666666666667	0.14952380952380953
seed_family_2	tb_compartment	0.3333333333333333	0.0	0.0	1.0	0.562857142857143
seed_family_3	postpartum_apc_arm	0.7	0.03333333333333333	0.0019047619047619048	0.9666666666666667	0.6304761904761904
seed_family_3	primary_multiconfounder_batch_guard	0.9	0.03333333333333333	0.0009523809523809524	0.5333333333333333	0.17047619047619048
seed_family_3	tb_compartment	0.5	0.03333333333333333	0.0009523809523809524	0.9333333333333333	0.54
seed_family_4	postpartum_apc_arm	0.7333333333333333	0.03333333333333333	0.0047619047619047615	0.9666666666666667	0.6276190476190476
seed_family_4	primary_multiconfounder_batch_guard	0.7	0.03333333333333333	0.0009523809523809524	0.5333333333333333	0.16476190476190475
seed_family_4	tb_compartment	0.4666666666666667	0.03333333333333333	0.0009523809523809524	0.9333333333333333	0.5333333333333332
seed_family_5	postpartum_apc_arm	0.8666666666666667	0.03333333333333333	0.0038095238095238095	1.0	0.6533333333333332
seed_family_5	primary_multiconfounder_batch_guard	0.9	0.03333333333333333	0.002857142857142857	0.4	0.14761904761904762
seed_family_5	tb_compartment	0.43333333333333335	0.0	0.0	1.0	0.5542857142857143
