seed_family	harness	truth	pathology	severity	cohorts	raw_pass_rate	guarded_clean_pass_rate
seed_family_1	postpartum_apc_arm	planted	batch_response_correlated	0.0	30	1.0	0.8666666666666667
seed_family_1	postpartum_apc_arm	planted	batch_response_correlated	0.25	30	1.0	0.5333333333333333
seed_family_1	postpartum_apc_arm	planted	batch_response_correlated	0.5	30	1.0	0.06666666666666667
seed_family_1	postpartum_apc_arm	planted	batch_response_correlated	0.75	30	1.0	0.0
seed_family_1	postpartum_apc_arm	planted	batch_response_correlated	1.0	30	1.0	0.0
seed_family_1	postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.0	30	1.0	0.9333333333333333
seed_family_1	postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.25	30	1.0	0.7
seed_family_1	postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.5	30	1.0	0.3333333333333333
seed_family_1	postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.75	30	1.0	0.0
seed_family_1	postpartum_apc_arm	planted	combined_steroid_dmt_batch	1.0	30	0.9666666666666667	0.0
seed_family_1	postpartum_apc_arm	planted	dmt_restart_imbalance	0.0	30	1.0	0.8333333333333334
seed_family_1	postpartum_apc_arm	planted	dmt_restart_imbalance	0.25	30	1.0	0.9333333333333333
seed_family_1	postpartum_apc_arm	planted	dmt_restart_imbalance	0.5	30	1.0	0.8
seed_family_1	postpartum_apc_arm	planted	dmt_restart_imbalance	0.75	30	1.0	0.8666666666666667
seed_family_1	postpartum_apc_arm	planted	dmt_restart_imbalance	1.0	30	1.0	0.8
seed_family_1	postpartum_apc_arm	planted	missing_postpartum_timepoint	0.0	30	1.0	0.8333333333333334
seed_family_1	postpartum_apc_arm	planted	missing_postpartum_timepoint	0.25	30	1.0	0.7333333333333333
seed_family_1	postpartum_apc_arm	planted	missing_postpartum_timepoint	0.5	30	1.0	0.7333333333333333
seed_family_1	postpartum_apc_arm	planted	missing_postpartum_timepoint	0.75	30	1.0	0.8
seed_family_1	postpartum_apc_arm	planted	missing_postpartum_timepoint	1.0	30	1.0	0.9
seed_family_1	postpartum_apc_arm	planted	module_coverage_loss	0.0	30	1.0	0.7
seed_family_1	postpartum_apc_arm	planted	module_coverage_loss	0.25	30	1.0	0.8
seed_family_1	postpartum_apc_arm	planted	module_coverage_loss	0.5	30	1.0	0.8333333333333334
seed_family_1	postpartum_apc_arm	planted	module_coverage_loss	0.75	30	0.0	0.0
seed_family_1	postpartum_apc_arm	planted	module_coverage_loss	1.0	30	0.0	0.0
seed_family_1	postpartum_apc_arm	planted	steroid_response_correlated	0.0	30	1.0	0.8333333333333334
seed_family_1	postpartum_apc_arm	planted	steroid_response_correlated	0.25	30	1.0	0.9
seed_family_1	postpartum_apc_arm	planted	steroid_response_correlated	0.5	30	1.0	0.8333333333333334
seed_family_1	postpartum_apc_arm	planted	steroid_response_correlated	0.75	30	1.0	0.8
seed_family_1	postpartum_apc_arm	planted	steroid_response_correlated	1.0	30	1.0	0.7666666666666667
seed_family_1	postpartum_apc_arm	planted	timepoint_jitter	0.0	30	1.0	0.8
seed_family_1	postpartum_apc_arm	planted	timepoint_jitter	0.25	30	1.0	0.8666666666666667
seed_family_1	postpartum_apc_arm	planted	timepoint_jitter	0.5	30	1.0	0.8666666666666667
seed_family_1	postpartum_apc_arm	planted	timepoint_jitter	0.75	30	1.0	0.8333333333333334
seed_family_1	postpartum_apc_arm	planted	timepoint_jitter	1.0	30	1.0	0.8666666666666667
seed_family_1	postpartum_apc_arm	synthetic_null	batch_response_correlated	0.0	30	0.0	0.0
