analysis	disease_name	compartment	role	gene	n_case_donors	n_control_donors	delta_log2_cpm	hedges_g	p	fdr	mean_case_detection_fraction	mean_control_detection_fraction	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	dir
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CTSS	6	6	0.3135245939430824	0.45526650506790883	0.41786529712111886	0.7516197416428259	0.5970404094367628	0.4458944463707814	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CHI3L1	6	6	1.1898825993606246	0.5868840670256372	0.30336164312093533	0.674802216179881	0.010633598390967794	0.0028526908785808463	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MERTK	6	6	-0.7292647365302516	-0.6350866809783421	0.2639926013360923	0.649570527512892	0.04827330211784267	0.07984062772897725	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ACSL3	6	6	0.5911949129114822	0.7871168507855965	0.18808488709466264	0.5718136268537979	0.16053766331876512	0.11406177227273506	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MGLL	6	6	-0.25282972482389443	-0.24778995903847872	0.659006039658868	0.8913450508344468	0.08758076640331447	0.12838402809883392	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SCARB2	6	6	-0.14041153521264071	-0.19487752070894682	0.7261116428026377	0.9218036442737456	0.17751953730508888	0.18471012910737827	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SPP1	6	6	4.214712771780927	1.1135070845240937	0.09097240906500342	0.47400326514361135	0.024618975857902212	0.0	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TREM2	6	6	-1.1149414021158495	-0.4687988202401093	0.400024563066252	0.7402016805790995	0.027742314012191568	0.06301688434273385	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	PLA2G7	6	6	0.822827797656764	1.2032943265761198	0.05012772021120488	0.3951410139152845	0.22204684247857165	0.14265935621821543	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	GPNMB	6	6	-2.8254569808869867	-1.0704796535884724	0.08212317215271066	0.4610294368882836	0.12576270998130104	0.2442641607164261	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	SNX10	6	6	1.9445705765670782	3.237684912722107	0.00012074595995397217	0.06020103215929445	0.269366409591873	0.11784446113936405	True	False	True	False	+
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TBXAS1	6	6	-0.15941470560385795	-0.3848768658193057	0.49359300728272715	0.7996747423054693	0.23609324013415023	0.2406617448759439	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	LAMP2	6	6	0.054930773663793175	0.07960058210625208	0.8857186282733592	0.9755918043976244	0.28432350989043326	0.24051225578329138	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	CTSB	6	6	-0.3883552589369632	-0.3541540437725061	0.5261636150799774	0.8176187107357976	0.4539768918016502	0.4604062590965909	False	False	False	False	0
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	MSR1	6	6	-0.782570174953996	-0.5161071200780978	0.36048515733170944	0.7173736994445173	0.0898354522792903	0.15069655271313848	False	False	False	False	0
