dataset	gene	cell_state	endpoint	comparison	n	response_coef	response_p	model_status	formula	response_fdr	generic_response_coef	generic_response_p	target_generic_abs_ratio
GSE282122_IBD_myeloid_antiTNF	CD300A	DC	baseline_pre	remission_vs_nonremission	29	0.1837021462112362	0.3959645318272508	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.6599408863787514	0.15353886961371588	0.4256848924411299	1.1964536841609377
GSE282122_IBD_myeloid_antiTNF	CD300A	DC	delta_post_minus_pre	remission_vs_nonremission	29	0.5076999804877373	0.05879151137099918	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.23516604548399672	-0.019585807437629416	0.8994157271133975	25.92183049407062
GSE282122_IBD_myeloid_antiTNF	CD300A	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.07753564818721122	0.6826298507200057	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.8018363563837144	-0.11196754765992904	0.6641026240899975	0.6924832222163573
GSE282122_IBD_myeloid_antiTNF	CD300A	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	0.11707946178972259	0.4914238642188846	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.7280353543983475	-0.3388644715630794	0.1668352857953042	0.34550527309537765
GSE282122_IBD_myeloid_antiTNF	CD300LF	DC	baseline_pre	remission_vs_nonremission	29	-0.0006901152019943013	0.9988144548955219	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.9988144548955219	0.15353886961371588	0.4256848924411299	0.0044947263434369595
GSE282122_IBD_myeloid_antiTNF	CD300LF	DC	delta_post_minus_pre	remission_vs_nonremission	29	0.15167315453378138	0.5642631599007095	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.7523508798676127	-0.019585807437629416	0.8994157271133975	7.744033786545757
GSE282122_IBD_myeloid_antiTNF	CD300LF	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.06851178552011275	0.721652720745343	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.8018363563837144	-0.11196754765992904	0.6641026240899975	0.6118896676043907
GSE282122_IBD_myeloid_antiTNF	CD300LF	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	0.24389027456645435	0.21800274815841617	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.41524332982555456	-0.3388644715630794	0.1668352857953042	0.7197280772500646
GSE282122_IBD_myeloid_antiTNF	FCGR2B	DC	baseline_pre	remission_vs_nonremission	29	-0.7286568637049464	0.014440997196219175	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.1155279775697534	0.15353886961371588	0.4256848924411299	4.745748523081834
GSE282122_IBD_myeloid_antiTNF	FCGR2B	DC	delta_post_minus_pre	remission_vs_nonremission	29	0.23161267290893173	0.2799148576431077	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.4868084480749699	-0.019585807437629416	0.8994157271133975	11.825536100387861
GSE282122_IBD_myeloid_antiTNF	FCGR2B	Mono_macro	baseline_pre	remission_vs_nonremission	29	-0.4487617569198453	0.15970277332147753	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.40299554076127175	-0.11196754765992904	0.6641026240899975	4.007962720437863
GSE282122_IBD_myeloid_antiTNF	FCGR2B	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	0.31044357286567337	0.46826767395380053	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.72041180608277	-0.3388644715630794	0.1668352857953042	0.9161290100248367
GSE282122_IBD_myeloid_antiTNF	INPP5D	DC	baseline_pre	remission_vs_nonremission	29	-0.12146643052759869	0.5596964052838089	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.7523508798676127	0.15353886961371588	0.4256848924411299	0.7911119238613171
GSE282122_IBD_myeloid_antiTNF	INPP5D	DC	delta_post_minus_pre	remission_vs_nonremission	29	0.07777911482344335	0.720293530062969	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.8018363563837144	-0.019585807437629416	0.8994157271133975	3.97119777017768
GSE282122_IBD_myeloid_antiTNF	INPP5D	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.12668013275213336	0.5858411469397472	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.7559240605674157	-0.11196754765992904	0.6641026240899975	1.1314004405713143
GSE282122_IBD_myeloid_antiTNF	INPP5D	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	0.40474908109016217	0.08249737157599539	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.2749912385866513	-0.3388644715630794	0.1668352857953042	1.1944276106113365
GSE282122_IBD_myeloid_antiTNF	LAIR1	DC	baseline_pre	remission_vs_nonremission	29	0.043522128612252374	0.8231662059114101	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.8899094117961189	0.15353886961371588	0.4256848924411299	0.2834600041132807
GSE282122_IBD_myeloid_antiTNF	LAIR1	DC	delta_post_minus_pre	remission_vs_nonremission	29	-0.11960530027788753	0.5454943381158978	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.7523508798676127	-0.019585807437629416	0.8994157271133975	6.1067331872208
GSE282122_IBD_myeloid_antiTNF	LAIR1	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.2506545957475672	0.20933359588261924	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.41524332982555456	-0.11196754765992904	0.6641026240899975	2.238636113643056
GSE282122_IBD_myeloid_antiTNF	LAIR1	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	-0.21922693428346646	0.2515124365161718	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.4572953391203123	-0.3388644715630794	0.1668352857953042	0.6469457635149499
GSE282122_IBD_myeloid_antiTNF	LILRB1	DC	baseline_pre	remission_vs_nonremission	29	0.14886963144690316	0.44099501258825247	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.7055920201412039	0.15353886961371588	0.4256848924411299	0.9695892110020092
GSE282122_IBD_myeloid_antiTNF	LILRB1	DC	delta_post_minus_pre	remission_vs_nonremission	29	0.13322741413294842	0.6100828158919508	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.7626035198649385	-0.019585807437629416	0.8994157271133975	6.802242621715151
GSE282122_IBD_myeloid_antiTNF	LILRB1	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.26976547752694396	0.11181330328680575	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.34404093319017154	-0.11196754765992904	0.6641026240899975	2.409318442396213
GSE282122_IBD_myeloid_antiTNF	LILRB1	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	-0.6898737089067928	0.008193878913293852	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.08670751179456704	-0.3388644715630794	0.1668352857953042	2.035839596062148
GSE282122_IBD_myeloid_antiTNF	LILRB2	DC	baseline_pre	remission_vs_nonremission	29	0.22847041557122494	0.20445718968332316	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.41524332982555456	0.15353886961371588	0.4256848924411299	1.4880298138577366
GSE282122_IBD_myeloid_antiTNF	LILRB2	DC	delta_post_minus_pre	remission_vs_nonremission	29	-0.8612337360161983	0.008670751179456704	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.08670751179456704	-0.019585807437629416	0.8994157271133975	43.97233755916261
GSE282122_IBD_myeloid_antiTNF	LILRB2	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.4418286199764625	0.019371781827544284	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.12914521218362857	-0.11196754765992904	0.6641026240899975	3.9460417702314667
GSE282122_IBD_myeloid_antiTNF	LILRB2	Mono_macro	delta_post_minus_pre	remission_vs_nonremission	29	-0.35485037120494217	0.1813479933425723	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.40299554076127175	-0.3388644715630794	0.1668352857953042	1.0471749061449984
GSE282122_IBD_myeloid_antiTNF	LILRB3	DC	baseline_pre	remission_vs_nonremission	29	0.10603459601256549	0.6316762195048528	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.765668144854367	0.15353886961371588	0.4256848924411299	0.6906042507629172
GSE282122_IBD_myeloid_antiTNF	LILRB3	DC	delta_post_minus_pre	remission_vs_nonremission	29	0.2658576208140789	0.134413027972797	ok	y ~ remission + pre_score + pre_generic + delta_generic + C(Disease) + baseline_inflammation_score	0.38403722277942004	-0.019585807437629416	0.8994157271133975	13.573993396018865
GSE282122_IBD_myeloid_antiTNF	LILRB3	Mono_macro	baseline_pre	remission_vs_nonremission	29	0.5266516090149798	0.02930582862991395	ok	y ~ remission + pre_generic + C(Disease) + baseline_inflammation_score	0.16746187788522257	-0.11196754765992904	0.6641026240899975	4.703609394166073
